,Players,Values,Team
269,Aarón Martín,$4.95m  ,celta de vigo
270,Jose Fontán,$1.10m  ,celta de vigo
271,David Juncà,$770Th.  ,celta de vigo
272,Diego Pampín,$275Th.  ,celta de vigo
273,Hugo Mallo,$5.50m  ,celta de vigo
274,Sergio Carreira,$1.10m  ,celta de vigo
275,Kevin Vázquez,$880Th.  ,celta de vigo
276,Renato Tapia,$22.00m  ,celta de vigo
277,Okay Yokuslu,$8.25m  ,celta de vigo
278,Fran Beltrán,$13.20m  ,celta de vigo
279,Gabriel Veiga,$1.65m  ,celta de vigo
280,Jordan Holsgrove,$550Th.  ,celta de vigo
281,Denis Suárez,$13.20m  ,celta de vigo
282,Miguel Baeza,$2.75m  ,celta de vigo
283,Nolito,$1.65m  ,celta de vigo
284,Álvaro Vadillo,$770Th.  ,celta de vigo
285,Alfonso González,$275Th.  ,celta de vigo
286,Brais Méndez,$15.40m  ,celta de vigo
287,Augusto Solari,$4.40m  ,celta de vigo
288,Miguel Rodríguez,$1.10m  ,celta de vigo
289,Emre Mor,$770Th.  ,celta de vigo
290,Hugo Sotelo,0,celta de vigo
291,Santi Mina,$16.50m  ,celta de vigo
292,Iago Aspas,$9.90m  ,celta de vigo
293,Facundo Ferreyra,$2.20m  ,celta de vigo
294,Lautaro de León,$110Th.  ,celta de vigo
295,Rui Silva,$13.20m  ,granada cf
296,Aarón Escandell,$1.10m  ,granada cf
297,João Costa,$275Th.  ,granada cf
298,Ángel Jiménez,$110Th.  ,granada cf
299,Arnau Fàbrega,$110Th.  ,granada cf
300,Rafael Romero,0,granada cf
301,Domingos Duarte,$13.20m  ,granada cf
302,Jesús Vallejo,$5.50m  ,granada cf
303,Nehuén Pérez,$4.40m  ,granada cf
304,Germán Sánchez,$880Th.  ,granada cf
305,Neyder Lozano,$440Th.  ,granada cf
306,Sergio Barcia,$110Th.  ,granada cf
307,Raúl Torrente,$110Th.  ,granada cf
308,Carlos Neva,$4.40m  ,granada cf
309,Adrián Marín,$1.32m  ,granada cf
310,Dimitri Foulquier,$3.85m  ,granada cf
311,Víctor Díaz,$1.10m  ,granada cf
312,Quini,$440Th.  ,granada cf
313,Pepe Sánchez,$440Th.  ,granada cf
314,Kingsley Fobi,$165Th.  ,granada cf
315,Carlos León,0,granada cf
316,Maxime Gonalons,$2.75m  ,granada cf
