,Players,Values,Team
469,Gary Medel,$1.10m  ,bologna fc 1909
470,Mattias Svanberg,$13.20m  ,bologna fc 1909
471,Nicolás Domínguez,$11.00m  ,bologna fc 1909
472,Jerdy Schouten,$9.90m  ,bologna fc 1909
473,Andrea Poli,$1.10m  ,bologna fc 1909
474,Andri Fannar Baldursson,$1.10m  ,bologna fc 1909
475,Kingsley Michael,$550Th.  ,bologna fc 1909
476,Dion Ruffo Luci,$110Th.  ,bologna fc 1909
477,Roberto Soriano,$11.00m  ,bologna fc 1909
478,Kacper Urbanski,$220Th.  ,bologna fc 1909
479,Nicola Sansone,$4.18m  ,bologna fc 1909
480,Musa Juwara,$1.10m  ,bologna fc 1909
481,Matias Rocchi,$165Th.  ,bologna fc 1909
482,Riccardo Orsolini,$16.50m  ,bologna fc 1909
483,Andreas Skov Olsen,$7.15m  ,bologna fc 1909
484,Emanuel Vignato,$6.60m  ,bologna fc 1909
485,Musa Barrow,$22.00m  ,bologna fc 1909
486,Federico Santander,$1.65m  ,bologna fc 1909
487,Edoardo Vergani,$660Th.  ,bologna fc 1909
488,Rodrigo Palacio,$440Th.  ,bologna fc 1909
489,Simone Rabbi,$330Th.  ,bologna fc 1909
490,Mattia Pagliuca,$275Th.  ,bologna fc 1909
491,Antonio Raimondo,0,bologna fc 1909
492,Bartlomiej Dragowski,$17.60m  ,acf fiorentina
493,Pietro Terracciano,$880Th.  ,acf fiorentina
494,Federico Brancolini,$550Th.  ,acf fiorentina
495,Antonio Rosati,$110Th.  ,acf fiorentina
496,Jacopo Ricco,0,acf fiorentina
497,Nikola Milenkovic,$27.50m  ,acf fiorentina
498,Lucas Martínez Quarta,$11.00m  ,acf fiorentina
499,Germán Pezzella,$8.25m  ,acf fiorentina
500,Igor,$5.50m  ,acf fiorentina
501,Federico Ceccherini,$3.85m  ,acf fiorentina
502,Martín Cáceres,$1.10m  ,acf fiorentina
503,Christian Dalle Mura,$880Th.  ,acf fiorentina
504,Julián Illanes,$165Th.  ,acf fiorentina
505,Eduard Dutu,$110Th.  ,acf fiorentina
506,Lorenzo Chiti,$55Th.  ,acf fiorentina
507,Cristiano Biraghi,$9.90m  ,acf fiorentina
508,Antonio Barreca,$2.20m  ,acf fiorentina
509,Maximiliano Olivera,$1.10m  ,acf fiorentina
510,Fabio Ponsi,$193Th.  ,acf fiorentina
511,Pol Lirola,$9.90m  ,acf fiorentina
512,Kévin Malcuit,$3.85m  ,acf fiorentina
513,Lorenzo Venuti,$3.30m  ,acf fiorentina
514,Sofyan Amrabat,$16.50m  ,acf fiorentina
515,Erick Pulgar,$9.90m  ,acf fiorentina
516,Dimo Krastev,0,acf fiorentina
517,Gaetano Castrovilli,$22.00m  ,acf fiorentina
518,Alfred Duncan,$11.00m  ,acf fiorentina
519,Giacomo Bonaventura,$4.40m  ,acf fiorentina
520,Borja Valero,$990Th.  ,acf fiorentina
521,Alessandro Bianco,$138Th.  ,acf fiorentina
522,Riccardo Saponara,$1.87m  ,acf fiorentina
523,Valentin Eysseric,$1.65m  ,acf fiorentina
524,Tòfol Montiel,$440Th.  ,acf fiorentina
525,Franck Ribéry,$3.30m  ,acf fiorentina
526,Federico Chiesa,$66.00m  ,acf fiorentina
527,José Callejón,$1.65m  ,acf fiorentina
528,Dusan Vlahovic,$44.00m  ,acf fiorentina
529,Patrick Cutrone,$9.90m  ,acf fiorentina
530,Christian Kouamé,$9.35m  ,acf fiorentina
531,Aleksandr Kokorin,$3.85m  ,acf fiorentina
532,Louis Munteanu,$550Th.  ,acf fiorentina
533,Juan Musso,$22.00m  ,udinese calcio
534,Simone Scuffet,$880Th.  ,udinese calcio
535,Nícolas,$385Th.  ,udinese calcio
536,Manuel Gasparini,$330Th.  ,udinese calcio
537,Edoardo Piana,0,udinese calcio
