,,,,,,Perf,Aeri
Player,Pos,Squad,Comp,Age,90s,Recov,Won%
,,,,,,,
Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,eng Premier League,26,8.1,4.20,32.4
Rodrigo Battaglia\Rodrigo-Battaglia,MF,Alavés,es La Liga,29,27.7,9.35,65.2
Cristian Battocchio\Cristian-Battocchio,MFFW,Brest,fr Ligue 1,28,3.9,9.23,25.0
Oliver Baumann\Oliver-Baumann,GK,Hoffenheim,de Bundesliga,30,31.0,6.94,0.0
Julian Baumgartlinger\Julian-Baumgartlinger,MF,Leverkusen,de Bundesliga,32,11.9,10.9,65.8
Christoph Baumgartner\Christoph-Baumgartner,MFFW,Hoffenheim,de Bundesliga,20,26.3,7.79,38.0
Jon Bautista\Jon-Bautista,FWMF,Real Sociedad,es La Liga,25,4.1,4.39,45.8
Paul Baysse\Paul-Baysse,DF,Bordeaux,fr Ligue 1,32,29.0,8.55,59.5
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,FWMF,Augsburg,de Bundesliga,23,0.4,15.0,60.0
Ihlas Bebou\Ihlas-Bebou,FW,Hoffenheim,de Bundesliga,26,24.4,4.96,41.1
Rodrigo Becão\Rodrigo-Becao,DF,Udinese,it Serie A,24,30.9,7.57,65.1
Sheraldo Becker\Sheraldo-Becker,FWMF,Union Berlin,de Bundesliga,25,12.3,8.86,23.5
Timo Becker\Timo-Becker,DF,Schalke 04,de Bundesliga,23,18.2,7.97,53.1
Jan Bednarek\Jan-Bednarek,DF,Southampton,eng Premier League,24,34.4,11.9,68.3
Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,eng Premier League,23,5.8,7.59,42.9
Valon Behrami\Valon-Behrami,MF,Genoa,it Serie A,35,9.9,7.68,44.1
Brian Behrendt\Brian-Behrendt,DF,Arminia,de Bundesliga,28,0.9,11.1,40.0
Maximilian Beier\Maximilian-Beier,FWDF,Hoffenheim,de Bundesliga,17,0.1,10.0,
Ishak Belfodil\Ishak-Belfodil,FW,Hoffenheim,de Bundesliga,28,6.6,4.39,47.1
Erwan Belhadji\Erwan-Belhadji,MF,Dijon,fr Ligue 1,19,0.3,16.7,
Haris Belkebla\Haris-Belkebla,MF,Brest,fr Ligue 1,26,30.3,9.01,40.0
Stefan Bell\Stefan-Bell,DF,Mainz 05,de Bundesliga,28,14.1,12.1,73.6
Karim Bellarabi\Karim-Bellarabi,FWMF,Leverkusen,de Bundesliga,30,8.9,8.09,28.6
Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,MFFW,Strasbourg,fr Ligue 1,22,23.2,7.93,35.8
Héctor Bellerín\Hector-Bellerin,DF,Arsenal,eng Premier League,25,23.2,8.97,47.8
Jude Bellingham\Jude-Bellingham,MF,Dortmund,de Bundesliga,17,18.9,8.89,52.8
Andrea Belotti\Andrea-Belotti,FW,Torino,it Serie A,26,32.1,4.42,39.3
Fran Beltrán\Fran-Beltran,MF,Celta Vigo,es La Liga,21,15.5,9.74,25.0
Sami Ben Amar\Sami-Ben-Amar,MF,Nîmes,fr Ligue 1,22,0.1,0.00,100.0
Hatem Ben Arfa\Hatem-Ben-Arfa,MFFW,Bordeaux,fr Ligue 1,33,18.9,4.02,36.4
Salim Ben Seghir\Salim-Ben-Seghir,DF,Nice,fr Ligue 1,17,0.1,20.0,
Wissam Ben Yedder\Wissam-Ben-Yedder,FW,Monaco,fr Ligue 1,29,29.0,4.66,28.7
Ahmad Benali\Ahmad-Benali,MF,Crotone,it Serie A,28,13.5,9.33,64.7
Samy Benchama\Samy-Benchama,MFDF,Montpellier,fr Ligue 1,20,0.5,14.0,
Lars Bender\Lars-Bender,DF,Leverkusen,de Bundesliga,31,10.4,11.3,50.0
Sven Bender\Sven-Bender,DF,Leverkusen,de Bundesliga,31,13.0,11.8,56.3
Darío Benedetto\Dario-Benedetto,FW,Marseille,fr Ligue 1,30,17.5,3.49,28.6
László Bénes\Laszlo-Benes,MFFW,Augsburg,de Bundesliga,22,7.3,8.22,46.2
László Bénes\Laszlo-Benes,MF,M'Gladbach,de Bundesliga,22,1.7,8.82,0.0
Walter Benítez\Walter-Benitez,GK,Nice,fr Ligue 1,27,38.0,3.95,
Loris Benito\Loris-Benito,DF,Bordeaux,fr Ligue 1,28,29.5,7.86,59.7
Sergio Benito\Sergio-Benito,FW,Valladolid,es La Liga,21,0.0,0,
Bilal Benkhedim\Bilal-Benkhedim,FW,Saint-Étienne,fr Ligue 1,19,0.8,12.5,0.0
Djamel Benlamri\Djamel-Benlamri,DF,Lyon,fr Ligue 1,30,1.7,8.24,66.7
Ismaël Bennacer\Ismael-Bennacer,MF,Milan,it Serie A,22,14.7,12.0,40.5
Saïd Benrahma\Said-Benrahma,FWMF,West Ham,eng Premier League,24,15.5,8.00,16.7
Yassine Benrahou\Yassine-Benrahou,MF,Nîmes,fr Ligue 1,21,13.8,7.90,16.7
Ramy Bensebaini\Ramy-Bensebaini,DF,M'Gladbach,de Bundesliga,25,20.1,8.76,62.5
Josh Benson\Josh-Benson,MF,Burnley,eng Premier League,20,2.9,8.28,20.0
