,,,,,,Perf,Aeri
Player,Pos,Squad,Comp,Age,90s,Recov,Won%
,,,,,,,
Adrien Rabiot\Adrien-Rabiot,MF,Juventus,it Serie A,25,25.7,8.44,63.5
Uroš Račić\Uros-Racic,MF,Valencia,es La Liga,22,24.3,10.9,62.3
Anthony Racioppi\Anthony-Racioppi,GK,Dijon,fr Ligue 1,21,21.0,4.90,
Nemanja Radoja\Nemanja-Radoja,MF,Levante,es La Liga,27,12.5,10.4,64.1
Nemanja Radonjić\Nemanja-Radonjic,FW,Marseille,fr Ligue 1,24,4.4,7.05,27.3
Nemanja Radonjić\Nemanja-Radonjic,FWDF,Hertha BSC,de Bundesliga,24,6.8,6.76,42.9
Aleksandar Radovanović\Aleksandar-Radovanovic,DF,Lens,fr Ligue 1,26,1.0,6.00,100.0
Ivan Radovanović\Ivan-Radovanovic,DFMF,Genoa,it Serie A,31,24.8,8.35,61.1
Ionuț Radu\Ionut-Radu,GK,Inter,it Serie A,23,1.5,8.00,
Ștefan Radu\Stefan-Radu,DF,Lazio,it Serie A,33,27.3,9.34,62.7
Rafael\Rafael,GK,Spezia,it Serie A,38,2.3,3.91,
Rafinha\Rafinha,MF,Paris S-G,fr Ligue 1,27,15.1,8.94,42.9
Antonio Raimondo\Antonio-Raimondo,FW,Bologna,it Serie A,16,0.0,1,100.0
Predrag Rajković\Predrag-Rajkovic,GK,Reims,fr Ligue 1,24,36.5,5.51,
Ivan Rakitić\Ivan-Rakitic,MF,Sevilla,es La Liga,32,24.8,8.02,48.5
Jonás Ramalho\Jonas-Ramalho,DF,Osasuna,es La Liga,27,3.4,7.65,85.7
Benito Raman\Benito-Raman,FWMF,Schalke 04,de Bundesliga,25,13.8,7.61,41.7
Gastón Ramírez\Gaston-Ramirez,MFFW,Sampdoria,it Serie A,29,10.8,6.48,43.9
Sandro Ramírez\Sandro-Ramirez,FWMF,Huesca,es La Liga,25,14.3,5.10,27.8
Sergio Ramos\Sergio-Ramos,DF,Real Madrid,es La Liga,34,14.2,10.8,56.9
Aaron Ramsdale\Aaron-Ramsdale,GK,Sheffield Utd,eng Premier League,22,38.0,4.82,
Aaron Ramsey\Aaron-Ramsey,MF,Juventus,it Serie A,29,12.1,6.03,30.4
Jacob Ramsey\Jacob-Ramsey,MFFW,Aston Villa,eng Premier League,19,7.0,7.71,22.7
Kayne Ramsey\Kayne-Ramsey,DF,Southampton,eng Premier League,19,1.0,6.00,50.0
Darren Randolph\Darren-Randolph,GK,West Ham,eng Premier League,33,3.0,2.33,
Andrea Ranocchia\Andrea-Ranocchia,DF,Inter,it Serie A,32,7.8,8.08,75.6
Marcus Rashford\Marcus-Rashford,FW,Manchester Utd,eng Premier League,22,32.4,4.38,51.1
Milot Rashica\Milot-Rashica,FWMF,Werder Bremen,de Bundesliga,24,16.2,5.80,21.7
Giacomo Raspadori\Giacomo-Raspadori,FWMF,Sassuolo,it Serie A,20,13.7,2.55,10.0
Federico Ravaglia\Federico-Ravaglia,GK,Bologna,it Serie A,20,4.0,4.00,
Tim Ream\Tim-Ream,DF,Fulham,eng Premier League,32,7.0,9.00,55.0
Ante Rebić\Ante-Rebic,FW,Milan,it Serie A,26,19.7,4.57,33.3
Arkadiusz Reca\Arkadiusz-Reca,DF,Crotone,it Serie A,25,25.7,7.86,47.8
Recio\Recio,MF,Eibar,es La Liga,29,8.2,8.78,36.4
Daishawn Redan\Daishawn-Redan,FWMF,Hertha BSC,de Bundesliga,19,1.1,7.27,0.0
Nathan Redmond\Nathan-Redmond,MFFW,Southampton,eng Premier League,26,19.3,6.27,22.9
Harrison Reed\Harrison-Reed,MF,Fulham,eng Premier League,25,25.0,13.2,50.0
Vasco Regini\Vasco-Regini,DF,Sampdoria,it Serie A,29,1.0,3.00,100.0
Sergio Reguilón\Sergio-Reguilon,DF,Tottenham,eng Premier League,23,24.9,8.63,49.2
Bobby Reid\Bobby-Reid,MFDF,Fulham,eng Premier League,27,26.4,5.95,38.8
Pepe Reina\Pepe-Reina,GK,Lazio,it Serie A,37,29.0,3.76,
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,MFFW,Nice,fr Ligue 1,22,11.8,6.53,33.3
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,FW,Lyon,fr Ligue 1,22,0.3,0.00,
Reinier\Reinier,MFFW,Dortmund,de Bundesliga,18,2.9,6.21,50.0
Francisco Reis Ferreira\Francisco-Reis-Ferreira,DF,Valencia,es La Liga,23,2.0,5.50,0.0
Rocco Reitz\Rocco-Reitz,MF,M'Gladbach,de Bundesliga,18,0.7,21.4,
Karim Rekik\Karim-Rekik,DF,Sevilla,es La Liga,25,7.3,5.34,73.7
Álex Remiro\Alex-Remiro,GK,Real Sociedad,es La Liga,25,38.0,4.76,
Panagiotis Retsos\Panagiotis-Retsos,DF,Saint-Étienne,fr Ligue 1,21,3.0,13.3,68.2
Marco Reus\Marco-Reus,MFFW,Dortmund,de Bundesliga,31,25.3,5.93,32.6
Elvis Rexhbeçaj\Elvis-Rexhbecaj,MFFW,Köln,de Bundesliga,22,20.4,7.94,19.6
Oriol Rey\Oriol-Rey,MF,Valladolid,es La Liga,22,0.2,10.0,0.0
Gio Reyna\Gio-Reyna,FWMF,Dortmund,de Bundesliga,17,22.0,5.95,31.9
Baptiste Reynet\Baptiste-Reynet,GK,Nîmes,fr Ligue 1,29,38.0,5.53,100.0
Bryan Reynolds\Bryan-Reynolds,DF,Roma,it Serie A,19,3.1,4.19,42.9
Franck Ribéry\Franck-Ribery,FW,Fiorentina,it Serie A,37,23.9,6.03,14.7
Ricard\Ricard,DF,Atlético Madrid,es La Liga,20,0.3,6.67,0.0
Federico Ricci\Federico-Ricci,FW,Sassuolo,it Serie A,26,0.0,0,
Giacomo Ricci\Giacomo-Ricci,DF,Parma,it Serie A,23,0.7,5.71,33.3
Matteo Ricci\Matteo-Ricci,MF,Spezia,it Serie A,26,24.8,11.0,56.8
Declan Rice\Declan-Rice,MF,West Ham,eng Premier League,21,32.0,9.84,61.8
Chris Richards\Chris-Richards,DF,Hoffenheim,de Bundesliga,20,10.5,10.8,52.1
Chris Richards\Chris-Richards,DF,Bayern Munich,de Bundesliga,20,1.0,4.00,40.0
Lewis Richardson\Lewis-Richardson,FWMF,Burnley,eng Premier League,17,0.0,0,0.0
Richarlison\Richarlison,FW,Everton,eng Premier League,23,31.8,5.85,34.1
Marco Richter\Marco-Richter,FWMF,Augsburg,de Bundesliga,22,15.7,8.34,30.2
Mikel Rico\Mikel-Rico,MF,Huesca,es La Liga,35,24.3,8.44,33.3
Sergio Rico\Sergio-Rico,GK,Paris S-G,fr Ligue 1,26,9.0,3.56,
Jaïro Riedewald\Jairo-Riedewald,MF,Crystal Palace,eng Premier League,23,20.2,7.92,48.3
Emiliano Rigoni\Emiliano-Rigoni,MFFW,Elche,es La Liga,27,12.7,4.33,33.3
Tomás Rincón\Tomas-Rincon,MF,Torino,it Serie A,32,31.6,9.34,52.3
Luis Rioja\Luis-Rioja,MFDF,Alavés,es La Liga,26,23.2,6.59,36.4
Renaud Ripart\Renaud-Ripart,MFFW,Nîmes,fr Ligue 1,27,33.9,7.79,48.1
Andrea Rispoli\Andrea-Rispoli,DF,Crotone,it Serie A,31,7.2,7.36,50.0
Mihailo Ristić\Mihailo-Ristic,DF,Montpellier,fr Ligue 1,24,24.8,8.10,58.0
Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,eng Premier League,30,15.0,6.87,41.7
Maxence Rivera\Maxence-Rivera,MFFW,Saint-Étienne,fr Ligue 1,18,2.7,7.78,0.0
Emmanuel Rivière\Emmanuel-Riviere,FWMF,Crotone,it Serie A,30,7.1,2.96,28.2
Rober\Rober,DFMF,Levante,es La Liga,25,15.8,8.61,39.7
Roberto\Roberto,GK,Valladolid,es La Liga,34,13.0,4.23,
Sergi Roberto\Sergi-Roberto,DFMF,Barcelona,es La Liga,28,10.5,8.48,44.4
Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,eng Premier League,21,14.9,6.71,45.5
Andrew Robertson\Andrew-Robertson,DF,Liverpool,eng Premier League,26,37.6,10.1,59.1
Antonee Robinson\Antonee-Robinson,DF,Fulham,eng Premier League,22,24.0,9.13,58.2
Callum Robinson\Callum-Robinson,FWMF,West Brom,eng Premier League,25,17.3,6.01,20.6
Jack Robinson\Jack-Robinson,DF,Sheffield Utd,eng Premier League,26,9.7,9.38,53.8
Joel Robles\Joel-Robles,GK,Betis,es La Liga,30,18.0,4.94,
Hal Robson-Kanu\Hal-Robson-Kanu,FWMF,West Brom,eng Premier League,31,6.2,4.19,19.4
Marc Roca\Marc-Roca,MF,Bayern Munich,de Bundesliga,23,2.0,9.00,33.3
Christopher Rocchia\Christopher-Rocchia,DF,Marseille,fr Ligue 1,22,0.2,15.0,
Rubén Rochina\Ruben-Rochina,MF,Levante,es La Liga,29,15.6,9.74,62.9
Marek Rodák\Marek-Rodak,GK,Fulham,eng Premier League,23,2.0,2.00,
Sebastian Rode\Sebastian-Rode,MF,Eint Frankfurt,de Bundesliga,29,18.1,11.6,55.3
Joe Rodon\Joe-Rodon,DF,Tottenham,eng Premier League,22,8.1,9.01,68.6
Rodri\Rodri,MF,Manchester City,eng Premier League,24,30.5,13.7,76.5
Rodrigo\Rodrigo,MFFW,Leeds United,eng Premier League,29,14.3,7.06,42.4
Rodrigo\Rodrigo,FWMF,Betis,es La Liga,20,6.0,7.17,11.1
Kévin Rodrigues\Kevin-Rodrigues,MFDF,Eibar,es La Liga,26,12.2,9.92,26.5
Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,MFFW,Sevilla,es La Liga,22,5.7,8.07,46.7
Ángel Rodríguez\Angel-Rodriguez,FWMF,Getafe,es La Liga,33,15.3,4.38,25.2
Guido Rodríguez\Guido-Rodriguez,MF,Betis,es La Liga,26,31.8,11.0,58.2
James Rodríguez\James-Rodriguez,FWMF,Everton,eng Premier League,29,19.6,7.19,25.0
Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,eng Premier League,31,14.1,4.89,35.1
Miguel Rodríguez\Miguel-Rodriguez,FWMF,Celta Vigo,es La Liga,17,0.3,3.33,0.0
Ricardo Rodríguez\Ricardo-Rodriguez,DF,Torino,it Serie A,27,13.8,6.30,58.1
Víctor Rodríguez\Victor-Rodriguez,MF,Elche,es La Liga,31,4.7,7.87,55.6
Rodrygo\Rodrygo,FW,Real Madrid,es La Liga,19,10.9,4.40,39.1
Marko Rog\Marko-Rog,MF,Cagliari,it Serie A,25,12.9,9.92,36.4
Rogério\Rogerio,DF,Sassuolo,it Serie A,22,20.9,7.61,57.6
Luis Rojas\Luis-Rojas,MFFW,Crotone,it Serie A,18,1.2,8.33,100.0
Alessio Romagnoli\Alessio-Romagnoli,DF,Milan,it Serie A,25,21.2,7.64,69.9
Cristian Romero\Cristian-Romero,DF,Atalanta,it Serie A,22,28.3,12.7,67.5
Oriol Romeu\Oriol-Romeu,MF,Southampton,eng Premier League,28,19.6,14.2,55.6
Cristiano Ronaldo\Cristiano-Ronaldo,FW,Juventus,it Serie A,35,31.1,4.05,58.0
Facundo Roncaglia\Facundo-Roncaglia,DF,Osasuna,es La Liga,33,13.7,12.5,61.4
Valentin Rongier\Valentin-Rongier,MF,Marseille,fr Ligue 1,25,21.0,10.9,49.1
Marten de Roon\Marten-de-Roon,MF,Atalanta,it Serie A,29,33.6,12.4,60.7
Jérôme Roussillon\Jerome-Roussillon,DF,Wolfsburg,de Bundesliga,27,13.7,8.32,37.5
Nolan Roux\Nolan-Roux,FW,Nîmes,fr Ligue 1,32,7.2,4.17,22.5
Nicolò Rovella\Nicolo-Rovella,MF,Genoa,it Serie A,18,13.2,10.7,27.8
Amir Rrahmani\Amir-Rrahmani,DF,Napoli,it Serie A,26,12.2,7.54,63.6
Rubén\Ruben,GKMF,Osasuna,es La Liga,36,2.1,4.29,
Waldo Rubio\Waldo-Rubio,FWMF,Valladolid,es La Liga,24,4.2,7.62,0.0
John Ruddy\John-Ruddy,GK,Wolves,eng Premier League,33,1.0,8.00,
Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,eng Premier League,27,19.0,8.53,75.8
Sebastian Rudy\Sebastian-Rudy,MFDF,Hoffenheim,de Bundesliga,30,18.6,10.0,42.1
Sebastian Rudy\Sebastian-Rudy,DF,Schalke 04,de Bundesliga,30,2.0,13.0,71.4
Kevin Rüegg\Kevin-Ruegg,DFMF,Hellas Verona,it Serie A,21,2.3,5.22,28.6
Daniele Rugani\Daniele-Rugani,DF,Cagliari,it Serie A,26,11.1,10.5,68.9
Daniele Rugani\Daniele-Rugani,DF,Rennes,fr Ligue 1,26,1.0,14.0,62.5
Matteo Ruggeri\Matteo-Ruggeri,DF,Atalanta,it Serie A,18,2.3,3.48,66.7
Mário Rui\Mario-Rui,DF,Napoli,it Serie A,29,18.5,8.92,45.8
Aitor Ruibal\Aitor-Ruibal,FWMF,Betis,es La Liga,24,17.7,6.05,42.9
Fabián Ruiz Peña\Fabian-Ruiz-Pena,MF,Napoli,it Serie A,24,28.5,7.96,54.5
Isma Ruiz\Isma-Ruiz,MF,Granada,es La Liga,19,0.7,11.4,20.0
Kays Ruiz\Kays-Ruiz,FWMF,Paris S-G,fr Ligue 1,17,2.1,5.24,25.0
Víctor Ruiz\Victor-Ruiz,DF,Betis,es La Liga,31,24.0,8.96,64.2
Gerónimo Rulli\Geronimo-Rulli,GK,Villarreal,es La Liga,28,2.0,9.00,
Georginio Rutter\Georginio-Rutter,FWMF,Rennes,fr Ligue 1,18,0.5,8.00,50.0
Georginio Rutter\Georginio-Rutter,FW,Hoffenheim,de Bundesliga,18,2.7,7.04,50.0
Mathew Ryan\Mathew-Ryan,GK,Arsenal,eng Premier League,28,3.0,5.00,0.0
Mathew Ryan\Mathew-Ryan,GK,Brighton,eng Premier League,28,11.0,3.82,
Julian Ryerson\Julian-Ryerson,DFMF,Union Berlin,de Bundesliga,22,11.9,8.57,35.7
Frederik Rønnow\Frederik-Ronnow,GK,Schalke 04,de Bundesliga,27,10.5,6.19,
João Victor Santos Sá\Joao-Victor-Santos-Sa,FW,Wolfsburg,de Bundesliga,26,5.2,9.62,33.3
Roli Pereira de Sa\Roli-Pereira-de-Sa,MFFW,Nantes,fr Ligue 1,23,0.6,15.0,0.0
Idriss Saadi\Idriss-Saadi,FWMF,Strasbourg,fr Ligue 1,28,1.4,4.29,54.5
Youssouf Sabaly\Youssouf-Sabaly,DF,Bordeaux,fr Ligue 1,27,32.3,8.33,53.4
Mathys Saban\Mathys-Saban,FW,Saint-Étienne,fr Ligue 1,18,0.1,0.00,
Marcel Sabitzer\Marcel-Sabitzer,MF,RB Leipzig,de Bundesliga,26,22.5,12.1,50.0
Alexis Saelemaekers\Alexis-Saelemaekers,FW,Milan,it Serie A,21,22.4,6.74,21.9
Modibo Sagnan\Modibo-Sagnan,DFMF,Real Sociedad,es La Liga,21,6.9,8.55,53.3
Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,eng Premier League,23,17.3,5.78,27.8
Borja Sainz\Borja-Sainz,MFFW,Alavés,es La Liga,19,5.0,7.00,20.0
Romain Saïss\Romain-Saiss,DF,Wolves,eng Premier League,30,26.7,8.20,62.7
Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,eng Premier League,18,28.4,6.20,25.9
Hiroki Sakai\Hiroki-Sakai,DF,Marseille,fr Ligue 1,30,26.5,7.77,56.5
Moïse Sakava\Moise-Sakava,MF,Reims,fr Ligue 1,19,0.1,10.0,
Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,eng Premier League,30,3.1,5.48,38.5
Jacopo Sala\Jacopo-Sala,DF,Spezia,it Serie A,28,4.2,7.38,37.5
Mohamed Salah\Mohamed-Salah,FW,Liverpool,eng Premier League,28,34.2,5.58,28.8
Eddy Salcedo\Eddy-Salcedo,FWMF,Hellas Verona,it Serie A,18,8.4,5.83,32.6
William Saliba\William-Saliba,DF,Nice,fr Ligue 1,19,20.0,9.55,61.4
Romain Salin\Romain-Salin,GK,Rennes,fr Ligue 1,36,15.0,6.60,
Mohammed Salisu\Mohammed-Salisu,DF,Southampton,eng Premier League,21,9.4,7.98,59.1
Roland Sallai\Roland-Sallai,MFFW,Freiburg,de Bundesliga,23,18.5,5.35,40.0
Salvi\Salvi,MFFW,Cádiz,es La Liga,29,21.5,5.81,33.3
Lazar Samardzic\Lazar-Samardzic,MFFW,RB Leipzig,de Bundesliga,18,2.2,6.36,50.0
Diadie Samassékou\Diadie-Samassekou,MF,Hoffenheim,de Bundesliga,24,28.5,13.4,45.4
Mama Samba Baldé\Mama-Samba-Balde,FW,Dijon,fr Ligue 1,24,24.0,4.33,37.4
Junior Sambia\Junior-Sambia,DFMF,Montpellier,fr Ligue 1,23,27.2,6.51,46.3
Frédéric Sammaritano\Frederic-Sammaritano,FWMF,Dijon,fr Ligue 1,34,12.6,5.71,15.0
Fede San Emeterio\Fede-San-Emeterio,MF,Valladolid,es La Liga,23,16.2,10.1,37.3
Antonio Sanabria\Antonio-Sanabria,FW,Torino,it Serie A,24,10.9,3.58,36.5
Antonio Sanabria\Antonio-Sanabria,FW,Betis,es La Liga,24,10.4,3.75,49.3
Oihan Sancet\Oihan-Sancet,FWMF,Athletic Club,es La Liga,20,11.5,5.13,36.6
Renato Sanches\Renato-Sanches,MF,Lille,fr Ligue 1,22,14.1,9.22,25.0
Juan Sánchez Miño\Juan-Sanchez-Mino,DFMF,Elche,es La Liga,30,5.5,7.27,44.4
Alexis Sánchez\Alexis-Sanchez,FW,Inter,it Serie A,31,12.7,5.43,54.2
Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,eng Premier League,24,16.5,9.27,62.5
Germán Sánchez\German-Sanchez,DF,Granada,es La Liga,33,29.3,7.37,52.7
Javi Sánchez\Javi-Sanchez,DF,Valladolid,es La Liga,23,10.2,6.08,50.0
Manuel Sánchez\Manuel-Sanchez,DF,Atlético Madrid,es La Liga,19,0.5,8.00,
Manuel Sánchez\Manuel-Sanchez,DF,Osasuna,es La Liga,19,10.8,7.59,34.8
Robert Sánchez\Robert-Sanchez,GK,Brighton,eng Premier League,22,27.0,4.96,50.0
Jadon Sancho\Jadon-Sancho,FWMF,Dortmund,de Bundesliga,20,22.9,6.72,18.5
Alex Sandro\Alex-Sandro,DF,Juventus,it Serie A,29,20.6,8.35,58.5
Leroy Sané\Leroy-Sane,FWMF,Bayern Munich,de Bundesliga,24,20.1,7.51,29.6
Salif Sané\Salif-Sane,DF,Schalke 04,de Bundesliga,29,11.9,12.7,80.2
Oier Sanjurjo\Oier-Sanjurjo,MF,Osasuna,es La Liga,34,23.2,13.6,52.1
Mohamed Sankoh\Mohamed-Sankoh,FW,Stuttgart,de Bundesliga,16,0.2,0.00,0.0
Siriki Sanogo\Siriki-Sanogo,MF,Benevento,it Serie A,18,0.1,10.0,
Morgan Sanson\Morgan-Sanson,MF,Aston Villa,eng Premier League,25,3.3,9.39,55.6
Morgan Sanson\Morgan-Sanson,MF,Marseille,fr Ligue 1,25,9.2,6.20,40.9
Nicola Sansone\Nicola-Sansone,FWMF,Bologna,it Serie A,28,13.0,6.08,19.4
Baptiste Santamaria\Baptiste-Santamaria,MF,Angers,fr Ligue 1,25,3.0,12.7,62.5
Baptiste Santamaria\Baptiste-Santamaria,MF,Freiburg,de Bundesliga,25,24.5,11.5,58.9
Federico Santander\Federico-Santander,FW,Bologna,it Serie A,29,0.4,12.5,50.0
Davide Santon\Davide-Santon,DF,Roma,it Serie A,29,6.5,5.54,57.1
Samir Santos\Samir-Santos,DF,Udinese,it Serie A,25,24.6,7.11,62.1
Riccardo Saponara\Riccardo-Saponara,FWMF,Fiorentina,it Serie A,28,0.6,5.00,50.0
Riccardo Saponara\Riccardo-Saponara,FWMF,Spezia,it Serie A,28,4.3,6.28,53.8
Ivan Šaponjić\Ivan-Saponjic,FW,Cádiz,es La Liga,22,4.3,4.42,40.0
Pablo Sarabia\Pablo-Sarabia,FWMF,Paris S-G,fr Ligue 1,28,14.7,4.56,28.6
Josh Sargent\Josh-Sargent,FWMF,Werder Bremen,de Bundesliga,20,27.8,5.97,38.9
Bouna Sarr\Bouna-Sarr,DF,Marseille,fr Ligue 1,28,0.8,10.0,25.0
Bouna Sarr\Bouna-Sarr,DF,Bayern Munich,de Bundesliga,28,5.0,11.4,53.3
Sidy Sarr\Sidy-Sarr,MF,Nîmes,fr Ligue 1,24,5.1,10.4,70.6
Marco Sau\Marco-Sau,MFFW,Benevento,it Serie A,32,8.7,5.75,30.8
Téji Savanier\Teji-Savanier,MF,Montpellier,fr Ligue 1,28,24.1,11.1,55.3
Stefan Savić\Stefan-Savic,DF,Atlético Madrid,es La Liga,29,32.8,9.51,68.0
Romaine Sawyers\Romaine-Sawyers,MF,West Brom,eng Premier League,28,16.5,10.7,68.4
Gianluca Scamacca\Gianluca-Scamacca,FW,Genoa,it Serie A,21,15.0,5.13,47.3
Dane Scarlett\Dane-Scarlett,FW,Tottenham,eng Premier League,16,0.0,0,
Fabian Schär\Fabian-Schar,DF,Newcastle Utd,eng Premier League,28,13.8,8.91,44.4
Aurélien Scheidler\Aurelien-Scheidler,FW,Dijon,fr Ligue 1,22,3.8,2.89,30.3
Nicolás Schiappacasse\Nicolas-Schiappacasse,MF,Sassuolo,it Serie A,21,0.2,5.00,0.0
Pasquale Schiattarella\Pasquale-Schiattarella,MF,Benevento,it Serie A,33,25.0,11.8,60.0
Patrik Schick\Patrik-Schick,FW,Leverkusen,de Bundesliga,24,20.7,3.33,50.6
Sven Schipplock\Sven-Schipplock,FWMF,Arminia,de Bundesliga,31,8.3,6.75,41.1
Xaver Schlager\Xaver-Schlager,MF,Wolfsburg,de Bundesliga,22,29.2,13.0,52.6
Keven Schlotterbeck\Keven-Schlotterbeck,DF,Freiburg,de Bundesliga,23,18.4,9.40,61.1
Nico Schlotterbeck\Nico-Schlotterbeck,DF,Union Berlin,de Bundesliga,20,14.3,9.72,58.9
Jeffrey Schlupp\Jeffrey-Schlupp,MF,Crystal Palace,eng Premier League,27,15.9,7.30,42.7
Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,eng Premier League,33,38.0,4.24,
Jonathan Schmid\Jonathan-Schmid,DFMF,Freiburg,de Bundesliga,30,26.6,8.68,46.8
Romano Schmid\Romano-Schmid,FWMF,Werder Bremen,de Bundesliga,20,13.1,10.4,22.6
Benno Schmitz\Benno-Schmitz,DF,Köln,de Bundesliga,25,4.6,7.83,42.9
Morgan Schneiderlin\Morgan-Schneiderlin,MF,Nice,fr Ligue 1,30,24.4,9.55,60.0
Alessandro Schöpf\Alessandro-Schopf,FWMF,Schalke 04,de Bundesliga,26,10.5,7.81,31.8
Jerdy Schouten\Jerdy-Schouten,MF,Bologna,it Serie A,23,27.9,12.3,53.2
Nico Schulz\Nico-Schulz,DF,Dortmund,de Bundesliga,27,6.8,8.82,54.5
Alexander Schwolow\Alexander-Schwolow,GK,Hertha BSC,de Bundesliga,28,26.0,4.54,
Christopher Scott\Christopher-Scott,FW,Bayern Munich,de Bundesliga,18,0.4,2.50,0.0
Matteo Scozzarella\Matteo-Scozzarella,MF,Parma,it Serie A,32,1.7,4.71,
Simone Scuffet\Simone-Scuffet,GK,Udinese,it Serie A,24,1.0,5.00,
Jacopo Segre\Jacopo-Segre,MF,Torino,it Serie A,23,2.1,8.57,40.0
Davie Selke\Davie-Selke,FW,Werder Bremen,de Bundesliga,25,9.0,5.44,48.9
Malik Sellouki\Malik-Sellouki,FWMF,Nice,fr Ligue 1,20,0.7,4.29,
Matz Sels\Matz-Sels,GK,Strasbourg,fr Ligue 1,28,6.0,4.67,
Nélson Semedo\Nelson-Semedo,DF,Wolves,eng Premier League,26,33.1,7.95,50.6
Léo Sena\Leo-Sena,MF,Spezia,it Serie A,24,9.8,10.7,33.3
Stefano Sensi\Stefano-Sensi,MF,Inter,it Serie A,24,6.7,8.21,25.0
Jaime Seoane\Jaime-Seoane,MF,Huesca,es La Liga,23,22.9,8.78,57.7
Luigi Sepe\Luigi-Sepe,GK,Parma,it Serie A,29,36.0,4.50,
Suat Serdar\Suat-Serdar,MF,Schalke 04,de Bundesliga,23,21.7,9.35,41.9
Jean Seri\Jean-Seri,MF,Bordeaux,fr Ligue 1,29,7.9,10.8,47.4
Femi Seriki\Femi-Seriki,DF,Sheffield Utd,eng Premier League,18,0.0,0,
Ryan Sessegnon\Ryan-Sessegnon,DF,Hoffenheim,de Bundesliga,20,17.5,8.69,38.5
Nils Seufert\Nils-Seufert,MFFW,Arminia,de Bundesliga,23,3.8,8.42,57.1
Edgar Sevikyan\Edgar-Sevikyan,MF,Levante,es La Liga,18,0.1,20.0,
Stephan El Shaarawy\Stephan-El-Shaarawy,FWMF,Roma,it Serie A,27,6.4,6.41,20.0
Jamie Shackleton\Jamie-Shackleton,MFDF,Leeds United,eng Premier League,20,5.1,7.06,40.0
Xherdan Shaqiri\Xherdan-Shaqiri,MFFW,Liverpool,eng Premier League,28,6.2,9.84,30.0
Billy Sharp\Billy-Sharp,FW,Sheffield Utd,eng Premier League,34,8.2,3.17,26.5
Luke Shaw\Luke-Shaw,DF,Manchester Utd,eng Premier League,25,29.5,9.05,48.6
Jonjo Shelvey\Jonjo-Shelvey,MF,Newcastle Utd,eng Premier League,28,29.1,8.38,56.7
Eldor Shomurodov\Eldor-Shomurodov,FW,Genoa,it Serie A,25,18.6,5.05,34.9
Shola Shoretire\Shola-Shoretire,FW,Manchester Utd,eng Premier League,16,0.1,0.00,50.0
Mahame Siby\Mahame-Siby,MFFW,Strasbourg,fr Ligue 1,24,0.2,10.0,
Abdoulaye Sidibé\Abdoulaye-Sidibe,MF,Saint-Étienne,fr Ligue 1,18,0.1,20.0,25.0
Djibril Sidibé\Djibril-Sidibe,DF,Monaco,fr Ligue 1,28,22.0,10.1,57.7
Sidnei\Sidnei,DF,Betis,es La Liga,30,7.7,10.1,48.7
Kaj Sierhuis\Kaj-Sierhuis,FW,Reims,fr Ligue 1,22,7.2,4.17,46.4
Tim Siersleben\Tim-Siersleben,DF,Wolfsburg,de Bundesliga,20,0.4,12.5,66.7
Gylfi Sigurðsson\Gylfi-Sigurdsson,MF,Everton,eng Premier League,30,25.0,7.04,40.0
Luca Siligardi\Luca-Siligardi,FWMF,Parma,it Serie A,32,0.4,12.5,
Luca Siligardi\Luca-Siligardi,MF,Crotone,it Serie A,32,0.5,12.0,0.0
Adrien Silva\Adrien-Silva,MF,Sampdoria,it Serie A,31,17.8,10.8,33.3
André Silva\Andre-Silva,FW,Eint Frankfurt,de Bundesliga,24,30.7,4.46,38.7
Bernardo Silva\Bernardo-Silva,MFFW,Manchester City,eng Premier League,25,22.9,5.98,25.6
Caio Henrique Oliveira Silva\Caio-Henrique-Oliveira-Silva,DF,Monaco,fr Ligue 1,23,26.3,7.41,40.8
David Silva\David-Silva,MF,Real Sociedad,es La Liga,34,15.5,8.19,35.0
Fábio Silva\Fabio-Silva,FW,Wolves,eng Premier League,18,15.2,4.41,29.6
Florent da Silva\Florent-da-Silva,FW,Lyon,fr Ligue 1,17,0.0,0,
Gabriel Silva\Gabriel-Silva,DF,Saint-Étienne,fr Ligue 1,29,3.9,7.18,54.5
Gastón Silva\Gaston-Silva,DF,Huesca,es La Liga,26,6.7,7.16,50.0
Rui Silva\Rui-Silva,GK,Granada,es La Liga,26,32.0,5.34,
Thiago Silva\Thiago-Silva,DF,Chelsea,eng Premier League,35,21.5,10.6,73.3
Marco Silvestri\Marco-Silvestri,GK,Hellas Verona,it Serie A,29,34.0,5.18,
Mohamed Simakan\Mohamed-Simakan,DF,Strasbourg,fr Ligue 1,20,17.9,9.61,46.0
