,Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Values,Team
37,Ralf Fährmann,GK,Schalke 04,de Bundesliga,31.0,22.0,22.0,1876.0,20.8,50.0,2.4,139.0,94.0,66.2,3.0,3.0,16.0,3.0,13.6,3.0,1.0,8.0,2.0,40.5,0.27,-7.5,-0.36,126.0,397.0,31.7,225.0,13.0,5.8,18.0,0.86,14.5,1100000.0,fc schalke 04
38,Aitor Fernández,GK,Levante,es La Liga,29.0,29.0,29.0,2610.0,29.0,44.0,1.52,118.0,78.0,65.3,8.0,11.0,10.0,3.0,10.3,3.0,1.0,6.0,2.0,38.8,0.31,-3.2,-0.11,124.0,330.0,37.6,255.0,18.0,7.1,27.0,0.93,14.9,6600000.0,levante ud
39,Álvaro Fernández,GK,Huesca,es La Liga,22.0,22.0,22.0,1980.0,22.0,32.0,1.45,92.0,62.0,67.4,5.0,5.0,12.0,5.0,22.7,2.0,0.0,7.0,1.0,30.0,0.31,-1.0,-0.05,136.0,329.0,41.3,188.0,11.0,5.9,15.0,0.68,16.3,110000.0,celta de vigo
40,Andrés Fernández,GK,Huesca,es La Liga,33.0,16.0,16.0,1440.0,16.0,21.0,1.31,50.0,32.0,64.0,2.0,8.0,6.0,4.0,25.0,3.0,1.0,3.0,1.0,16.9,0.29,-3.1,-0.19,91.0,260.0,35.0,167.0,13.0,7.8,7.0,0.44,12.2,660000.0,sd huesca
41,Marco Festa,GK,Crotone,it Serie A,28.0,1.0,1.0,90.0,1.0,1.0,1.0,8.0,7.0,87.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.2,0.6,0.61,9.0,15.0,60.0,12.0,1.0,8.3,1.0,1.0,10.6,165000.0,fc crotone
42,Mark Flekken,GK,Freiburg,de Bundesliga,27.0,3.0,3.0,270.0,3.0,6.0,2.0,16.0,12.0,75.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.4,0.39,1.4,0.46,31.0,64.0,48.4,32.0,1.0,3.1,1.0,0.33,12.3,2750000.0,sc freiburg
43,Fraser Forster,GK,Southampton,eng Premier League,32.0,8.0,8.0,720.0,8.0,11.0,1.37,28.0,19.0,67.9,4.0,0.0,4.0,2.0,25.0,2.0,0.0,1.0,0.0,8.8,0.25,-2.2,-0.27,43.0,153.0,28.1,88.0,7.0,8.0,7.0,0.88,15.2,3300000.0,southampton fc
44,Daniel Fuzato,GK,Roma,it Serie A,23.0,5.0,5.0,450.0,5.0,7.0,1.4,26.0,19.0,73.1,2.0,1.0,2.0,2.0,40.0,0.0,0.0,1.0,0.0,6.9,0.27,-0.1,-0.02,20.0,57.0,35.1,28.0,1.0,3.6,1.0,0.2,12.8,880000.0,as roma
45,Manuel Gasparini,GK,Udinese,it Serie A,18.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,330000.0,udinese calcio
46,Paulo Gazzaniga,GK,Elche,es La Liga,28.0,8.0,8.0,720.0,8.0,9.0,1.13,21.0,14.0,61.9,3.0,1.0,4.0,2.0,25.0,1.0,0.0,3.0,1.0,7.5,0.32,-0.5,-0.06,61.0,161.0,37.9,59.0,5.0,8.5,1.0,0.13,11.2,3300000.0,tottenham hotspur
47,David de Gea,GK,Manchester Utd,eng Premier League,29.0,26.0,26.0,2295.0,25.5,32.0,1.25,85.0,58.0,67.1,12.0,9.0,5.0,9.0,34.6,4.0,1.0,5.0,2.0,29.8,0.31,-0.2,-0.01,94.0,217.0,43.3,195.0,9.0,4.6,9.0,0.35,14.1,19800000.0,manchester united
48,David Gil,GK,Cádiz,es La Liga,26.0,4.0,4.0,360.0,4.0,10.0,2.5,15.0,6.0,40.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,6.4,0.37,-3.6,-0.9,32.0,110.0,29.1,47.0,3.0,6.4,1.0,0.25,10.5,880000.0,cadiz cf
49,Alfred Gomis,GK,Rennes,fr Ligue 1,26.0,22.0,22.0,1980.0,22.0,25.0,1.14,73.0,50.0,69.9,7.0,5.0,10.0,5.0,22.7,3.0,0.0,0.0,0.0,25.3,0.32,0.3,0.01,99.0,229.0,43.2,158.0,17.0,10.8,17.0,0.77,15.3,7700000.0,stade rennais fc
