Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,eng Premier League,22,33,33,2953,32.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.4,1.5,0.03,0.01,0.04,0.03,0.04
Bobby Adekanye\Bobby-Adekanye,FWMF,Cádiz,es La Liga,21,3,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.43,0.00,0.43,0.43,0.43
Yacine Adli\Yacine-Adli,MF,Bordeaux,fr Ligue 1,20,35,25,2418,26.9,2,5,2,0,0,6,0,0.07,0.19,0.26,0.07,0.26,1.4,1.4,4.7,6.1,0.05,0.18,0.23,0.05,0.23
Andrea Adorante\Andrea-Adorante,FW,Parma,it Serie A,20,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Adrián\Adrian,GK,Liverpool,eng Premier League,33,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Martin Agirregabiria\Martin-Agirregabiria,DFMF,Alavés,es La Liga,24,26,16,1558,17.3,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06
Lucien Agoume\Lucien-Agoume,MF,Spezia,it Serie A,18,12,9,800,8.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
Felix Agu\Felix-Agu,DF,Werder Bremen,de Bundesliga,20,15,8,701,7.8,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.6,0.6,0.4,1.0,0.07,0.05,0.13,0.07,0.13
Kevin Agudelo\Kevin-Agudelo,FW,Spezia,it Serie A,21,29,14,1356,15.1,1,2,1,0,0,4,0,0.07,0.13,0.20,0.07,0.20,1.9,1.9,0.7,2.7,0.13,0.05,0.18,0.13,0.18
Nayef Aguerd\Nayef-Aguerd,DF,Rennes,fr Ligue 1,24,35,35,3147,35.0,3,1,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11,2.9,2.9,0.9,3.8,0.08,0.03,0.11,0.08,0.11
Sergio Agüero\Sergio-Aguero,FWMF,Manchester City,eng Premier League,32,12,7,559,6.2,4,1,3,1,2,0,0,0.64,0.16,0.81,0.48,0.64,3.4,1.8,1.3,3.1,0.54,0.21,0.75,0.30,0.51
Ruben Aguilar\Ruben-Aguilar,DFFW,Monaco,fr Ligue 1,27,33,27,2225,24.7,1,3,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,1.2,1.2,4.6,5.8,0.05,0.19,0.23,0.05,0.23
Naouirou Ahamada\Naouirou-Ahamada,MF,Stuttgart,de Bundesliga,18,6,3,252,2.8,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.12,0.02,0.13,0.12,0.13
Matteo Ahlinvi\Matteo-Ahlinvi,MF,Nîmes,fr Ligue 1,21,20,10,899,10.0,2,0,2,0,0,0,0,0.20,0.00,0.20,0.20,0.20,1.6,1.6,0.3,1.9,0.16,0.03,0.19,0.16,0.19
Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,FW,Marseille,fr Ligue 1,20,5,2,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.11,0.00,0.11,0.11,0.11
Jean-Eudes Aholou\Jean-Eudes-Aholou,MF,Strasbourg,fr Ligue 1,26,27,26,2146,23.8,2,2,2,0,0,9,0,0.08,0.08,0.17,0.08,0.17,2.3,2.0,1.2,3.1,0.10,0.05,0.15,0.08,0.13
Jean-Eudes Aholou\Jean-Eudes-Aholou,MF,Monaco,fr Ligue 1,26,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.26,0.00,0.26,0.26,0.26
Joseph Aidoo\Joseph-Aidoo,DF,Celta Vigo,es La Liga,24,25,14,1289,14.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.6,1.4,0.06,0.04,0.10,0.06,0.10
Ola Aina\Ola-Aina,DF,Fulham,eng Premier League,23,31,31,2664,29.6,2,1,2,0,0,3,0,0.07,0.03,0.10,0.07,0.10,1.0,1.0,1.4,2.3,0.03,0.05,0.08,0.03,0.08
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Angers,fr Ligue 1,19,3,2,187,2.1,0,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,0.1,0.1,0.4,0.4,0.04,0.17,0.21,0.04,0.21
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,eng Premier League,19,21,16,1404,15.6,1,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,0.6,0.6,1.0,1.6,0.04,0.06,0.10,0.04,0.10
Semi Ajayi\Semi-Ajayi,DF,West Brom,eng Premier League,26,33,31,2780,30.9,2,0,2,0,0,3,1,0.06,0.00,0.06,0.06,0.06,1.3,1.3,0.3,1.5,0.04,0.01,0.05,0.04,0.05
Ludovic Ajorque\Ludovic-Ajorque,FW,Strasbourg,fr Ligue 1,26,35,34,2967,33.0,16,4,12,4,5,5,0,0.49,0.12,0.61,0.36,0.49,16.5,12.7,3.7,16.4,0.50,0.11,0.61,0.39,0.50
Manuel Akanji\Manuel-Akanji,DF,Dortmund,de Bundesliga,25,28,26,2350,26.1,2,0,2,0,0,4,0,0.08,0.00,0.08,0.08,0.08,1.8,1.8,0.1,1.9,0.07,0.00,0.07,0.07,0.07
Carlos Akapo\Carlos-Akapo,DF,Cádiz,es La Liga,27,13,10,865,9.6,1,0,1,0,0,3,1,0.10,0.00,0.10,0.10,0.10,0.4,0.4,0.3,0.6,0.04,0.03,0.07,0.04,0.07
Marley Aké\Marley-Ake,FW,Marseille,fr Ligue 1,19,9,0,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.0,1.1,0.67,0.00,0.67,0.67,0.67
Nathan Aké\Nathan-Ake,DF,Manchester City,eng Premier League,25,10,9,797,8.9,1,0,1,0,0,4,0,0.11,0.00,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02
Paul Akouokou\Paul-Akouokou,MF,Betis,es La Liga,22,10,4,378,4.2,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.08,0.08,0.00,0.08
Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,MF,Lazio,it Serie A,27,32,6,1056,11.7,0,1,0,0,0,9,0,0.00,0.09,0.09,0.00,0.09,0.9,0.9,0.9,1.8,0.08,0.08,0.16,0.08,0.16
Kevin Akpoguma\Kevin-Akpoguma,DF,Hoffenheim,de Bundesliga,25,16,14,1184,13.2,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.1,0.1,0.4,0.4,0.00,0.03,0.03,0.00,0.03
David Alaba\David-Alaba,DFMF,Bayern Munich,de Bundesliga,28,32,30,2675,29.7,2,4,2,0,0,4,0,0.07,0.13,0.20,0.07,0.20,1.3,1.3,2.3,3.6,0.04,0.08,0.12,0.04,0.12
Sofiane Alakouch\Sofiane-Alakouch,DF,Nîmes,fr Ligue 1,22,22,17,1505,16.7,0,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,1.2,1.3,0.01,0.07,0.08,0.01,0.08
