Player,Pos,Squad,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Andriy Yarmolenko\Andriy-Yarmolenko,FWMF,West Ham,30,4.2,6,4,3,2,1,1,6,16.7,5,56,21,37.5,22,21,13,7,0,0,7,3,9,1,0
DeAndre Yedlin\DeAndre-Yedlin,DF,Newcastle Utd,27,4.8,10,6,10,0,0,4,12,33.3,8,65,20,30.8,37,17,11,9,1,0,8,3,13,19,0
Okay Yokuşlu\Okay-Yokuslu,MF,West Brom,26,14.6,47,33,25,20,2,16,37,43.2,21,285,90,31.6,128,132,25,25,3,0,22,42,89,40,1
Wilfried Zaha\Wilfried-Zaha,FW,Crystal Palace,27,29,34,24,15,14,5,9,30,30,21,568,139,24.5,108,274,186,21,0,0,21,27,61,2,0
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,MF,Fulham,24,28.7,87,53,27,46,14,23,57,40.4,34,561,164,29.2,171,275,115,47,7,0,40,55,142,34,1
Andi Zeqiri\Andi-Zeqiri,FWDF,Brighton,21,1.9,3,3,0,2,1,0,1,0,1,39,9,23.1,8,20,11,2,1,0,1,0,3,1,0
Oleksandr Zinchenko\Oleksandr-Zinchenko,DF,Manchester City,23,16.4,21,13,9,7,5,14,28,50,14,149,45,30.2,56,64,29,26,4,0,22,20,41,49,0
Hakim Ziyech\Hakim-Ziyech,FWMF,Chelsea,27,13,10,7,4,4,2,5,20,25,15,223,61,27.4,47,92,84,14,1,0,13,10,20,1,0
Kurt Zouma\Kurt-Zouma,DF,Chelsea,25,22.5,21,13,12,7,2,6,11,54.5,5,109,40,36.7,52,53,4,23,12,0,11,26,47,129,2
Martin Ødegaard\Martin-Odegaard,MF,Arsenal,21,9.6,7,5,1,4,2,2,10,20,8,184,44,23.9,36,79,69,3,0,0,3,5,12,5,0
