Player,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,eng Premier League,27,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sebastian Andersson\Sebastian-Andersson,FW,Köln,de Bundesliga,29,12.5,12,0.96,7,0,0,3,1,1,3,0.24,1,0,0,1,1,0
Nícolas Andrade\Nicolas-Andrade,GK,Udinese,it Serie A,32,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Benjamin André\Benjamin-Andre,MF,Lille,fr Ligue 1,29,32.1,55,1.72,47,0,3,2,3,0,4,0.12,4,0,0,0,0,0
Robert Andrich\Robert-Andrich,MF,Union Berlin,de Bundesliga,25,28.1,55,1.96,42,3,4,1,2,3,8,0.29,6,0,0,0,1,1
Victorien Angban\Victorien-Angban,MF,Metz,fr Ligue 1,23,18.6,26,1.40,25,0,0,0,1,0,2,0.11,2,0,0,0,0,0
Ángel\Angel,GK,Granada,es La Liga,18,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Miguel Ángel Rubio\Miguel-Angel-Rubio,DF,Valladolid,es La Liga,22,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
José Ángel\Jose-Angel,DF,Eibar,es La Liga,30,10.0,15,1.50,11,3,1,0,0,0,0,0.00,0,0,0,0,0,0
Angeliño\Angelino,DFFW,RB Leipzig,de Bundesliga,23,24.0,92,3.83,62,15,6,6,3,0,6,0.25,4,1,1,0,0,0
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,DF,Atalanta,it Serie A,19,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Philip Ankhrah\Philip-Ankhrah,MF,Hellas Verona,it Serie A,17,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cristian Ansaldi\Cristian-Ansaldi,DF,Torino,it Serie A,33,21.6,61,2.82,39,13,3,2,1,3,8,0.37,7,0,1,0,0,0
Waldemar Anton\Waldemar-Anton,DF,Stuttgart,de Bundesliga,24,30.1,28,0.93,22,1,0,1,1,3,5,0.17,4,0,0,0,1,0
José Antonio Miranda\Jose-Antonio-Miranda,MFDF,Getafe,es La Liga,22,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michail Antonio\Michail-Antonio,FW,West Ham,eng Premier League,30,21.9,65,2.96,34,1,8,7,15,0,11,0.50,5,1,0,2,3,0
Valentin Antov\Valentin-Antov,DF,Bologna,it Serie A,19,2.6,1,0.39,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Houssem Aouar\Houssem-Aouar,MFFW,Lyon,fr Ligue 1,22,19.8,101,5.10,69,2,11,6,8,5,14,0.71,8,0,1,4,1,0
Adil Aouchiche\Adil-Aouchiche,MFFW,Saint-Étienne,fr Ligue 1,18,19.2,94,4.89,50,32,1,2,7,2,8,0.42,5,3,0,0,0,0
Dennis Appiah\Dennis-Appiah,DF,Nantes,fr Ligue 1,28,17.3,24,1.39,21,0,2,0,0,1,5,0.29,4,0,1,0,0,0
Aritz Arambarri\Aritz-Arambarri,DF,Real Sociedad,es La Liga,22,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mauro Arambarri\Mauro-Arambarri,MF,Getafe,es La Liga,24,33.1,54,1.63,28,12,3,3,6,2,2,0.06,1,0,0,1,0,0
Charles Aránguiz\Charles-Aranguiz,MF,Leverkusen,de Bundesliga,31,18.5,31,1.67,29,0,0,0,0,2,1,0.05,1,0,0,0,0,0
Luiz Araújo\Luiz-Araujo,MF,Lille,fr Ligue 1,24,16.6,50,3.01,33,0,10,4,2,1,5,0.30,4,0,0,1,0,0
Néstor Araujo\Nestor-Araujo,DF,Celta Vigo,es La Liga,28,27.0,8,0.30,8,0,0,0,0,0,1,0.04,1,0,0,0,0,0
Ronald Araújo\Ronald-Araujo,DF,Barcelona,es La Liga,21,16.8,9,0.54,5,0,1,1,1,1,1,0.06,0,0,0,1,0,0
Anaitz Arbilla\Anaitz-Arbilla,DF,Eibar,es La Liga,33,31.2,30,0.96,17,4,4,2,0,3,3,0.10,1,0,1,1,0,0
Alphonse Areola\Alphonse-Areola,GK,Fulham,eng Premier League,27,36.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Santiago Arias\Santiago-Arias,DF,Leverkusen,de Bundesliga,28,1.0,1,1.00,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Karim Aribi\Karim-Aribi,FW,Nîmes,fr Ligue 1,26,3.3,7,2.14,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0
Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,FWMF,Eibar,es La Liga,21,0.5,1,1.91,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Nicolò Armini\Nicolo-Armini,DF,Lazio,it Serie A,19,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,eng Premier League,28,30.7,82,2.67,58,3,6,5,6,4,15,0.49,7,0,2,3,2,1
Maximilian Arnold\Maximilian-Arnold,MF,Wolfsburg,de Bundesliga,26,28.7,92,3.20,34,37,2,6,10,3,12,0.42,5,4,1,0,2,0
Toluwalas Arokodare\Toluwalas-Arokodare,FW,Köln,de Bundesliga,19,1.2,1,0.80,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sergio Arribas\Sergio-Arribas,FWDF,Real Madrid,es La Liga,18,1.5,4,2.67,4,0,0,0,0,0,2,1.33,2,0,0,0,0,0
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,eng Premier League,25,6.5,1,0.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tolgay Arslan\Tolgay-Arslan,MF,Udinese,it Serie A,29,20.2,24,1.19,19,1,1,0,3,0,1,0.05,1,0,0,0,0,0
Kwadwo Asamoah\Kwadwo-Asamoah,DFMF,Cagliari,it Serie A,31,2.5,2,0.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Santiago Ascacíbar\Santiago-Ascacibar,MF,Hertha BSC,de Bundesliga,23,8.5,13,1.54,9,0,2,1,1,0,1,0.12,0,0,0,1,0,0
Sergio Asenjo\Sergio-Asenjo,GK,Villarreal,es La Liga,31,36.0,3,0.08,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Marco Asensio\Marco-Asensio,FWMF,Real Madrid,es La Liga,24,20.8,71,3.42,46,10,6,4,3,2,8,0.39,5,1,1,1,0,0
Kristoffer Askildsen\Kristoffer-Askildsen,MF,Sampdoria,it Serie A,19,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Iago Aspas\Iago-Aspas,FW,Celta Vigo,es La Liga,32,31.8,115,3.61,91,3,12,6,3,0,26,0.82,19,1,4,1,1,0
Roger Assalé\Roger-Assale,FWMF,Dijon,fr Ligue 1,26,9.2,11,1.20,6,0,1,1,2,1,4,0.43,2,0,0,1,1,0
Miguel Atienza\Miguel-Atienza,MF,Eibar,es La Liga,21,9.3,7,0.75,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0
Youcef Attal\Youcef-Attal,DFMF,Nice,fr Ligue 1,24,10.6,20,1.88,12,1,5,0,2,0,1,0.09,0,0,1,0,0,0
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,eng Premier League,31,25.9,45,1.74,36,0,4,2,3,0,7,0.27,6,0,1,0,0,0
Emil Audero\Emil-Audero,GK,Sampdoria,it Serie A,23,37.0,5,0.14,3,2,0,0,0,0,1,0.03,1,0,0,0,0,0
Tommaso Augello\Tommaso-Augello,DF,Sampdoria,it Serie A,25,35.7,49,1.37,44,2,2,1,0,0,4,0.11,4,0,0,0,0,0
Jean-Kévin Augustin\Jean-Kevin-Augustin,FW,Nantes,fr Ligue 1,23,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ludwig Augustinsson\Ludwig-Augustinsson,DF,Werder Bremen,de Bundesliga,26,21.7,63,2.90,32,26,0,3,1,1,6,0.28,2,4,0,0,0,0
Serge Aurier\Serge-Aurier,DF,Tottenham,eng Premier League,27,17.8,34,1.91,23,0,4,3,1,3,4,0.22,3,0,1,0,0,0
Charlie Austin\Charlie-Austin,FW,West Brom,eng Premier League,31,1.5,1,0.65,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Ezequiel Ávila\Ezequiel-Avila,MFFW,Osasuna,es La Liga,26,2.2,3,1.34,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Taiwo Awoniyi\Taiwo-Awoniyi,FW,Union Berlin,de Bundesliga,22,15.1,33,2.19,24,0,3,2,3,1,6,0.40,3,0,1,0,2,0
Mehmet-Can Aydin\Mehmet-Can-Aydin,DF,Schalke 04,de Bundesliga,18,5.6,4,0.72,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
