Player,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Kristoffer Askildsen\Kristoffer-Askildsen,MF,Sampdoria,it Serie A,19,1.1,2,0,0,3,1,0,1,1,2,0,0,0,5,1,2,33.3
Iago Aspas\Iago-Aspas,FW,Celta Vigo,es La Liga,32,31.8,9,0,0,24,53,14,39,17,6,0,1,0,155,20,56,26.3
Roger Assalé\Roger-Assale,FWMF,Dijon,fr Ligue 1,26,9.2,0,1,0,12,26,5,5,7,7,1,0,0,39,9,22,29.0
Miguel Atienza\Miguel-Atienza,MF,Eibar,es La Liga,21,9.3,1,0,0,10,2,0,3,15,19,0,0,0,90,27,16,62.8
Youcef Attal\Youcef-Attal,DFMF,Nice,fr Ligue 1,24,10.6,1,0,0,18,26,7,41,26,22,0,0,0,84,10,19,34.5
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,eng Premier League,31,25.9,2,0,0,13,18,18,47,6,5,0,0,1,84,31,64,32.6
Emil Audero\Emil-Audero,GK,Sampdoria,it Serie A,23,37.0,0,0,0,0,6,0,0,0,0,0,0,0,182,0,0,
Tommaso Augello\Tommaso-Augello,DF,Sampdoria,it Serie A,25,35.7,2,1,0,13,26,2,118,39,25,0,0,0,314,48,37,56.5
Jean-Kévin Augustin\Jean-Kevin-Augustin,FW,Nantes,fr Ligue 1,23,0.4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.0
Ludwig Augustinsson\Ludwig-Augustinsson,DF,Werder Bremen,de Bundesliga,26,21.7,4,0,0,15,26,3,83,14,17,0,1,1,184,49,28,63.6
Serge Aurier\Serge-Aurier,DF,Tottenham,eng Premier League,27,17.8,0,0,0,23,15,1,21,24,38,0,1,0,156,39,37,51.3
Charlie Austin\Charlie-Austin,FW,West Brom,eng Premier League,31,1.5,0,0,0,0,2,1,1,2,3,0,0,0,6,7,13,35.0
Ezequiel Ávila\Ezequiel-Avila,MFFW,Osasuna,es La Liga,26,2.2,0,0,0,4,5,2,2,1,2,0,0,0,13,3,8,27.3
Taiwo Awoniyi\Taiwo-Awoniyi,FW,Union Berlin,de Bundesliga,22,15.1,0,0,0,22,20,15,3,4,6,1,0,0,61,32,86,27.1
Mehmet-Can Aydin\Mehmet-Can-Aydin,DF,Schalke 04,de Bundesliga,18,5.6,0,0,0,9,6,1,11,9,6,0,0,0,39,14,12,53.8
Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,eng Premier League,28,23.3,4,0,0,45,63,5,18,29,33,0,0,0,132,31,110,22.0
Kaan Ayhan\Kaan-Ayhan,DF,Sassuolo,it Serie A,25,8.8,3,0,0,8,2,0,3,8,11,0,0,0,53,15,16,48.4
Luke Ayling\Luke-Ayling,DF,Leeds United,eng Premier League,28,37.8,7,0,0,29,53,2,70,58,67,0,1,0,404,71,66,51.8
Ramon Azeez\Ramon-Azeez,MFDF,Granada,es La Liga,27,1.1,0,0,0,1,1,0,1,0,3,0,0,0,12,4,1,80.0
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,eng Premier League,30,24.3,5,1,0,32,14,5,29,37,31,0,0,0,243,58,48,54.7
Ludovic Baal\Ludovic-Baal,DF,Brest,fr Ligue 1,34,3.3,0,0,0,4,7,0,2,2,4,0,0,0,40,8,7,53.3
Carlos Bacca\Carlos-Bacca,FW,Villarreal,es La Liga,33,8.7,1,0,0,10,6,6,6,4,7,0,0,0,25,13,21,38.2
Loïc Bade\Loic-Bade,DF,Lens,fr Ligue 1,20,29.0,11,1,1,44,17,1,6,52,38,0,0,0,337,130,65,66.7
Milan Badelj\Milan-Badelj,MF,Genoa,it Serie A,31,26.8,7,0,0,35,32,1,12,91,46,1,0,0,336,18,14,56.3
Édgar Badía\Edgar-Badia,GK,Elche,es La Liga,28,30.0,0,0,0,0,4,0,0,0,0,0,0,0,147,0,0,
Alex Baena\Alex-Baena,MF,Villarreal,es La Liga,19,1.5,0,0,0,2,4,0,3,3,0,0,0,0,5,0,2,0.0
Miguel Baeza\Miguel-Baeza,MFFW,Celta Vigo,es La Liga,20,6.0,0,0,0,5,8,4,6,6,5,0,0,0,34,10,10,50.0
Stéphane Bahoken\Stephane-Bahoken,FW,Angers,fr Ligue 1,28,18.0,4,0,0,31,29,19,19,11,13,0,0,0,69,20,62,24.4
Leon Bailey\Leon-Bailey,FWMF,Leverkusen,de Bundesliga,22,23.8,6,0,0,24,44,15,91,18,12,0,0,0,188,21,37,36.2
Eric Bailly\Eric-Bailly,DF,Manchester Utd,eng Premier League,26,10.2,3,0,0,11,4,0,0,22,6,0,0,0,98,27,17,61.4
Stefan Bajic\Stefan-Bajic,GK,Saint-Étienne,fr Ligue 1,18,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Tiemoué Bakayoko\Tiemoue-Bakayoko,MF,Napoli,it Serie A,25,21.8,6,1,1,36,52,1,1,28,53,1,0,0,193,44,36,55.0
Mitchel Bakker\Mitchel-Bakker,DF,Paris S-G,fr Ligue 1,20,18.8,1,0,0,16,9,3,49,17,28,0,0,0,179,22,18,55.0
Ridle Baku\Ridle-Baku,FWDF,Wolfsburg,de Bundesliga,22,29.8,1,0,0,32,41,10,88,47,27,0,0,0,247,16,53,23.2
Ridle Baku\Ridle-Baku,DF,Mainz 05,de Bundesliga,22,2.0,0,0,0,1,5,0,3,4,2,0,0,0,20,1,1,50.0
Dilane Bakwa\Dilane-Bakwa,FWMF,Bordeaux,fr Ligue 1,17,0.6,0,0,0,1,6,0,0,1,2,0,0,0,5,2,1,66.7
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,eng Premier League,28,13.3,1,1,0,12,3,0,0,14,14,0,0,0,114,26,17,60.5
