,,,,,,Pass,Pass,Pass,Pass
Player,Pos,Squad,Comp,Age,90s,TB,Press,Sw,Crs
,,,,,,,,,
Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,DFMF,Eibar,es La Liga,21,24.3,0.00,4.57,1.23,2.43
Dennis Praet\Dennis-Praet,MFFW,Leicester City,eng Premier League,26,8.0,0.00,7.00,1.13,2.25
Sanjin Prcić\Sanjin-Prcic,MF,Strasbourg,fr Ligue 1,26,3.9,0.00,6.41,4.10,1.28
Nicolas de Préville\Nicolas-de-Preville,FWMF,Bordeaux,fr Ligue 1,29,17.9,0.17,7.54,1.90,1.79
Manuel Prietl\Manuel-Prietl,MF,Arminia,de Bundesliga,28,28.0,0.00,6.46,1.04,0.14
Grischa Prömel\Grischa-Promel,MF,Union Berlin,de Bundesliga,25,20.2,0.00,5.74,0.45,0.25
Davy Pröpper\Davy-Propper,MF,Brighton,eng Premier League,28,2.4,0.00,5.00,0.42,0.83
Ivan Provedel\Ivan-Provedel,GK,Spezia,it Serie A,26,29.0,0.00,3.69,1.97,0.00
Antonio Puertas\Antonio-Puertas,FWMF,Granada,es La Liga,28,24.1,0.17,8.38,0.46,1.66
Riqui Puig\Riqui-Puig,MF,Barcelona,es La Liga,20,3.2,0.63,19.1,1.25,0.00
Erick Pulgar\Erick-Pulgar,MF,Fiorentina,it Serie A,26,22.2,0.00,7.43,2.61,1.08
Jorge Pulido\Jorge-Pulido,DF,Huesca,es La Liga,29,32.1,0.00,7.01,1.50,0.25
Christian Pulisic\Christian-Pulisic,FWMF,Chelsea,eng Premier League,21,19.3,0.10,7.82,0.52,1.61
Ignacio Pussetto\Ignacio-Pussetto,FW,Udinese,it Serie A,24,8.4,0.12,6.31,0.24,1.67
Fabio Quagliarella\Fabio-Quagliarella,FW,Sampdoria,it Serie A,37,24.5,0.04,6.53,0.73,0.90
Robin Quaison\Robin-Quaison,FWMF,Mainz 05,de Bundesliga,26,16.4,0.12,5.61,0.55,0.37
Domingos Quina\Domingos-Quina,MF,Granada,es La Liga,20,3.8,0.00,4.21,0.53,0.53
Quini\Quini,DF,Granada,es La Liga,30,13.2,0.00,5.30,0.91,1.29
Quique\Quique,FWMF,Eibar,es La Liga,30,1.9,0.00,8.95,0.53,0.00
Dani Raba\Dani-Raba,MF,Villarreal,es La Liga,24,1.7,0.00,8.24,2.35,2.35
Simone Rabbi\Simone-Rabbi,FW,Bologna,it Serie A,18,0.4,0.00,2.50,0.00,0.00
Adrien Rabiot\Adrien-Rabiot,MF,Juventus,it Serie A,25,25.7,0.12,8.56,0.78,0.54
Uroš Račić\Uros-Racic,MF,Valencia,es La Liga,22,24.3,0.00,10.5,2.30,0.04
Anthony Racioppi\Anthony-Racioppi,GK,Dijon,fr Ligue 1,21,21.0,0.00,1.38,0.76,0.00
Nemanja Radoja\Nemanja-Radoja,MF,Levante,es La Liga,27,12.5,0.00,9.20,1.52,0.24
Nemanja Radonjić\Nemanja-Radonjic,FW,Marseille,fr Ligue 1,24,4.4,0.23,5.45,1.36,1.82
Nemanja Radonjić\Nemanja-Radonjic,FWDF,Hertha BSC,de Bundesliga,24,6.8,0.00,7.06,0.74,3.38
Aleksandar Radovanović\Aleksandar-Radovanovic,DF,Lens,fr Ligue 1,26,1.0,0.00,6.00,1.00,0.00
Ivan Radovanović\Ivan-Radovanovic,DFMF,Genoa,it Serie A,31,24.8,0.00,4.64,1.37,0.08
Ionuț Radu\Ionut-Radu,GK,Inter,it Serie A,23,1.5,0.00,0.67,0.00,0.00
Ștefan Radu\Stefan-Radu,DF,Lazio,it Serie A,33,27.3,0.07,6.04,1.36,1.58
Rafael\Rafael,GK,Spezia,it Serie A,38,2.3,0.00,3.04,0.43,0.00
Rafinha\Rafinha,MF,Paris S-G,fr Ligue 1,27,15.1,0.33,12.7,1.59,0.53
Antonio Raimondo\Antonio-Raimondo,FW,Bologna,it Serie A,16,0.0,0,1,0,0
Predrag Rajković\Predrag-Rajkovic,GK,Reims,fr Ligue 1,24,36.5,0.03,2.27,1.04,0.00
Ivan Rakitić\Ivan-Rakitic,MF,Sevilla,es La Liga,32,24.8,0.08,7.86,4.07,0.56
Jonás Ramalho\Jonas-Ramalho,DF,Osasuna,es La Liga,27,3.4,0.00,6.47,1.18,0.59
Benito Raman\Benito-Raman,FWMF,Schalke 04,de Bundesliga,25,13.8,0.00,3.62,0.58,1.09
Gastón Ramírez\Gaston-Ramirez,MFFW,Sampdoria,it Serie A,29,10.8,0.19,7.13,2.04,1.76
Sandro Ramírez\Sandro-Ramirez,FWMF,Huesca,es La Liga,25,14.3,0.00,4.69,0.84,1.26
Sergio Ramos\Sergio-Ramos,DF,Real Madrid,es La Liga,34,14.2,0.00,5.28,5.21,0.35
Aaron Ramsdale\Aaron-Ramsdale,GK,Sheffield Utd,eng Premier League,22,38.0,0.00,1.55,1.16,0.00
Aaron Ramsey\Aaron-Ramsey,MF,Juventus,it Serie A,29,12.1,0.33,8.93,1.24,1.57
Jacob Ramsey\Jacob-Ramsey,MFFW,Aston Villa,eng Premier League,19,7.0,0.00,6.86,0.71,1.00
Kayne Ramsey\Kayne-Ramsey,DF,Southampton,eng Premier League,19,1.0,0.00,6.00,0.00,0.00
Darren Randolph\Darren-Randolph,GK,West Ham,eng Premier League,33,3.0,0.00,0.67,0.33,0.00
Andrea Ranocchia\Andrea-Ranocchia,DF,Inter,it Serie A,32,7.8,0.00,6.54,0.38,0.00
Marcus Rashford\Marcus-Rashford,FW,Manchester Utd,eng Premier League,22,32.4,0.09,5.99,0.90,1.33
Milot Rashica\Milot-Rashica,FWMF,Werder Bremen,de Bundesliga,24,16.2,0.00,5.62,0.99,2.47
Giacomo Raspadori\Giacomo-Raspadori,FWMF,Sassuolo,it Serie A,20,13.7,0.36,5.99,1.53,0.80
Federico Ravaglia\Federico-Ravaglia,GK,Bologna,it Serie A,20,4.0,0.00,1.50,0.75,0.00
Tim Ream\Tim-Ream,DF,Fulham,eng Premier League,32,7.0,0.00,4.00,1.86,0.00
Ante Rebić\Ante-Rebic,FW,Milan,it Serie A,26,19.7,0.25,4.92,0.66,2.54
Arkadiusz Reca\Arkadiusz-Reca,DF,Crotone,it Serie A,25,25.7,0.00,6.34,0.93,3.27
Recio\Recio,MF,Eibar,es La Liga,29,8.2,0.00,10.5,2.44,2.44
Daishawn Redan\Daishawn-Redan,FWMF,Hertha BSC,de Bundesliga,19,1.1,0.00,1.82,0.00,2.73
Nathan Redmond\Nathan-Redmond,MFFW,Southampton,eng Premier League,26,19.3,0.16,8.45,0.47,1.76
Harrison Reed\Harrison-Reed,MF,Fulham,eng Premier League,25,25.0,0.00,7.08,1.36,0.52
Vasco Regini\Vasco-Regini,DF,Sampdoria,it Serie A,29,1.0,0.00,4.00,0.00,1.00
Sergio Reguilón\Sergio-Reguilon,DF,Tottenham,eng Premier League,23,24.9,0.00,5.74,1.08,2.37
Bobby Reid\Bobby-Reid,MFDF,Fulham,eng Premier League,27,26.4,0.08,4.73,0.83,1.33
Pepe Reina\Pepe-Reina,GK,Lazio,it Serie A,37,29.0,0.00,3.76,0.79,0.00
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,MFFW,Nice,fr Ligue 1,22,11.8,0.34,6.86,1.53,0.85
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,FW,Lyon,fr Ligue 1,22,0.3,0.00,10.0,3.33,0.00
Reinier\Reinier,MFFW,Dortmund,de Bundesliga,18,2.9,0.00,6.55,0.00,0.69
Francisco Reis Ferreira\Francisco-Reis-Ferreira,DF,Valencia,es La Liga,23,2.0,0.00,5.00,0.50,0.00
Rocco Reitz\Rocco-Reitz,MF,M'Gladbach,de Bundesliga,18,0.7,1.43,11.4,0.00,0.00
Karim Rekik\Karim-Rekik,DF,Sevilla,es La Liga,25,7.3,0.00,5.89,0.55,1.10
Álex Remiro\Alex-Remiro,GK,Real Sociedad,es La Liga,25,38.0,0.00,2.92,0.74,0.00
Panagiotis Retsos\Panagiotis-Retsos,DF,Saint-Étienne,fr Ligue 1,21,3.0,0.00,9.00,2.33,0.00
Marco Reus\Marco-Reus,MFFW,Dortmund,de Bundesliga,31,25.3,0.24,7.55,0.95,2.21
Elvis Rexhbeçaj\Elvis-Rexhbecaj,MFFW,Köln,de Bundesliga,22,20.4,0.10,5.88,1.03,1.37
Oriol Rey\Oriol-Rey,MF,Valladolid,es La Liga,22,0.2,0.00,10.0,0.00,0.00
Gio Reyna\Gio-Reyna,FWMF,Dortmund,de Bundesliga,17,22.0,0.23,7.50,0.95,1.50
Baptiste Reynet\Baptiste-Reynet,GK,Nîmes,fr Ligue 1,29,38.0,0.05,1.68,1.34,0.00
Bryan Reynolds\Bryan-Reynolds,DF,Roma,it Serie A,19,3.1,0.00,2.90,1.94,1.61
Franck Ribéry\Franck-Ribery,FW,Fiorentina,it Serie A,37,23.9,0.17,7.53,1.26,1.05
Ricard\Ricard,DF,Atlético Madrid,es La Liga,20,0.3,0.00,3.33,3.33,6.67
Federico Ricci\Federico-Ricci,FW,Sassuolo,it Serie A,26,0.0,0,0,0,0
Giacomo Ricci\Giacomo-Ricci,DF,Parma,it Serie A,23,0.7,0.00,1.43,1.43,1.43
Matteo Ricci\Matteo-Ricci,MF,Spezia,it Serie A,26,24.8,0.08,8.27,3.02,0.40
Declan Rice\Declan-Rice,MF,West Ham,eng Premier League,21,32.0,0.13,6.94,1.81,0.91
Chris Richards\Chris-Richards,DF,Hoffenheim,de Bundesliga,20,10.5,0.10,8.38,1.43,0.00
Chris Richards\Chris-Richards,DF,Bayern Munich,de Bundesliga,20,1.0,0.00,6.00,4.00,4.00
Lewis Richardson\Lewis-Richardson,FWMF,Burnley,eng Premier League,17,0.0,0,0,0,0
Richarlison\Richarlison,FW,Everton,eng Premier League,23,31.8,0.13,6.57,0.19,0.72
Marco Richter\Marco-Richter,FWMF,Augsburg,de Bundesliga,22,15.7,0.13,6.82,1.46,2.36
Mikel Rico\Mikel-Rico,MF,Huesca,es La Liga,35,24.3,0.00,7.98,1.36,1.07
Sergio Rico\Sergio-Rico,GK,Paris S-G,fr Ligue 1,26,9.0,0.00,0.78,0.11,0.00
Jaïro Riedewald\Jairo-Riedewald,MF,Crystal Palace,eng Premier League,23,20.2,0.00,4.75,0.35,0.25
Emiliano Rigoni\Emiliano-Rigoni,MFFW,Elche,es La Liga,27,12.7,0.00,6.77,1.81,2.05
Tomás Rincón\Tomas-Rincon,MF,Torino,it Serie A,32,31.6,0.06,6.87,1.87,0.54
Luis Rioja\Luis-Rioja,MFDF,Alavés,es La Liga,26,23.2,0.04,5.65,0.82,2.67
Renaud Ripart\Renaud-Ripart,MFFW,Nîmes,fr Ligue 1,27,33.9,0.06,7.20,0.94,1.30
Andrea Rispoli\Andrea-Rispoli,DF,Crotone,it Serie A,31,7.2,0.00,6.39,1.39,2.92
Mihailo Ristić\Mihailo-Ristic,DF,Montpellier,fr Ligue 1,24,24.8,0.12,5.65,2.14,2.58
Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,eng Premier League,30,15.0,0.00,6.33,2.33,3.93
Maxence Rivera\Maxence-Rivera,MFFW,Saint-Étienne,fr Ligue 1,18,2.7,0.00,4.81,1.11,2.22
Emmanuel Rivière\Emmanuel-Riviere,FWMF,Crotone,it Serie A,30,7.1,0.00,7.61,0.14,0.14
Rober\Rober,DFMF,Levante,es La Liga,25,15.8,0.06,10.0,3.16,0.06
Roberto\Roberto,GK,Valladolid,es La Liga,34,13.0,0.00,2.23,0.62,0.00
Sergi Roberto\Sergi-Roberto,DFMF,Barcelona,es La Liga,28,10.5,0.10,7.33,0.19,0.67
Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,eng Premier League,21,14.9,0.27,5.50,0.60,0.60
Andrew Robertson\Andrew-Robertson,DF,Liverpool,eng Premier League,26,37.6,0.08,6.20,3.06,3.91
Antonee Robinson\Antonee-Robinson,DF,Fulham,eng Premier League,22,24.0,0.00,5.71,1.25,3.88
Callum Robinson\Callum-Robinson,FWMF,West Brom,eng Premier League,25,17.3,0.00,5.90,0.58,2.02
Jack Robinson\Jack-Robinson,DF,Sheffield Utd,eng Premier League,26,9.7,0.00,4.95,0.41,1.13
Joel Robles\Joel-Robles,GK,Betis,es La Liga,30,18.0,0.00,1.72,1.00,0.00
Hal Robson-Kanu\Hal-Robson-Kanu,FWMF,West Brom,eng Premier League,31,6.2,0.00,4.68,0.16,0.48
Marc Roca\Marc-Roca,MF,Bayern Munich,de Bundesliga,23,2.0,0.00,5.50,1.50,1.00
Christopher Rocchia\Christopher-Rocchia,DF,Marseille,fr Ligue 1,22,0.2,0.00,15.0,0.00,0.00
Rubén Rochina\Ruben-Rochina,MF,Levante,es La Liga,29,15.6,0.13,9.42,4.04,1.79
Marek Rodák\Marek-Rodak,GK,Fulham,eng Premier League,23,2.0,0.00,4.50,0.50,0.00
Sebastian Rode\Sebastian-Rode,MF,Eint Frankfurt,de Bundesliga,29,18.1,0.17,9.56,0.66,0.44
Joe Rodon\Joe-Rodon,DF,Tottenham,eng Premier League,22,8.1,0.00,4.07,0.37,0.00
Rodri\Rodri,MF,Manchester City,eng Premier League,24,30.5,0.10,13.2,3.18,0.39
Rodrigo\Rodrigo,MFFW,Leeds United,eng Premier League,29,14.3,0.35,8.74,1.26,1.40
Rodrigo\Rodrigo,FWMF,Betis,es La Liga,20,6.0,0.00,5.00,1.00,1.67
Kévin Rodrigues\Kevin-Rodrigues,MFDF,Eibar,es La Liga,26,12.2,0.00,7.62,2.62,3.36
Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,MFFW,Sevilla,es La Liga,22,5.7,0.35,9.47,2.63,3.33
Ángel Rodríguez\Angel-Rodriguez,FWMF,Getafe,es La Liga,33,15.3,0.00,5.88,0.65,0.92
Guido Rodríguez\Guido-Rodriguez,MF,Betis,es La Liga,26,31.8,0.09,7.33,1.86,0.13
James Rodríguez\James-Rodriguez,FWMF,Everton,eng Premier League,29,19.6,0.31,10.1,4.54,1.79
Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,eng Premier League,31,14.1,0.07,5.67,0.00,0.28
Miguel Rodríguez\Miguel-Rodriguez,FWMF,Celta Vigo,es La Liga,17,0.3,0.00,10.0,3.33,3.33
Ricardo Rodríguez\Ricardo-Rodriguez,DF,Torino,it Serie A,27,13.8,0.07,6.38,2.17,0.72
Víctor Rodríguez\Victor-Rodriguez,MF,Elche,es La Liga,31,4.7,0.21,9.57,1.70,0.43
Rodrygo\Rodrygo,FW,Real Madrid,es La Liga,19,10.9,0.18,5.96,0.46,1.38
Marko Rog\Marko-Rog,MF,Cagliari,it Serie A,25,12.9,0.08,5.81,0.54,0.47
Rogério\Rogerio,DF,Sassuolo,it Serie A,22,20.9,0.00,6.94,1.00,2.63
Luis Rojas\Luis-Rojas,MFFW,Crotone,it Serie A,18,1.2,0.00,10.0,0.83,0.83
Alessio Romagnoli\Alessio-Romagnoli,DF,Milan,it Serie A,25,21.2,0.00,2.55,0.57,0.05
Cristian Romero\Cristian-Romero,DF,Atalanta,it Serie A,22,28.3,0.07,6.68,0.85,0.00
Oriol Romeu\Oriol-Romeu,MF,Southampton,eng Premier League,28,19.6,0.15,12.6,0.87,0.26
Cristiano Ronaldo\Cristiano-Ronaldo,FW,Juventus,it Serie A,35,31.1,0.10,6.14,0.74,1.67
Facundo Roncaglia\Facundo-Roncaglia,DF,Osasuna,es La Liga,33,13.7,0.07,4.96,1.90,1.09
Valentin Rongier\Valentin-Rongier,MF,Marseille,fr Ligue 1,25,21.0,0.10,8.19,1.52,0.38
Marten de Roon\Marten-de-Roon,MF,Atalanta,it Serie A,29,33.6,0.06,6.76,1.76,0.39
Jérôme Roussillon\Jerome-Roussillon,DF,Wolfsburg,de Bundesliga,27,13.7,0.00,6.20,1.31,3.21
Nolan Roux\Nolan-Roux,FW,Nîmes,fr Ligue 1,32,7.2,0.00,4.72,0.42,0.69
Nicolò Rovella\Nicolo-Rovella,MF,Genoa,it Serie A,18,13.2,0.15,8.11,2.73,0.98
Amir Rrahmani\Amir-Rrahmani,DF,Napoli,it Serie A,26,12.2,0.00,3.85,2.21,0.16
Rubén\Ruben,GKMF,Osasuna,es La Liga,36,2.1,0.00,1.43,0.00,0.00
Waldo Rubio\Waldo-Rubio,FWMF,Valladolid,es La Liga,24,4.2,0.24,6.43,1.90,0.71
John Ruddy\John-Ruddy,GK,Wolves,eng Premier League,33,1.0,0.00,1.00,1.00,0.00
Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,eng Premier League,27,19.0,0.00,6.05,1.53,0.05
Sebastian Rudy\Sebastian-Rudy,MFDF,Hoffenheim,de Bundesliga,30,18.6,0.00,8.49,1.45,2.20
Sebastian Rudy\Sebastian-Rudy,DF,Schalke 04,de Bundesliga,30,2.0,0.00,16.0,1.50,1.50
Kevin Rüegg\Kevin-Ruegg,DFMF,Hellas Verona,it Serie A,21,2.3,0.00,4.78,0.87,1.74
Daniele Rugani\Daniele-Rugani,DF,Cagliari,it Serie A,26,11.1,0.00,5.77,0.18,0.36
Daniele Rugani\Daniele-Rugani,DF,Rennes,fr Ligue 1,26,1.0,0.00,11.0,0.00,0.00
Matteo Ruggeri\Matteo-Ruggeri,DF,Atalanta,it Serie A,18,2.3,0.00,2.17,0.43,3.48
Mário Rui\Mario-Rui,DF,Napoli,it Serie A,29,18.5,0.05,5.84,1.84,3.03
Aitor Ruibal\Aitor-Ruibal,FWMF,Betis,es La Liga,24,17.7,0.00,6.84,0.28,1.30
Fabián Ruiz Peña\Fabian-Ruiz-Pena,MF,Napoli,it Serie A,24,28.5,0.18,11.2,3.51,0.74
Isma Ruiz\Isma-Ruiz,MF,Granada,es La Liga,19,0.7,0.00,10.0,1.43,0.00
Kays Ruiz\Kays-Ruiz,FWMF,Paris S-G,fr Ligue 1,17,2.1,0.48,9.52,0.95,0.48
Víctor Ruiz\Victor-Ruiz,DF,Betis,es La Liga,31,24.0,0.04,5.75,1.46,0.00
Gerónimo Rulli\Geronimo-Rulli,GK,Villarreal,es La Liga,28,2.0,0.00,2.00,3.50,0.00
Georginio Rutter\Georginio-Rutter,FWMF,Rennes,fr Ligue 1,18,0.5,0.00,12.0,0.00,0.00
Georginio Rutter\Georginio-Rutter,FW,Hoffenheim,de Bundesliga,18,2.7,0.00,7.41,1.48,1.48
Mathew Ryan\Mathew-Ryan,GK,Arsenal,eng Premier League,28,3.0,0.00,0.67,0.33,0.00
Mathew Ryan\Mathew-Ryan,GK,Brighton,eng Premier League,28,11.0,0.00,4.45,1.18,0.00
Julian Ryerson\Julian-Ryerson,DFMF,Union Berlin,de Bundesliga,22,11.9,0.00,6.81,0.50,1.26
Frederik Rønnow\Frederik-Ronnow,GK,Schalke 04,de Bundesliga,27,10.5,0.00,2.86,0.57,0.00
João Victor Santos Sá\Joao-Victor-Santos-Sa,FW,Wolfsburg,de Bundesliga,26,5.2,0.00,7.50,0.00,0.58
Roli Pereira de Sa\Roli-Pereira-de-Sa,MFFW,Nantes,fr Ligue 1,23,0.6,0.00,8.33,1.67,0.00
Idriss Saadi\Idriss-Saadi,FWMF,Strasbourg,fr Ligue 1,28,1.4,0.00,9.29,0.71,1.43
Youssouf Sabaly\Youssouf-Sabaly,DF,Bordeaux,fr Ligue 1,27,32.3,0.06,6.81,0.62,1.21
Mathys Saban\Mathys-Saban,FW,Saint-Étienne,fr Ligue 1,18,0.1,0.00,0.00,0.00,0.00
Marcel Sabitzer\Marcel-Sabitzer,MF,RB Leipzig,de Bundesliga,26,22.5,0.27,9.42,2.00,1.02
Alexis Saelemaekers\Alexis-Saelemaekers,FW,Milan,it Serie A,21,22.4,0.04,5.80,0.54,1.83
Modibo Sagnan\Modibo-Sagnan,DFMF,Real Sociedad,es La Liga,21,6.9,0.00,5.51,2.03,0.14
Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,eng Premier League,23,17.3,0.06,6.59,0.46,1.21
Borja Sainz\Borja-Sainz,MFFW,Alavés,es La Liga,19,5.0,0.00,4.00,1.00,2.20
Romain Saïss\Romain-Saiss,DF,Wolves,eng Premier League,30,26.7,0.00,4.91,1.42,0.64
Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,eng Premier League,18,28.4,0.11,7.22,1.30,2.89
Hiroki Sakai\Hiroki-Sakai,DF,Marseille,fr Ligue 1,30,26.5,0.00,5.06,0.79,1.17
Moïse Sakava\Moise-Sakava,MF,Reims,fr Ligue 1,19,0.1,0.00,10.0,10.0,0.00
Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,eng Premier League,30,3.1,0.00,3.55,0.32,0.00
Jacopo Sala\Jacopo-Sala,DF,Spezia,it Serie A,28,4.2,0.00,3.81,0.95,2.14
Mohamed Salah\Mohamed-Salah,FW,Liverpool,eng Premier League,28,34.2,0.23,6.43,0.44,1.37
Eddy Salcedo\Eddy-Salcedo,FWMF,Hellas Verona,it Serie A,18,8.4,0.24,9.40,0.00,1.31
William Saliba\William-Saliba,DF,Nice,fr Ligue 1,19,20.0,0.05,7.20,2.70,0.00
Romain Salin\Romain-Salin,GK,Rennes,fr Ligue 1,36,15.0,0.00,2.00,0.80,0.00
Mohammed Salisu\Mohammed-Salisu,DF,Southampton,eng Premier League,21,9.4,0.00,7.98,0.43,0.21
Roland Sallai\Roland-Sallai,MFFW,Freiburg,de Bundesliga,23,18.5,0.11,6.76,0.65,2.27
Salvi\Salvi,MFFW,Cádiz,es La Liga,29,21.5,0.00,4.23,0.88,3.91
Lazar Samardzic\Lazar-Samardzic,MFFW,RB Leipzig,de Bundesliga,18,2.2,0.45,11.4,0.00,0.00
Diadie Samassékou\Diadie-Samassekou,MF,Hoffenheim,de Bundesliga,24,28.5,0.11,8.77,1.16,0.25
Mama Samba Baldé\Mama-Samba-Balde,FW,Dijon,fr Ligue 1,24,24.0,0.00,6.29,0.25,0.42
Junior Sambia\Junior-Sambia,DFMF,Montpellier,fr Ligue 1,23,27.2,0.18,5.15,1.58,2.24
Frédéric Sammaritano\Frederic-Sammaritano,FWMF,Dijon,fr Ligue 1,34,12.6,0.16,6.51,2.30,2.54
Fede San Emeterio\Fede-San-Emeterio,MF,Valladolid,es La Liga,23,16.2,0.00,5.80,1.17,0.12
Antonio Sanabria\Antonio-Sanabria,FW,Torino,it Serie A,24,10.9,0.00,7.61,1.19,0.46
Antonio Sanabria\Antonio-Sanabria,FW,Betis,es La Liga,24,10.4,0.10,5.48,0.29,0.10
Oihan Sancet\Oihan-Sancet,FWMF,Athletic Club,es La Liga,20,11.5,0.00,7.83,0.61,0.43
Renato Sanches\Renato-Sanches,MF,Lille,fr Ligue 1,22,14.1,0.57,8.09,4.47,1.35
Juan Sánchez Miño\Juan-Sanchez-Mino,DFMF,Elche,es La Liga,30,5.5,0.00,8.18,1.09,1.45
Alexis Sánchez\Alexis-Sanchez,FW,Inter,it Serie A,31,12.7,0.39,8.03,1.81,1.42
Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,eng Premier League,24,16.5,0.00,4.42,1.03,0.00
Germán Sánchez\German-Sanchez,DF,Granada,es La Liga,33,29.3,0.03,3.92,1.06,0.00
Javi Sánchez\Javi-Sanchez,DF,Valladolid,es La Liga,23,10.2,0.00,3.63,2.06,0.10
Manuel Sánchez\Manuel-Sanchez,DF,Atlético Madrid,es La Liga,19,0.5,0.00,16.0,0.00,0.00
Manuel Sánchez\Manuel-Sanchez,DF,Osasuna,es La Liga,19,10.8,0.00,6.57,1.11,2.78
Robert Sánchez\Robert-Sanchez,GK,Brighton,eng Premier League,22,27.0,0.00,2.33,2.11,0.00
Jadon Sancho\Jadon-Sancho,FWMF,Dortmund,de Bundesliga,20,22.9,0.26,8.69,1.22,2.27
Alex Sandro\Alex-Sandro,DF,Juventus,it Serie A,29,20.6,0.00,8.01,1.60,2.18
Leroy Sané\Leroy-Sane,FWMF,Bayern Munich,de Bundesliga,24,20.1,0.05,7.26,1.94,2.69
Salif Sané\Salif-Sane,DF,Schalke 04,de Bundesliga,29,11.9,0.08,7.14,1.60,0.25
Oier Sanjurjo\Oier-Sanjurjo,MF,Osasuna,es La Liga,34,23.2,0.17,8.23,0.69,0.34
Mohamed Sankoh\Mohamed-Sankoh,FW,Stuttgart,de Bundesliga,16,0.2,0.00,5.00,0.00,0.00
Siriki Sanogo\Siriki-Sanogo,MF,Benevento,it Serie A,18,0.1,0.00,10.0,0.00,0.00
Morgan Sanson\Morgan-Sanson,MF,Aston Villa,eng Premier League,25,3.3,0.00,10.3,2.12,2.42
Morgan Sanson\Morgan-Sanson,MF,Marseille,fr Ligue 1,25,9.2,0.00,7.61,0.65,1.41
Nicola Sansone\Nicola-Sansone,FWMF,Bologna,it Serie A,28,13.0,0.15,5.46,1.15,1.69
Baptiste Santamaria\Baptiste-Santamaria,MF,Angers,fr Ligue 1,25,3.0,0.33,5.33,1.33,0.33
Baptiste Santamaria\Baptiste-Santamaria,MF,Freiburg,de Bundesliga,25,24.5,0.00,8.20,1.35,1.06
Federico Santander\Federico-Santander,FW,Bologna,it Serie A,29,0.4,0.00,15.0,0.00,2.50
Davide Santon\Davide-Santon,DF,Roma,it Serie A,29,6.5,0.00,5.23,1.23,2.46
Samir Santos\Samir-Santos,DF,Udinese,it Serie A,25,24.6,0.04,4.39,0.53,0.69
Riccardo Saponara\Riccardo-Saponara,FWMF,Fiorentina,it Serie A,28,0.6,0.00,15.0,0.00,0.00
Riccardo Saponara\Riccardo-Saponara,FWMF,Spezia,it Serie A,28,4.3,0.23,8.84,0.70,1.16
Ivan Šaponjić\Ivan-Saponjic,FW,Cádiz,es La Liga,22,4.3,0.00,7.67,0.00,0.00
Pablo Sarabia\Pablo-Sarabia,FWMF,Paris S-G,fr Ligue 1,28,14.7,0.68,8.03,1.09,2.52
Josh Sargent\Josh-Sargent,FWMF,Werder Bremen,de Bundesliga,20,27.8,0.11,5.72,0.07,0.43
Bouna Sarr\Bouna-Sarr,DF,Marseille,fr Ligue 1,28,0.8,0.00,3.75,0.00,1.25
Bouna Sarr\Bouna-Sarr,DF,Bayern Munich,de Bundesliga,28,5.0,0.00,7.00,0.60,2.20
Sidy Sarr\Sidy-Sarr,MF,Nîmes,fr Ligue 1,24,5.1,0.20,7.65,3.53,0.00
Marco Sau\Marco-Sau,MFFW,Benevento,it Serie A,32,8.7,0.00,6.32,1.03,1.84
Téji Savanier\Teji-Savanier,MF,Montpellier,fr Ligue 1,28,24.1,0.12,7.88,3.90,2.37
Stefan Savić\Stefan-Savic,DF,Atlético Madrid,es La Liga,29,32.8,0.03,5.49,1.77,0.06
Romaine Sawyers\Romaine-Sawyers,MF,West Brom,eng Premier League,28,16.5,0.06,5.39,1.09,0.30
Gianluca Scamacca\Gianluca-Scamacca,FW,Genoa,it Serie A,21,15.0,0.07,5.60,1.20,0.87
Dane Scarlett\Dane-Scarlett,FW,Tottenham,eng Premier League,16,0.0,0,0,0,0
Fabian Schär\Fabian-Schar,DF,Newcastle Utd,eng Premier League,28,13.8,0.14,4.71,2.25,0.22
Aurélien Scheidler\Aurelien-Scheidler,FW,Dijon,fr Ligue 1,22,3.8,0.00,4.21,0.26,0.00
Nicolás Schiappacasse\Nicolas-Schiappacasse,MF,Sassuolo,it Serie A,21,0.2,0.00,0.00,0.00,0.00
Pasquale Schiattarella\Pasquale-Schiattarella,MF,Benevento,it Serie A,33,25.0,0.20,8.00,1.40,0.24
Patrik Schick\Patrik-Schick,FW,Leverkusen,de Bundesliga,24,20.7,0.00,7.34,0.00,0.24
Sven Schipplock\Sven-Schipplock,FWMF,Arminia,de Bundesliga,31,8.3,0.00,6.27,0.24,1.20
