,,,,,,Drib,Carr,Carr
Player,Pos,Squad,Comp,Age,90s,Succ,PrgDist,Mis
,,,,,,,,
Marco Reus\Marco-Reus,MFFW,Dortmund,de Bundesliga,31,25.3,1.62,94.9,1.66
Elvis Rexhbeçaj\Elvis-Rexhbecaj,MFFW,Köln,de Bundesliga,22,20.4,0.64,59.2,1.96
Oriol Rey\Oriol-Rey,MF,Valladolid,es La Liga,22,0.2,0.00,95.0,0.00
Gio Reyna\Gio-Reyna,FWMF,Dortmund,de Bundesliga,17,22.0,2.23,133.0,1.86
Baptiste Reynet\Baptiste-Reynet,GK,Nîmes,fr Ligue 1,29,38.0,0.03,64.1,0.00
Bryan Reynolds\Bryan-Reynolds,DF,Roma,it Serie A,19,3.1,0.97,108.7,1.61
Franck Ribéry\Franck-Ribery,FW,Fiorentina,it Serie A,37,23.9,2.59,134.2,2.13
Ricard\Ricard,DF,Atlético Madrid,es La Liga,20,0.3,0.00,43.3,3.33
Federico Ricci\Federico-Ricci,FW,Sassuolo,it Serie A,26,0.0,0,5,1
Giacomo Ricci\Giacomo-Ricci,DF,Parma,it Serie A,23,0.7,0.00,92.9,0.00
Matteo Ricci\Matteo-Ricci,MF,Spezia,it Serie A,26,24.8,0.36,90.7,0.32
Declan Rice\Declan-Rice,MF,West Ham,eng Premier League,21,32.0,1.03,135.0,0.75
Chris Richards\Chris-Richards,DF,Hoffenheim,de Bundesliga,20,10.5,0.29,127.5,0.38
Chris Richards\Chris-Richards,DF,Bayern Munich,de Bundesliga,20,1.0,0.00,144.0,0.00
Lewis Richardson\Lewis-Richardson,FWMF,Burnley,eng Premier League,17,0.0,0,0,0
Richarlison\Richarlison,FW,Everton,eng Premier League,23,31.8,1.95,112.0,1.86
Marco Richter\Marco-Richter,FWMF,Augsburg,de Bundesliga,22,15.7,2.87,87.5,3.06
Mikel Rico\Mikel-Rico,MF,Huesca,es La Liga,35,24.3,1.19,68.7,1.11
Sergio Rico\Sergio-Rico,GK,Paris S-G,fr Ligue 1,26,9.0,0.00,20.9,0.22
Jaïro Riedewald\Jairo-Riedewald,MF,Crystal Palace,eng Premier League,23,20.2,0.59,57.2,0.79
Emiliano Rigoni\Emiliano-Rigoni,MFFW,Elche,es La Liga,27,12.7,1.42,92.6,2.20
Tomás Rincón\Tomas-Rincon,MF,Torino,it Serie A,32,31.6,0.95,72.3,0.79
Luis Rioja\Luis-Rioja,MFDF,Alavés,es La Liga,26,23.2,1.85,109.3,1.59
Renaud Ripart\Renaud-Ripart,MFFW,Nîmes,fr Ligue 1,27,33.9,1.18,68.4,1.89
Andrea Rispoli\Andrea-Rispoli,DF,Crotone,it Serie A,31,7.2,0.56,97.2,1.11
Mihailo Ristić\Mihailo-Ristic,DF,Montpellier,fr Ligue 1,24,24.8,0.77,115.3,1.01
Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,eng Premier League,30,15.0,0.40,77.1,0.53
Maxence Rivera\Maxence-Rivera,MFFW,Saint-Étienne,fr Ligue 1,18,2.7,1.85,148.1,4.44
Emmanuel Rivière\Emmanuel-Riviere,FWMF,Crotone,it Serie A,30,7.1,0.28,34.1,3.52
Rober\Rober,DFMF,Levante,es La Liga,25,15.8,0.38,145.8,0.38
Roberto\Roberto,GK,Valladolid,es La Liga,34,13.0,0.00,31.0,0.00
Sergi Roberto\Sergi-Roberto,DFMF,Barcelona,es La Liga,28,10.5,0.76,144.5,0.57
Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,eng Premier League,21,14.9,1.14,82.7,1.61
Andrew Robertson\Andrew-Robertson,DF,Liverpool,eng Premier League,26,37.6,0.77,167.3,1.04
Antonee Robinson\Antonee-Robinson,DF,Fulham,eng Premier League,22,24.0,2.00,169.1,1.50
Callum Robinson\Callum-Robinson,FWMF,West Brom,eng Premier League,25,17.3,1.33,59.8,2.14
Jack Robinson\Jack-Robinson,DF,Sheffield Utd,eng Premier League,26,9.7,0.31,59.5,0.31
Joel Robles\Joel-Robles,GK,Betis,es La Liga,30,18.0,0.00,37.9,0.00
Hal Robson-Kanu\Hal-Robson-Kanu,FWMF,West Brom,eng Premier League,31,6.2,0.97,44.8,5.32
Marc Roca\Marc-Roca,MF,Bayern Munich,de Bundesliga,23,2.0,2.50,110.0,0.50
Christopher Rocchia\Christopher-Rocchia,DF,Marseille,fr Ligue 1,22,0.2,0.00,235.0,10.0
Rubén Rochina\Ruben-Rochina,MF,Levante,es La Liga,29,15.6,2.63,111.9,2.05
Marek Rodák\Marek-Rodak,GK,Fulham,eng Premier League,23,2.0,0.00,21.0,0.00
Sebastian Rode\Sebastian-Rode,MF,Eint Frankfurt,de Bundesliga,29,18.1,0.39,127.1,0.83
Joe Rodon\Joe-Rodon,DF,Tottenham,eng Premier League,22,8.1,0.00,52.6,0.25
Rodri\Rodri,MF,Manchester City,eng Premier League,24,30.5,0.95,159.3,0.59
Rodrigo\Rodrigo,MFFW,Leeds United,eng Premier League,29,14.3,1.26,77.8,2.59
Rodrigo\Rodrigo,FWMF,Betis,es La Liga,20,6.0,1.17,96.0,1.83
Kévin Rodrigues\Kevin-Rodrigues,MFDF,Eibar,es La Liga,26,12.2,1.15,78.0,1.31
Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,MFFW,Sevilla,es La Liga,22,5.7,1.75,126.5,2.11
Ángel Rodríguez\Angel-Rodriguez,FWMF,Getafe,es La Liga,33,15.3,0.59,40.3,3.20
Guido Rodríguez\Guido-Rodriguez,MF,Betis,es La Liga,26,31.8,0.88,62.2,0.50
James Rodríguez\James-Rodriguez,FWMF,Everton,eng Premier League,29,19.6,1.48,92.3,0.97
Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,eng Premier League,31,14.1,1.06,36.0,3.12
Miguel Rodríguez\Miguel-Rodriguez,FWMF,Celta Vigo,es La Liga,17,0.3,3.33,206.7,0.00
Ricardo Rodríguez\Ricardo-Rodriguez,DF,Torino,it Serie A,27,13.8,0.58,109.9,0.36
Víctor Rodríguez\Victor-Rodriguez,MF,Elche,es La Liga,31,4.7,0.43,140.0,0.85
Rodrygo\Rodrygo,FW,Real Madrid,es La Liga,19,10.9,1.74,163.8,2.39
Marko Rog\Marko-Rog,MF,Cagliari,it Serie A,25,12.9,1.63,130.7,1.16
Rogério\Rogerio,DF,Sassuolo,it Serie A,22,20.9,1.15,135.4,0.86
Luis Rojas\Luis-Rojas,MFFW,Crotone,it Serie A,18,1.2,5.83,56.7,2.50
Alessio Romagnoli\Alessio-Romagnoli,DF,Milan,it Serie A,25,21.2,0.00,94.3,0.19
Cristian Romero\Cristian-Romero,DF,Atalanta,it Serie A,22,28.3,0.35,88.3,0.25
Oriol Romeu\Oriol-Romeu,MF,Southampton,eng Premier League,28,19.6,0.56,119.8,0.46
Cristiano Ronaldo\Cristiano-Ronaldo,FW,Juventus,it Serie A,35,31.1,1.86,134.7,1.74
Facundo Roncaglia\Facundo-Roncaglia,DF,Osasuna,es La Liga,33,13.7,0.22,68.2,0.44
Valentin Rongier\Valentin-Rongier,MF,Marseille,fr Ligue 1,25,21.0,1.10,119.8,1.05
Marten de Roon\Marten-de-Roon,MF,Atalanta,it Serie A,29,33.6,0.42,115.9,0.39
Jérôme Roussillon\Jerome-Roussillon,DF,Wolfsburg,de Bundesliga,27,13.7,0.88,106.3,0.88
Nolan Roux\Nolan-Roux,FW,Nîmes,fr Ligue 1,32,7.2,0.42,32.9,2.22
Nicolò Rovella\Nicolo-Rovella,MF,Genoa,it Serie A,18,13.2,0.68,121.6,0.91
Amir Rrahmani\Amir-Rrahmani,DF,Napoli,it Serie A,26,12.2,0.25,52.3,0.08
Rubén\Ruben,GKMF,Osasuna,es La Liga,36,2.1,0.00,28.6,0.00
Waldo Rubio\Waldo-Rubio,FWMF,Valladolid,es La Liga,24,4.2,1.19,91.7,0.95
John Ruddy\John-Ruddy,GK,Wolves,eng Premier League,33,1.0,0.00,20.0,0.00
Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,eng Premier League,27,19.0,0.16,172.3,0.11
Sebastian Rudy\Sebastian-Rudy,MFDF,Hoffenheim,de Bundesliga,30,18.6,0.48,68.0,1.29
Sebastian Rudy\Sebastian-Rudy,DF,Schalke 04,de Bundesliga,30,2.0,0.50,75.0,0.50
Kevin Rüegg\Kevin-Ruegg,DFMF,Hellas Verona,it Serie A,21,2.3,1.74,60.0,1.74
Daniele Rugani\Daniele-Rugani,DF,Rennes,fr Ligue 1,26,1.0,1.00,131.0,0.00
Daniele Rugani\Daniele-Rugani,DF,Cagliari,it Serie A,26,11.1,0.27,68.2,0.18
Matteo Ruggeri\Matteo-Ruggeri,DF,Atalanta,it Serie A,18,2.3,0.43,115.2,1.30
Mário Rui\Mario-Rui,DF,Napoli,it Serie A,29,18.5,0.81,128.5,0.97
Aitor Ruibal\Aitor-Ruibal,FWMF,Betis,es La Liga,24,17.7,2.09,97.5,1.75
Fabián Ruiz Peña\Fabian-Ruiz-Pena,MF,Napoli,it Serie A,24,28.5,0.70,161.3,0.53
Isma Ruiz\Isma-Ruiz,MF,Granada,es La Liga,19,0.7,0.00,30.0,0.00
Kays Ruiz\Kays-Ruiz,FWMF,Paris S-G,fr Ligue 1,17,2.1,2.38,262.9,1.43
Víctor Ruiz\Victor-Ruiz,DF,Betis,es La Liga,31,24.0,0.17,105.8,0.21
Gerónimo Rulli\Geronimo-Rulli,GK,Villarreal,es La Liga,28,2.0,0.00,70.5,0.00
Georginio Rutter\Georginio-Rutter,FW,Hoffenheim,de Bundesliga,18,2.7,2.96,38.9,3.33
Georginio Rutter\Georginio-Rutter,FWMF,Rennes,fr Ligue 1,18,0.5,0.00,20.0,10.0
Mathew Ryan\Mathew-Ryan,GK,Arsenal,eng Premier League,28,3.0,0.00,37.0,0.33
Mathew Ryan\Mathew-Ryan,GK,Brighton,eng Premier League,28,11.0,0.00,35.8,0.00
Julian Ryerson\Julian-Ryerson,DFMF,Union Berlin,de Bundesliga,22,11.9,1.01,73.0,1.26
Frederik Rønnow\Frederik-Ronnow,GK,Schalke 04,de Bundesliga,27,10.5,0.00,33.7,0.10
João Victor Santos Sá\Joao-Victor-Santos-Sa,FW,Wolfsburg,de Bundesliga,26,5.2,2.31,104.8,2.50
Roli Pereira de Sa\Roli-Pereira-de-Sa,MFFW,Nantes,fr Ligue 1,23,0.6,6.67,218.3,0.00
Idriss Saadi\Idriss-Saadi,FWMF,Strasbourg,fr Ligue 1,28,1.4,1.43,33.6,1.43
Youssouf Sabaly\Youssouf-Sabaly,DF,Bordeaux,fr Ligue 1,27,32.3,1.39,126.2,0.96
Mathys Saban\Mathys-Saban,FW,Saint-Étienne,fr Ligue 1,18,0.1,0.00,10.0,0.00
Marcel Sabitzer\Marcel-Sabitzer,MF,RB Leipzig,de Bundesliga,26,22.5,0.71,92.5,1.11
Alexis Saelemaekers\Alexis-Saelemaekers,FW,Milan,it Serie A,21,22.4,1.96,94.9,1.88
Modibo Sagnan\Modibo-Sagnan,DFMF,Real Sociedad,es La Liga,21,6.9,0.29,140.4,0.00
Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,eng Premier League,23,17.3,4.80,167.1,2.31
Borja Sainz\Borja-Sainz,MFFW,Alavés,es La Liga,19,5.0,1.60,100.8,3.00
Romain Saïss\Romain-Saiss,DF,Wolves,eng Premier League,30,26.7,0.30,104.6,0.30
Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,eng Premier League,18,28.4,1.48,122.8,1.65
Hiroki Sakai\Hiroki-Sakai,DF,Marseille,fr Ligue 1,30,26.5,0.45,97.2,0.64
Moïse Sakava\Moise-Sakava,MF,Reims,fr Ligue 1,19,0.1,0.00,170.0,0.00
Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,eng Premier League,30,3.1,0.00,49.4,0.32
Jacopo Sala\Jacopo-Sala,DF,Spezia,it Serie A,28,4.2,0.71,138.8,0.24
Mohamed Salah\Mohamed-Salah,FW,Liverpool,eng Premier League,28,34.2,1.46,101.2,3.36
Eddy Salcedo\Eddy-Salcedo,FWMF,Hellas Verona,it Serie A,18,8.4,1.19,71.8,2.02
William Saliba\William-Saliba,DF,Nice,fr Ligue 1,19,20.0,0.45,298.2,0.25
Romain Salin\Romain-Salin,GK,Rennes,fr Ligue 1,36,15.0,0.00,50.4,0.00
Mohammed Salisu\Mohammed-Salisu,DF,Southampton,eng Premier League,21,9.4,0.96,58.2,0.64
Roland Sallai\Roland-Sallai,MFFW,Freiburg,de Bundesliga,23,18.5,0.86,97.5,2.27
Salvi\Salvi,MFFW,Cádiz,es La Liga,29,21.5,0.42,73.0,2.19
Lazar Samardzic\Lazar-Samardzic,MFFW,RB Leipzig,de Bundesliga,18,2.2,2.73,67.7,1.82
Diadie Samassékou\Diadie-Samassekou,MF,Hoffenheim,de Bundesliga,24,28.5,0.98,59.5,0.74
Mama Samba Baldé\Mama-Samba-Balde,FW,Dijon,fr Ligue 1,24,24.0,1.17,42.5,3.79
Junior Sambia\Junior-Sambia,DFMF,Montpellier,fr Ligue 1,23,27.2,1.51,121.7,0.99
Frédéric Sammaritano\Frederic-Sammaritano,FWMF,Dijon,fr Ligue 1,34,12.6,1.11,92.1,1.51
Fede San Emeterio\Fede-San-Emeterio,MF,Valladolid,es La Liga,23,16.2,0.19,22.5,0.31
Antonio Sanabria\Antonio-Sanabria,FW,Torino,it Serie A,24,10.9,0.83,49.6,2.39
Antonio Sanabria\Antonio-Sanabria,FW,Betis,es La Liga,24,10.4,0.87,45.4,3.08
Oihan Sancet\Oihan-Sancet,FWMF,Athletic Club,es La Liga,20,11.5,1.39,87.0,1.74
Renato Sanches\Renato-Sanches,MF,Lille,fr Ligue 1,22,14.1,2.70,193.5,2.06
Juan Sánchez Miño\Juan-Sanchez-Mino,DFMF,Elche,es La Liga,30,5.5,1.27,92.4,1.09
Alexis Sánchez\Alexis-Sanchez,FW,Inter,it Serie A,31,12.7,2.20,85.8,2.83
Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,eng Premier League,24,16.5,0.00,96.8,0.12
Germán Sánchez\German-Sanchez,DF,Granada,es La Liga,33,29.3,0.10,43.1,0.10
Javi Sánchez\Javi-Sanchez,DF,Valladolid,es La Liga,23,10.2,0.20,73.8,0.29
Manuel Sánchez\Manuel-Sanchez,DF,Osasuna,es La Liga,19,10.8,0.74,86.2,1.20
Manuel Sánchez\Manuel-Sanchez,DF,Atlético Madrid,es La Liga,19,0.5,0.00,134.0,0.00
Robert Sánchez\Robert-Sanchez,GK,Brighton,eng Premier League,22,27.0,0.00,57.9,0.04
Jadon Sancho\Jadon-Sancho,FWMF,Dortmund,de Bundesliga,20,22.9,3.97,188.6,2.53
Alex Sandro\Alex-Sandro,DF,Juventus,it Serie A,29,20.6,0.78,180.5,0.78
Leroy Sané\Leroy-Sane,FWMF,Bayern Munich,de Bundesliga,24,20.1,3.68,135.3,3.38
Salif Sané\Salif-Sane,DF,Schalke 04,de Bundesliga,29,11.9,0.59,92.9,0.25
Oier Sanjurjo\Oier-Sanjurjo,MF,Osasuna,es La Liga,34,23.2,0.30,40.3,0.73
Mohamed Sankoh\Mohamed-Sankoh,FW,Stuttgart,de Bundesliga,16,0.2,0.00,20.0,0.00
Siriki Sanogo\Siriki-Sanogo,MF,Benevento,it Serie A,18,0.1,0.00,0.00,0.00
Morgan Sanson\Morgan-Sanson,MF,Marseille,fr Ligue 1,25,9.2,0.87,99.3,2.50
Morgan Sanson\Morgan-Sanson,MF,Aston Villa,eng Premier League,25,3.3,1.21,126.1,2.42
Nicola Sansone\Nicola-Sansone,FWMF,Bologna,it Serie A,28,13.0,2.00,124.5,2.08
Baptiste Santamaria\Baptiste-Santamaria,MF,Angers,fr Ligue 1,25,3.0,0.33,116.0,1.33
Baptiste Santamaria\Baptiste-Santamaria,MF,Freiburg,de Bundesliga,25,24.5,0.90,68.9,1.18
Federico Santander\Federico-Santander,FW,Bologna,it Serie A,29,0.4,0.00,25.0,2.50
Davide Santon\Davide-Santon,DF,Roma,it Serie A,29,6.5,0.92,126.5,0.77
Samir Santos\Samir-Santos,DF,Udinese,it Serie A,25,24.6,0.24,107.6,0.28
Riccardo Saponara\Riccardo-Saponara,FWMF,Fiorentina,it Serie A,28,0.6,0.00,140.0,1.67
Riccardo Saponara\Riccardo-Saponara,FWMF,Spezia,it Serie A,28,4.3,1.86,135.3,2.09
Ivan Šaponjić\Ivan-Saponjic,FW,Cádiz,es La Liga,22,4.3,0.47,19.8,1.86
Pablo Sarabia\Pablo-Sarabia,FWMF,Paris S-G,fr Ligue 1,28,14.7,0.75,121.4,1.70
Josh Sargent\Josh-Sargent,FWMF,Werder Bremen,de Bundesliga,20,27.8,1.01,42.9,2.66
Bouna Sarr\Bouna-Sarr,DF,Bayern Munich,de Bundesliga,28,5.0,2.80,167.2,1.40
Bouna Sarr\Bouna-Sarr,DF,Marseille,fr Ligue 1,28,0.8,2.50,201.3,5.00
Sidy Sarr\Sidy-Sarr,MF,Nîmes,fr Ligue 1,24,5.1,0.98,74.7,0.78
Marco Sau\Marco-Sau,MFFW,Benevento,it Serie A,32,8.7,0.80,65.7,2.07
Téji Savanier\Teji-Savanier,MF,Montpellier,fr Ligue 1,28,24.1,2.57,120.4,1.66
Stefan Savić\Stefan-Savic,DF,Atlético Madrid,es La Liga,29,32.8,0.18,125.8,0.12
Romaine Sawyers\Romaine-Sawyers,MF,West Brom,eng Premier League,28,16.5,0.55,67.0,0.55
Gianluca Scamacca\Gianluca-Scamacca,FW,Genoa,it Serie A,21,15.0,0.93,55.9,2.67
Dane Scarlett\Dane-Scarlett,FW,Tottenham,eng Premier League,16,0.0,0,0,0
Fabian Schär\Fabian-Schar,DF,Newcastle Utd,eng Premier League,28,13.8,0.51,106.8,0.29
Aurélien Scheidler\Aurelien-Scheidler,FW,Dijon,fr Ligue 1,22,3.8,0.26,26.8,1.58
Nicolás Schiappacasse\Nicolas-Schiappacasse,MF,Sassuolo,it Serie A,21,0.2,0.00,0.00,5.00
Pasquale Schiattarella\Pasquale-Schiattarella,MF,Benevento,it Serie A,33,25.0,0.52,112.7,0.80
Patrik Schick\Patrik-Schick,FW,Leverkusen,de Bundesliga,24,20.7,1.21,28.7,2.90
Sven Schipplock\Sven-Schipplock,FWMF,Arminia,de Bundesliga,31,8.3,1.08,69.5,2.17
Xaver Schlager\Xaver-Schlager,MF,Wolfsburg,de Bundesliga,22,29.2,0.89,116.6,1.47
Keven Schlotterbeck\Keven-Schlotterbeck,DF,Freiburg,de Bundesliga,23,18.4,0.22,97.7,0.33
Nico Schlotterbeck\Nico-Schlotterbeck,DF,Union Berlin,de Bundesliga,20,14.3,0.63,167.2,0.42
Jeffrey Schlupp\Jeffrey-Schlupp,MF,Crystal Palace,eng Premier League,27,15.9,2.01,64.7,1.57
Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,eng Premier League,33,38.0,0.03,38.1,0.00
Jonathan Schmid\Jonathan-Schmid,DFMF,Freiburg,de Bundesliga,30,26.6,0.75,88.7,0.71
Romano Schmid\Romano-Schmid,FWMF,Werder Bremen,de Bundesliga,20,13.1,1.30,96.6,1.68
Benno Schmitz\Benno-Schmitz,DF,Köln,de Bundesliga,25,4.6,0.00,90.2,0.87
Morgan Schneiderlin\Morgan-Schneiderlin,MF,Nice,fr Ligue 1,30,24.4,0.45,111.2,0.45
Alessandro Schöpf\Alessandro-Schopf,FWMF,Schalke 04,de Bundesliga,26,10.5,1.90,83.2,1.43
Jerdy Schouten\Jerdy-Schouten,MF,Bologna,it Serie A,23,27.9,1.40,69.4,0.68
Nico Schulz\Nico-Schulz,DF,Dortmund,de Bundesliga,27,6.8,0.00,145.7,1.18
Alexander Schwolow\Alexander-Schwolow,GK,Hertha BSC,de Bundesliga,28,26.0,0.04,49.6,0.00
Christopher Scott\Christopher-Scott,FW,Bayern Munich,de Bundesliga,18,0.4,2.50,155.0,5.00
Matteo Scozzarella\Matteo-Scozzarella,MF,Parma,it Serie A,32,1.7,0.00,112.9,0.00
Simone Scuffet\Simone-Scuffet,GK,Udinese,it Serie A,24,1.0,0.00,19.0,0.00
Jacopo Segre\Jacopo-Segre,MF,Torino,it Serie A,23,2.1,1.43,141.4,0.00
Davie Selke\Davie-Selke,FW,Werder Bremen,de Bundesliga,25,9.0,0.44,36.0,2.56
Malik Sellouki\Malik-Sellouki,FWMF,Nice,fr Ligue 1,20,0.7,4.29,115.7,11.4
Matz Sels\Matz-Sels,GK,Strasbourg,fr Ligue 1,28,6.0,0.00,38.0,0.00
Nélson Semedo\Nelson-Semedo,DF,Wolves,eng Premier League,26,33.1,1.69,151.8,1.39
Léo Sena\Leo-Sena,MF,Spezia,it Serie A,24,9.8,2.24,254.0,0.51
Stefano Sensi\Stefano-Sensi,MF,Inter,it Serie A,24,6.7,1.49,130.6,2.09
Jaime Seoane\Jaime-Seoane,MF,Huesca,es La Liga,23,22.9,0.83,99.3,1.18
Luigi Sepe\Luigi-Sepe,GK,Parma,it Serie A,29,36.0,0.06,65.6,0.00
Suat Serdar\Suat-Serdar,MF,Schalke 04,de Bundesliga,23,21.7,1.66,97.3,1.84
Jean Seri\Jean-Seri,MF,Bordeaux,fr Ligue 1,29,7.9,1.01,113.5,0.89
Femi Seriki\Femi-Seriki,DF,Sheffield Utd,eng Premier League,18,0.0,0,0,0
Ryan Sessegnon\Ryan-Sessegnon,DF,Hoffenheim,de Bundesliga,20,17.5,0.80,113.8,1.03
Nils Seufert\Nils-Seufert,MFFW,Arminia,de Bundesliga,23,3.8,1.05,62.1,0.79
Edgar Sevikyan\Edgar-Sevikyan,MF,Levante,es La Liga,18,0.1,10.0,190.0,0.00
Stephan El Shaarawy\Stephan-El-Shaarawy,FWMF,Roma,it Serie A,27,6.4,1.41,142.3,1.25
Jamie Shackleton\Jamie-Shackleton,MFDF,Leeds United,eng Premier League,20,5.1,0.20,59.2,1.57
Xherdan Shaqiri\Xherdan-Shaqiri,MFFW,Liverpool,eng Premier League,28,6.2,0.97,73.7,1.45
Billy Sharp\Billy-Sharp,FW,Sheffield Utd,eng Premier League,34,8.2,0.85,23.7,2.07
Luke Shaw\Luke-Shaw,DF,Manchester Utd,eng Premier League,25,29.5,1.29,180.8,0.75
Jonjo Shelvey\Jonjo-Shelvey,MF,Newcastle Utd,eng Premier League,28,29.1,0.79,72.7,0.24
Eldor Shomurodov\Eldor-Shomurodov,FW,Genoa,it Serie A,25,18.6,0.91,60.0,3.60
Shola Shoretire\Shola-Shoretire,FW,Manchester Utd,eng Premier League,16,0.1,0.00,340.0,0.00
Mahame Siby\Mahame-Siby,MFFW,Strasbourg,fr Ligue 1,24,0.2,0.00,100.0,5.00
Abdoulaye Sidibé\Abdoulaye-Sidibe,MF,Saint-Étienne,fr Ligue 1,18,0.1,0.00,80.0,10.0
Djibril Sidibé\Djibril-Sidibe,DF,Monaco,fr Ligue 1,28,22.0,0.45,190.3,0.32
Sidnei\Sidnei,DF,Betis,es La Liga,30,7.7,0.00,100.3,0.13
Kaj Sierhuis\Kaj-Sierhuis,FW,Reims,fr Ligue 1,22,7.2,1.39,40.8,3.19
Tim Siersleben\Tim-Siersleben,DF,Wolfsburg,de Bundesliga,20,0.4,0.00,42.5,0.00
Gylfi Sigurðsson\Gylfi-Sigurdsson,MF,Everton,eng Premier League,30,25.0,0.60,42.6,1.24
Luca Siligardi\Luca-Siligardi,MF,Crotone,it Serie A,32,0.5,0.00,60.0,2.00
Luca Siligardi\Luca-Siligardi,FWMF,Parma,it Serie A,32,0.4,0.00,37.5,5.00
Adrien Silva\Adrien-Silva,MF,Sampdoria,it Serie A,31,17.8,0.56,72.2,0.67
André Silva\Andre-Silva,FW,Eint Frankfurt,de Bundesliga,24,30.7,0.98,51.6,2.31
Bernardo Silva\Bernardo-Silva,MFFW,Manchester City,eng Premier League,25,22.9,1.79,218.5,1.09
Caio Henrique Oliveira Silva\Caio-Henrique-Oliveira-Silva,DF,Monaco,fr Ligue 1,23,26.3,0.65,151.7,1.33
David Silva\David-Silva,MF,Real Sociedad,es La Liga,34,15.5,1.68,128.4,0.97
Fábio Silva\Fabio-Silva,FW,Wolves,eng Premier League,18,15.2,0.99,38.2,2.83
Florent da Silva\Florent-da-Silva,FW,Lyon,fr Ligue 1,17,0.0,0,0,0
Gabriel Silva\Gabriel-Silva,DF,Saint-Étienne,fr Ligue 1,29,3.9,1.03,76.7,1.03
Gastón Silva\Gaston-Silva,DF,Huesca,es La Liga,26,6.7,0.00,157.2,0.15
Rui Silva\Rui-Silva,GK,Granada,es La Liga,26,32.0,0.03,48.8,0.00
Thiago Silva\Thiago-Silva,DF,Chelsea,eng Premier League,35,21.5,0.09,247.4,0.33
Marco Silvestri\Marco-Silvestri,GK,Hellas Verona,it Serie A,29,34.0,0.00,61.5,0.00
Mohamed Simakan\Mohamed-Simakan,DF,Strasbourg,fr Ligue 1,20,17.9,0.56,144.7,0.28
Giovanni Simeone\Giovanni-Simeone,FW,Cagliari,it Serie A,25,19.3,1.09,35.1,2.44
Moses Simon\Moses-Simon,FWMF,Nantes,fr Ligue 1,25,25.8,1.94,112.9,2.05
Unai Simón\Unai-Simon,GK,Athletic Club,es La Liga,23,37.0,0.03,39.6,0.03
Xavi Simons\Xavi-Simons,MF,Paris S-G,fr Ligue 1,17,0.0,0,16,0
Jóan Símun Edmundsson\Joan-Simun-Edmundsson,MFFW,Arminia,de Bundesliga,29,0.6,0.00,60.0,1.67
Wilfried Singo\Wilfried-Singo,DF,Torino,it Serie A,19,20.6,2.67,148.3,1.60
Daley Sinkgraven\Daley-Sinkgraven,DF,Leverkusen,de Bundesliga,25,17.4,2.01,161.7,0.80
Dimitris Siovas\Dimitris-Siovas,DF,Huesca,es La Liga,31,34.1,0.32,127.2,0.44
Tobias Sippel\Tobias-Sippel,GK,M'Gladbach,de Bundesliga,32,3.8,0.00,48.9,0.26
Salvatore Sirigu\Salvatore-Sirigu,GK,Torino,it Serie A,33,32.0,0.00,34.1,0.00
Issouf Sissokho\Issouf-Sissokho,MF,Bordeaux,fr Ligue 1,18,0.9,0.00,115.6,0.00
Ibrahima Sissoko\Ibrahima-Sissoko,MF,Strasbourg,fr Ligue 1,22,28.7,0.87,91.3,1.05
Moussa Sissoko\Moussa-Sissoko,MF,Tottenham,eng Premier League,30,17.6,0.97,86.9,0.45
Nelson Sissoko\Nelson-Sissoko,DF,Saint-Étienne,fr Ligue 1,23,5.3,1.13,104.9,0.57
Antonio Sivera\Antonio-Sivera,GK,Alavés,es La Liga,23,0.8,0.00,17.5,0.00
Jacques Siwe\Jacques-Siwe,FW,Dijon,fr Ligue 1,19,1.9,1.05,69.5,3.16
Ellyes Skhiri\Ellyes-Skhiri,MF,Köln,de Bundesliga,25,30.9,0.45,76.7,0.78
Łukasz Skorupski\Lukasz-Skorupski,GK,Bologna,it Serie A,29,28.0,0.00,45.5,0.00
Andreas Skov Olsen\Andreas-Skov-Olsen,FWDF,Bologna,it Serie A,20,13.1,1.15,122.4,1.30
Robert Skov\Robert-Skov,FWDF,Hoffenheim,de Bundesliga,24,12.9,1.40,87.4,2.17
Milan Škriniar\Milan-Skriniar,DF,Inter,it Serie A,25,30.9,0.19,136.7,0.52
Steven Skrzybski\Steven-Skrzybski,FWDF,Schalke 04,de Bundesliga,27,4.7,1.06,57.0,2.77
Petar Škuletić\Petar-Skuletic,FWMF,Montpellier,fr Ligue 1,30,2.6,0.38,22.3,5.38
Islam Slimani\Islam-Slimani,FW,Leicester City,eng Premier League,32,0.2,0.00,35.0,5.00
Islam Slimani\Islam-Slimani,FW,Lyon,fr Ligue 1,32,6.4,0.47,46.1,2.50
William Smallbone\William-Smallbone,MF,Southampton,eng Premier League,20,1.9,0.53,70.0,1.05
