,,,,,,Drib,Carr,Carr
Player,Pos,Squad,Comp,Age,90s,Succ,PrgDist,Mis
,,,,,,,,
Charles Aránguiz\Charles-Aranguiz,MF,Leverkusen,de Bundesliga,31,18.5,0.54,77.6,0.70
Luiz Araújo\Luiz-Araujo,MF,Lille,fr Ligue 1,24,16.6,2.53,135.2,2.11
Néstor Araujo\Nestor-Araujo,DF,Celta Vigo,es La Liga,28,27.0,0.26,164.4,0.22
Ronald Araújo\Ronald-Araujo,DF,Barcelona,es La Liga,21,16.8,0.24,141.9,0.06
Anaitz Arbilla\Anaitz-Arbilla,DF,Eibar,es La Liga,33,31.2,0.90,118.8,0.54
Alphonse Areola\Alphonse-Areola,GK,Fulham,eng Premier League,27,36.0,0.00,27.8,0.03
Santiago Arias\Santiago-Arias,DF,Leverkusen,de Bundesliga,28,1.0,0.00,74.0,0.00
Karim Aribi\Karim-Aribi,FW,Nîmes,fr Ligue 1,26,3.3,0.91,31.8,3.94
Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,FWMF,Eibar,es La Liga,21,0.5,0.00,14.0,8.00
Nicolò Armini\Nicolo-Armini,DF,Lazio,it Serie A,19,0.1,0.00,70.0,0.00
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,eng Premier League,28,30.7,1.82,139.7,1.73
Maximilian Arnold\Maximilian-Arnold,MF,Wolfsburg,de Bundesliga,26,28.7,0.49,108.4,0.56
Toluwalas Arokodare\Toluwalas-Arokodare,FW,Köln,de Bundesliga,19,1.2,0.83,21.7,5.83
Sergio Arribas\Sergio-Arribas,FWDF,Real Madrid,es La Liga,18,1.5,3.33,159.3,0.00
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,eng Premier League,25,6.5,0.00,46.6,0.31
Tolgay Arslan\Tolgay-Arslan,MF,Udinese,it Serie A,29,20.2,1.73,147.5,0.84
Kwadwo Asamoah\Kwadwo-Asamoah,DFMF,Cagliari,it Serie A,31,2.5,0.00,101.6,0.40
Santiago Ascacíbar\Santiago-Ascacibar,MF,Hertha BSC,de Bundesliga,23,8.5,0.71,66.7,1.06
Sergio Asenjo\Sergio-Asenjo,GK,Villarreal,es La Liga,31,36.0,0.00,47.2,0.00
Marco Asensio\Marco-Asensio,FWMF,Real Madrid,es La Liga,24,20.8,1.83,148.3,1.30
Kristoffer Askildsen\Kristoffer-Askildsen,MF,Sampdoria,it Serie A,19,1.1,0.91,10.9,1.82
Iago Aspas\Iago-Aspas,FW,Celta Vigo,es La Liga,32,31.8,1.82,104.2,1.60
Roger Assalé\Roger-Assale,FWMF,Dijon,fr Ligue 1,26,9.2,1.85,86.0,2.39
Miguel Atienza\Miguel-Atienza,MF,Eibar,es La Liga,21,9.3,0.32,41.8,0.22
Youcef Attal\Youcef-Attal,DFMF,Nice,fr Ligue 1,24,10.6,2.08,162.8,2.26
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,eng Premier League,31,25.9,0.46,80.0,1.24
Emil Audero\Emil-Audero,GK,Sampdoria,it Serie A,23,37.0,0.00,43.5,0.00
Tommaso Augello\Tommaso-Augello,DF,Sampdoria,it Serie A,25,35.7,0.81,132.8,0.92
Jean-Kévin Augustin\Jean-Kevin-Augustin,FW,Nantes,fr Ligue 1,23,0.4,0.00,0.00,2.50
Ludwig Augustinsson\Ludwig-Augustinsson,DF,Werder Bremen,de Bundesliga,26,21.7,0.32,86.8,0.60
Serge Aurier\Serge-Aurier,DF,Tottenham,eng Premier League,27,17.8,1.01,68.2,0.73
Charlie Austin\Charlie-Austin,FW,West Brom,eng Premier League,31,1.5,1.33,44.7,4.00
Ezequiel Ávila\Ezequiel-Avila,MFFW,Osasuna,es La Liga,26,2.2,0.00,46.4,0.91
Taiwo Awoniyi\Taiwo-Awoniyi,FW,Union Berlin,de Bundesliga,22,15.1,1.26,45.8,4.83
Mehmet-Can Aydin\Mehmet-Can-Aydin,DF,Schalke 04,de Bundesliga,18,5.6,0.54,50.2,1.43
Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,eng Premier League,28,23.3,1.93,97.4,2.49
Kaan Ayhan\Kaan-Ayhan,DF,Sassuolo,it Serie A,25,8.8,0.34,169.3,0.23
Luke Ayling\Luke-Ayling,DF,Leeds United,eng Premier League,28,37.8,1.01,218.1,0.93
Ramon Azeez\Ramon-Azeez,MFDF,Granada,es La Liga,27,1.1,0.00,20.0,0.91
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,eng Premier League,30,24.3,0.21,148.6,0.33
Ludovic Baal\Ludovic-Baal,DFMF,Brest,fr Ligue 1,34,3.3,1.82,172.7,0.91
Carlos Bacca\Carlos-Bacca,FW,Villarreal,es La Liga,33,8.7,0.92,39.7,1.95
Loïc Bade\Loic-Bade,DF,Lens,fr Ligue 1,20,29.0,0.72,233.4,0.34
Milan Badelj\Milan-Badelj,MF,Genoa,it Serie A,31,26.8,1.08,84.9,0.75
Édgar Badía\Edgar-Badia,GK,Elche,es La Liga,28,30.0,0.00,44.7,0.03
Benoît Badiashile\Benoit-Badiashile,DF,Monaco,fr Ligue 1,19,31.9,0.13,164.0,0.22
Alex Baena\Alex-Baena,MF,Villarreal,es La Liga,19,1.5,0.67,64.0,0.00
Miguel Baeza\Miguel-Baeza,MFFW,Celta Vigo,es La Liga,20,6.0,0.17,65.7,1.33
Stéphane Bahoken\Stephane-Bahoken,FW,Angers,fr Ligue 1,28,18.0,0.78,46.8,3.83
Leon Bailey\Leon-Bailey,FWMF,Leverkusen,de Bundesliga,22,23.8,3.66,147.1,2.27
Eric Bailly\Eric-Bailly,DF,Manchester Utd,eng Premier League,26,10.2,0.49,135.4,0.20
Stefan Bajic\Stefan-Bajic,GK,Saint-Étienne,fr Ligue 1,18,1.0,0.00,30.0,0.00
Tiemoué Bakayoko\Tiemoue-Bakayoko,MF,Napoli,it Serie A,25,21.8,1.01,70.5,0.87
Mitchel Bakker\Mitchel-Bakker,DF,Paris S-G,fr Ligue 1,20,18.8,0.69,88.2,0.64
Ridle Baku\Ridle-Baku,FWDF,Wolfsburg,de Bundesliga,22,29.8,1.11,101.2,1.98
Ridle Baku\Ridle-Baku,DF,Mainz 05,de Bundesliga,22,2.0,1.00,122.0,0.50
Dilane Bakwa\Dilane-Bakwa,FWMF,Bordeaux,fr Ligue 1,17,0.6,1.67,138.3,5.00
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,eng Premier League,28,13.3,0.15,52.3,0.15
Keita Baldé\Keita-Balde,FW,Sampdoria,it Serie A,25,13.3,1.05,82.4,3.16
George Baldock\George-Baldock,DF,Sheffield Utd,eng Premier League,27,31.0,0.74,90.0,0.74
Gareth Bale\Gareth-Bale,FW,Tottenham,eng Premier League,31,10.2,2.84,111.0,1.96
Mikel Balenziaga\Mikel-Balenziaga,DF,Athletic Club,es La Liga,32,18.8,0.48,99.5,0.64
Leonardo Balerdi\Leonardo-Balerdi,DF,Marseille,fr Ligue 1,21,18.2,0.44,116.0,0.27
Fodé Ballo-Touré\Fode-Ballo-Toure,DF,Monaco,fr Ligue 1,23,7.4,0.54,119.7,0.95
Botond Balogh\Botond-Balogh,DF,Parma,it Serie A,18,1.8,0.56,120.0,0.56
Abdoulaye Bamba\Abdoulaye-Bamba,DF,Angers,fr Ligue 1,30,15.0,0.33,68.8,0.53
Jonathan Bamba\Jonathan-Bamba,MF,Lille,fr Ligue 1,24,33.2,1.63,138.1,2.17
Robson Bambu\Robson-Bambu,DF,Nice,fr Ligue 1,22,11.6,0.26,162.2,0.17
Patrick Bamford\Patrick-Bamford,FW,Leeds United,eng Premier League,26,33.9,0.50,26.6,2.42
Mattia Bani\Mattia-Bani,DF,Genoa,it Serie A,26,10.2,0.10,70.2,0.00
Mattia Bani\Mattia-Bani,DF,Parma,it Serie A,26,12.7,0.08,111.2,0.00
Simon Banza\Simon-Banza,FW,Lens,fr Ligue 1,23,15.2,0.79,47.8,3.42
Antonín Barák\Antonin-Barak,MFFW,Hellas Verona,it Serie A,25,30.7,0.98,98.1,1.01
Federico Barba\Federico-Barba,DF,Benevento,it Serie A,26,29.5,0.14,85.4,0.20
Danilo Barbosa\Danilo-Barbosa,DF,Nice,fr Ligue 1,24,2.8,0.36,233.2,0.36
Barcia\Barcia,DF,Granada,es La Liga,19,1.0,0.00,14.0,0.00
Melvin Bard\Melvin-Bard,DF,Lyon,fr Ligue 1,19,4.8,1.88,192.1,1.67
Enis Bardhi\Enis-Bardhi,MFFW,Levante,es La Liga,25,18.7,2.09,123.4,1.66
Phil Bardsley\Phil-Bardsley,DF,Burnley,eng Premier League,35,3.0,0.67,63.3,0.33
Nicolò Barella\Nicolo-Barella,MF,Inter,it Serie A,23,32.2,1.21,150.5,1.27
