,,,,,,Stan,Expe,Expe
Player,Pos,Squad,Comp,Age,90s,SoT%,npxG/Sh,G-xG
,,,,,,,,
Daniel Podence\Daniel-Podence,MFFW,Wolves,eng Premier League,24,18.5,43.8,0.10,-0.01
Paul Pogba\Paul-Pogba,MFFW,Manchester Utd,eng Premier League,27,21.1,35.5,0.07,0.04
Joel Pohjanpalo\Joel-Pohjanpalo,FW,Union Berlin,de Bundesliga,25,9.5,48.4,0.22,-0.09
Joel Pohjanpalo\Joel-Pohjanpalo,MF,Leverkusen,de Bundesliga,25,0.1,,,0.00
Andrea Poli\Andrea-Poli,MF,Bologna,it Serie A,30,4.3,66.7,0.30,0.02
Matteo Politano\Matteo-Politano,FW,Napoli,it Serie A,26,21.2,32.3,0.08,0.18
Jorge Pombo\Jorge-Pombo,FWMF,Cádiz,es La Liga,26,5.8,28.6,0.09,-0.05
Marin Pongračić\Marin-Pongracic,DF,Wolfsburg,de Bundesliga,22,6.4,0.0,0.03,0.00
Pere Pons\Pere-Pons,MF,Alavés,es La Liga,27,13.2,44.4,0.09,0.09
Nick Pope\Nick-Pope,GK,Burnley,eng Premier League,28,32.0,,,0.00
Manolo Portanova\Manolo-Portanova,FWMF,Juventus,it Serie A,20,0.8,40.0,0.11,-0.75
Manolo Portanova\Manolo-Portanova,DFMF,Genoa,it Serie A,20,0.7,100.0,0.05,-0.14
Francisco Portillo\Francisco-Portillo,MFFW,Getafe,es La Liga,30,4.6,,,0.00
Portu\Portu,FWMF,Real Sociedad,es La Liga,28,24.3,37.5,0.17,0.10
Stefan Posch\Stefan-Posch,DF,Hoffenheim,de Bundesliga,23,23.5,20.0,0.08,-0.03
Sergio Postigo\Sergio-Postigo,DF,Levante,es La Liga,31,18.0,0.0,0.04,0.00
Yussuf Poulsen\Yussuf-Poulsen,FW,RB Leipzig,de Bundesliga,26,15.0,31.1,0.11,0.00
Maxime Poundjé\Maxime-Poundje,DF,Bordeaux,fr Ligue 1,27,5.5,0.0,0.05,0.00
Darío Poveda\Dario-Poveda,FW,Getafe,es La Liga,23,0.1,,,0.00
Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,DFMF,Eibar,es La Liga,21,24.3,9.1,0.03,-0.01
Dennis Praet\Dennis-Praet,MFFW,Leicester City,eng Premier League,26,8.0,25.0,0.07,0.06
Sanjin Prcić\Sanjin-Prcic,MF,Strasbourg,fr Ligue 1,26,3.9,14.3,0.04,-0.08
Nicolas de Préville\Nicolas-de-Preville,FWMF,Bordeaux,fr Ligue 1,29,17.9,28.2,0.12,-0.20
Manuel Prietl\Manuel-Prietl,MF,Arminia,de Bundesliga,28,28.0,27.8,0.04,0.01
Grischa Prömel\Grischa-Promel,MF,Union Berlin,de Bundesliga,25,20.2,25.0,0.09,0.05
Davy Pröpper\Davy-Propper,MF,Brighton,eng Premier League,28,2.4,50.0,0.03,-0.04
Ivan Provedel\Ivan-Provedel,GK,Spezia,it Serie A,26,29.0,,,0.00
Antonio Puertas\Antonio-Puertas,FWMF,Granada,es La Liga,28,24.1,39.3,0.15,-0.05
Riqui Puig\Riqui-Puig,MF,Barcelona,es La Liga,20,3.2,50.0,0.07,0.22
Erick Pulgar\Erick-Pulgar,MF,Fiorentina,it Serie A,26,22.2,18.8,0.05,0.01
Jorge Pulido\Jorge-Pulido,DF,Huesca,es La Liga,29,32.1,11.8,0.17,-0.05
Christian Pulisic\Christian-Pulisic,FWMF,Chelsea,eng Premier League,21,19.3,37.2,0.13,-0.07
Ignacio Pussetto\Ignacio-Pussetto,FW,Udinese,it Serie A,24,8.4,41.2,0.13,0.10
Fabio Quagliarella\Fabio-Quagliarella,FW,Sampdoria,it Serie A,37,24.5,32.5,0.11,0.08
Robin Quaison\Robin-Quaison,FWMF,Mainz 05,de Bundesliga,26,16.4,47.1,0.15,0.01
Domingos Quina\Domingos-Quina,MF,Granada,es La Liga,20,3.8,37.5,0.04,0.45
Quini\Quini,DF,Granada,es La Liga,30,13.2,37.5,0.04,0.05
Quique\Quique,FWMF,Eibar,es La Liga,30,1.9,25.0,0.08,-0.16
Dani Raba\Dani-Raba,MF,Villarreal,es La Liga,24,1.7,16.7,0.06,-0.24
Simone Rabbi\Simone-Rabbi,FW,Bologna,it Serie A,18,0.4,,,0.00
Adrien Rabiot\Adrien-Rabiot,MF,Juventus,it Serie A,25,25.7,35.3,0.09,0.04
Uroš Račić\Uros-Racic,MF,Valencia,es La Liga,22,24.3,28.6,0.04,-0.02
Anthony Racioppi\Anthony-Racioppi,GK,Dijon,fr Ligue 1,21,21.0,,,0.00
Nemanja Radoja\Nemanja-Radoja,MF,Levante,es La Liga,27,12.5,0.0,0.04,-0.02
Nemanja Radonjić\Nemanja-Radonjic,FW,Marseille,fr Ligue 1,24,4.4,58.3,0.15,0.05
Nemanja Radonjić\Nemanja-Radonjic,FWDF,Hertha BSC,de Bundesliga,24,6.8,43.8,0.11,-0.12
Aleksandar Radovanović\Aleksandar-Radovanovic,DF,Lens,fr Ligue 1,26,1.0,,,0.00
Ivan Radovanović\Ivan-Radovanovic,DFMF,Genoa,it Serie A,31,24.8,16.7,0.07,-0.02
Ionuț Radu\Ionut-Radu,GK,Inter,it Serie A,23,1.5,,,0.00
Ștefan Radu\Stefan-Radu,DF,Lazio,it Serie A,33,27.3,0.0,0.04,-0.01
Rafael\Rafael,GK,Spezia,it Serie A,38,2.3,,,0.00
Rafinha\Rafinha,MF,Paris S-G,fr Ligue 1,27,15.1,33.3,0.06,-0.09
Antonio Raimondo\Antonio-Raimondo,FW,Bologna,it Serie A,16,0.0,,,0.0
Predrag Rajković\Predrag-Rajkovic,GK,Reims,fr Ligue 1,24,36.5,,,0.00
Ivan Rakitić\Ivan-Rakitic,MF,Sevilla,es La Liga,32,24.8,21.1,0.10,-0.05
Jonás Ramalho\Jonas-Ramalho,DF,Osasuna,es La Liga,27,3.4,50.0,0.07,-0.03
Benito Raman\Benito-Raman,FWMF,Schalke 04,de Bundesliga,25,13.8,26.9,0.09,-0.02
Gastón Ramírez\Gaston-Ramirez,MFFW,Sampdoria,it Serie A,29,10.8,38.5,0.05,-0.06
Sandro Ramírez\Sandro-Ramirez,FWMF,Huesca,es La Liga,25,14.3,63.3,0.08,0.18
Sergio Ramos\Sergio-Ramos,DF,Real Madrid,es La Liga,34,14.2,26.7,0.15,-0.13
Aaron Ramsdale\Aaron-Ramsdale,GK,Sheffield Utd,eng Premier League,22,38.0,,,0.00
Aaron Ramsey\Aaron-Ramsey,MF,Juventus,it Serie A,29,12.1,43.5,0.22,-0.25
Jacob Ramsey\Jacob-Ramsey,MFFW,Aston Villa,eng Premier League,19,7.0,9.1,0.05,-0.07
Kayne Ramsey\Kayne-Ramsey,DF,Southampton,eng Premier League,19,1.0,,,0.00
Darren Randolph\Darren-Randolph,GK,West Ham,eng Premier League,33,3.0,,,0.00
Andrea Ranocchia\Andrea-Ranocchia,DF,Inter,it Serie A,32,7.8,22.2,0.12,-0.14
Marcus Rashford\Marcus-Rashford,FW,Manchester Utd,eng Premier League,22,32.4,45.6,0.12,0.05
Milot Rashica\Milot-Rashica,FWMF,Werder Bremen,de Bundesliga,24,16.2,34.1,0.09,-0.09
Giacomo Raspadori\Giacomo-Raspadori,FWMF,Sassuolo,it Serie A,20,13.7,52.2,0.19,0.12
Federico Ravaglia\Federico-Ravaglia,GK,Bologna,it Serie A,20,4.0,,,0.00
Tim Ream\Tim-Ream,DF,Fulham,eng Premier League,32,7.0,,,0.00
Ante Rebić\Ante-Rebic,FW,Milan,it Serie A,26,19.7,52.3,0.17,0.17
Arkadiusz Reca\Arkadiusz-Reca,DF,Crotone,it Serie A,25,25.7,23.3,0.05,0.02
Recio\Recio,MF,Eibar,es La Liga,29,8.2,15.4,0.04,-0.02
Daishawn Redan\Daishawn-Redan,FWMF,Hertha BSC,de Bundesliga,19,1.1,66.7,0.21,-0.55
Nathan Redmond\Nathan-Redmond,MFFW,Southampton,eng Premier League,26,19.3,31.1,0.07,-0.07
Harrison Reed\Harrison-Reed,MF,Fulham,eng Premier League,25,25.0,30.8,0.02,-0.01
Vasco Regini\Vasco-Regini,DF,Sampdoria,it Serie A,29,1.0,,,0.00
Sergio Reguilón\Sergio-Reguilon,DF,Tottenham,eng Premier League,23,24.9,19.0,0.08,-0.06
Bobby Reid\Bobby-Reid,MFDF,Fulham,eng Premier League,27,26.4,23.5,0.14,0.01
Pepe Reina\Pepe-Reina,GK,Lazio,it Serie A,37,29.0,,,0.00
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,MFFW,Nice,fr Ligue 1,22,11.8,40.0,0.08,-0.02
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,FW,Lyon,fr Ligue 1,22,0.3,100.0,0.10,-0.33
Reinier\Reinier,MFFW,Dortmund,de Bundesliga,18,2.9,33.3,0.29,0.03
Francisco Reis Ferreira\Francisco-Reis-Ferreira,DF,Valencia,es La Liga,23,2.0,,,0.00
Rocco Reitz\Rocco-Reitz,MF,M'Gladbach,de Bundesliga,18,0.7,,,0.00
Karim Rekik\Karim-Rekik,DF,Sevilla,es La Liga,25,7.3,0.0,0.07,-0.03
Álex Remiro\Alex-Remiro,GK,Real Sociedad,es La Liga,25,38.0,,,0.00
Panagiotis Retsos\Panagiotis-Retsos,DF,Saint-Étienne,fr Ligue 1,21,3.0,0.0,0.02,0.00
Marco Reus\Marco-Reus,MFFW,Dortmund,de Bundesliga,31,25.3,44.4,0.14,-0.08
Elvis Rexhbeçaj\Elvis-Rexhbecaj,MFFW,Köln,de Bundesliga,22,20.4,35.7,0.08,0.14
Oriol Rey\Oriol-Rey,MF,Valladolid,es La Liga,22,0.2,,,0.00
Gio Reyna\Gio-Reyna,FWMF,Dortmund,de Bundesliga,17,22.0,31.6,0.12,-0.02
Baptiste Reynet\Baptiste-Reynet,GK,Nîmes,fr Ligue 1,29,38.0,0.0,0.04,-0.00
Bryan Reynolds\Bryan-Reynolds,DF,Roma,it Serie A,19,3.1,,,0.00
Franck Ribéry\Franck-Ribery,FW,Fiorentina,it Serie A,37,23.9,47.6,0.14,-0.04
Ricard\Ricard,DF,Atlético Madrid,es La Liga,20,0.3,0.0,0.02,0.00
Federico Ricci\Federico-Ricci,FW,Sassuolo,it Serie A,26,0.0,,,0.0
Giacomo Ricci\Giacomo-Ricci,DF,Parma,it Serie A,23,0.7,,,0.00
Matteo Ricci\Matteo-Ricci,MF,Spezia,it Serie A,26,24.8,23.8,0.04,-0.04
Declan Rice\Declan-Rice,MF,West Ham,eng Premier League,21,32.0,29.2,0.06,-0.03
Chris Richards\Chris-Richards,DF,Hoffenheim,de Bundesliga,20,10.5,0.0,0.08,-0.02
Chris Richards\Chris-Richards,DF,Bayern Munich,de Bundesliga,20,1.0,,,0.00
Lewis Richardson\Lewis-Richardson,FWMF,Burnley,eng Premier League,17,0.0,,,0.0
Richarlison\Richarlison,FW,Everton,eng Premier League,23,31.8,39.0,0.13,-0.14
Marco Richter\Marco-Richter,FWMF,Augsburg,de Bundesliga,22,15.7,36.4,0.09,-0.12
Mikel Rico\Mikel-Rico,MF,Huesca,es La Liga,35,24.3,30.0,0.12,-0.05
Sergio Rico\Sergio-Rico,GK,Paris S-G,fr Ligue 1,26,9.0,,,0.00
Jaïro Riedewald\Jairo-Riedewald,MF,Crystal Palace,eng Premier League,23,20.2,25.0,0.08,0.06
Emiliano Rigoni\Emiliano-Rigoni,MFFW,Elche,es La Liga,27,12.7,41.2,0.15,-0.13
Tomás Rincón\Tomas-Rincon,MF,Torino,it Serie A,32,31.6,17.4,0.07,-0.02
Luis Rioja\Luis-Rioja,MFDF,Alavés,es La Liga,26,23.2,40.0,0.14,0.02
Renaud Ripart\Renaud-Ripart,MFFW,Nîmes,fr Ligue 1,27,33.9,30.0,0.07,0.05
Andrea Rispoli\Andrea-Rispoli,DF,Crotone,it Serie A,31,7.2,25.0,0.09,-0.06
Mihailo Ristić\Mihailo-Ristic,DF,Montpellier,fr Ligue 1,24,24.8,30.0,0.03,-0.03
Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,eng Premier League,30,15.0,9.1,0.04,-0.03
Maxence Rivera\Maxence-Rivera,MFFW,Saint-Étienne,fr Ligue 1,18,2.7,50.0,0.05,-0.04
Emmanuel Rivière\Emmanuel-Riviere,FWMF,Crotone,it Serie A,30,7.1,27.3,0.10,-0.01
Rober\Rober,DFMF,Levante,es La Liga,25,15.8,0.0,0.03,-0.01
Roberto\Roberto,GK,Valladolid,es La Liga,34,13.0,,,0.00
Sergi Roberto\Sergi-Roberto,DFMF,Barcelona,es La Liga,28,10.5,20.0,0.11,0.05
Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,eng Premier League,21,14.9,46.2,0.08,-0.07
Andrew Robertson\Andrew-Robertson,DF,Liverpool,eng Premier League,26,37.6,26.3,0.07,-0.01
Antonee Robinson\Antonee-Robinson,DF,Fulham,eng Premier League,22,24.0,36.4,0.05,-0.02
Callum Robinson\Callum-Robinson,FWMF,West Brom,eng Premier League,25,17.3,35.5,0.10,0.11
Jack Robinson\Jack-Robinson,DF,Sheffield Utd,eng Premier League,26,9.7,0.0,0.08,-0.04
Joel Robles\Joel-Robles,GK,Betis,es La Liga,30,18.0,,,0.00
Hal Robson-Kanu\Hal-Robson-Kanu,FWMF,West Brom,eng Premier League,31,6.2,46.2,0.11,0.08
Marc Roca\Marc-Roca,MF,Bayern Munich,de Bundesliga,23,2.0,0.0,0.09,-0.15
Christopher Rocchia\Christopher-Rocchia,DF,Marseille,fr Ligue 1,22,0.2,,,0.00
Rubén Rochina\Ruben-Rochina,MF,Levante,es La Liga,29,15.6,22.2,0.05,-0.11
Marek Rodák\Marek-Rodak,GK,Fulham,eng Premier League,23,2.0,,,0.00
Sebastian Rode\Sebastian-Rode,MF,Eint Frankfurt,de Bundesliga,29,18.1,100.0,0.03,0.05
Joe Rodon\Joe-Rodon,DF,Tottenham,eng Premier League,22,8.1,,,0.00
Rodri\Rodri,MF,Manchester City,eng Premier League,24,30.5,22.6,0.06,-0.02
Rodrigo\Rodrigo,MFFW,Leeds United,eng Premier League,29,14.3,35.4,0.13,0.05
Rodrigo\Rodrigo,FWMF,Betis,es La Liga,20,6.0,0.0,0.05,-0.03
Kévin Rodrigues\Kevin-Rodrigues,MFDF,Eibar,es La Liga,26,12.2,44.4,0.07,0.03
Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,MFFW,Sevilla,es La Liga,22,5.7,20.0,0.05,-0.09
Ángel Rodríguez\Angel-Rodriguez,FWMF,Getafe,es La Liga,33,15.3,34.3,0.11,-0.03
Guido Rodríguez\Guido-Rodriguez,MF,Betis,es La Liga,26,31.8,30.0,0.06,-0.02
James Rodríguez\James-Rodriguez,FWMF,Everton,eng Premier League,29,19.6,51.4,0.09,0.13
Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,eng Premier League,31,14.1,30.0,0.09,-0.11
Miguel Rodríguez\Miguel-Rodriguez,FWMF,Celta Vigo,es La Liga,17,0.3,,,0.00
Ricardo Rodríguez\Ricardo-Rodriguez,DF,Torino,it Serie A,27,13.8,15.4,0.04,-0.04
Víctor Rodríguez\Victor-Rodriguez,MF,Elche,es La Liga,31,4.7,,,0.00
Rodrygo\Rodrygo,FW,Real Madrid,es La Liga,19,10.9,19.2,0.10,-0.14
Marko Rog\Marko-Rog,MF,Cagliari,it Serie A,25,12.9,25.0,0.04,-0.02
Rogério\Rogerio,DF,Sassuolo,it Serie A,22,20.9,18.8,0.03,-0.03
Luis Rojas\Luis-Rojas,MFFW,Crotone,it Serie A,18,1.2,0.0,0.04,0.00
Alessio Romagnoli\Alessio-Romagnoli,DF,Milan,it Serie A,25,21.2,20.0,0.15,-0.06
Cristian Romero\Cristian-Romero,DF,Atalanta,it Serie A,22,28.3,50.0,0.13,0.01
Oriol Romeu\Oriol-Romeu,MF,Southampton,eng Premier League,28,19.6,28.6,0.03,0.03
Cristiano Ronaldo\Cristiano-Ronaldo,FW,Juventus,it Serie A,35,31.1,37.0,0.13,0.08
Facundo Roncaglia\Facundo-Roncaglia,DF,Osasuna,es La Liga,33,13.7,15.4,0.04,0.04
Valentin Rongier\Valentin-Rongier,MF,Marseille,fr Ligue 1,25,21.0,35.3,0.06,0.00
Marten de Roon\Marten-de-Roon,MF,Atalanta,it Serie A,29,33.6,16.7,0.04,0.01
Jérôme Roussillon\Jerome-Roussillon,DF,Wolfsburg,de Bundesliga,27,13.7,18.2,0.05,-0.04
Nolan Roux\Nolan-Roux,FW,Nîmes,fr Ligue 1,32,7.2,10.0,0.05,-0.07
Nicolò Rovella\Nicolo-Rovella,MF,Genoa,it Serie A,18,13.2,18.2,0.06,-0.05
Amir Rrahmani\Amir-Rrahmani,DF,Napoli,it Serie A,26,12.2,40.0,0.12,0.03
Rubén\Ruben,GKMF,Osasuna,es La Liga,36,2.1,,,0.00
Waldo Rubio\Waldo-Rubio,FWMF,Valladolid,es La Liga,24,4.2,12.5,0.03,0.00
John Ruddy\John-Ruddy,GK,Wolves,eng Premier League,33,1.0,,,0.00
Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,eng Premier League,27,19.0,42.9,0.08,-0.01
Sebastian Rudy\Sebastian-Rudy,MFDF,Hoffenheim,de Bundesliga,30,18.6,53.3,0.04,0.02
Sebastian Rudy\Sebastian-Rudy,DF,Schalke 04,de Bundesliga,30,2.0,0.0,0.01,0.00
Kevin Rüegg\Kevin-Ruegg,DFMF,Hellas Verona,it Serie A,21,2.3,100.0,0.03,0.00
Daniele Rugani\Daniele-Rugani,DF,Cagliari,it Serie A,26,11.1,33.3,0.13,0.05
Daniele Rugani\Daniele-Rugani,DF,Rennes,fr Ligue 1,26,1.0,100.0,0.04,0.00
Matteo Ruggeri\Matteo-Ruggeri,DF,Atalanta,it Serie A,18,2.3,0.0,0.03,0.00
Mário Rui\Mario-Rui,DF,Napoli,it Serie A,29,18.5,10.5,0.04,-0.04
Aitor Ruibal\Aitor-Ruibal,FWMF,Betis,es La Liga,24,17.7,38.2,0.08,-0.03
Fabián Ruiz Peña\Fabian-Ruiz-Pena,MF,Napoli,it Serie A,24,28.5,34.9,0.06,0.01
Isma Ruiz\Isma-Ruiz,MF,Granada,es La Liga,19,0.7,,,0.00
Kays Ruiz\Kays-Ruiz,FWMF,Paris S-G,fr Ligue 1,17,2.1,0.0,0.03,-0.05
Víctor Ruiz\Victor-Ruiz,DF,Betis,es La Liga,31,24.0,100.0,0.29,0.03
Gerónimo Rulli\Geronimo-Rulli,GK,Villarreal,es La Liga,28,2.0,,,0.00
Georginio Rutter\Georginio-Rutter,FWMF,Rennes,fr Ligue 1,18,0.5,,,0.00
Georginio Rutter\Georginio-Rutter,FW,Hoffenheim,de Bundesliga,18,2.7,42.9,0.06,0.22
Mathew Ryan\Mathew-Ryan,GK,Arsenal,eng Premier League,28,3.0,,,0.00
Mathew Ryan\Mathew-Ryan,GK,Brighton,eng Premier League,28,11.0,,,0.00
Julian Ryerson\Julian-Ryerson,DFMF,Union Berlin,de Bundesliga,22,11.9,0.0,0.03,-0.02
Frederik Rønnow\Frederik-Ronnow,GK,Schalke 04,de Bundesliga,27,10.5,,,0.00
João Victor Santos Sá\Joao-Victor-Santos-Sa,FW,Wolfsburg,de Bundesliga,26,5.2,20.0,0.05,0.10
Roli Pereira de Sa\Roli-Pereira-de-Sa,MFFW,Nantes,fr Ligue 1,23,0.6,0.0,0.05,-0.33
Idriss Saadi\Idriss-Saadi,FWMF,Strasbourg,fr Ligue 1,28,1.4,40.0,0.26,-0.93
Youssouf Sabaly\Youssouf-Sabaly,DF,Bordeaux,fr Ligue 1,27,32.3,15.4,0.06,0.01
Mathys Saban\Mathys-Saban,FW,Saint-Étienne,fr Ligue 1,18,0.1,,,0.00
Marcel Sabitzer\Marcel-Sabitzer,MF,RB Leipzig,de Bundesliga,26,22.5,37.5,0.07,0.04
Alexis Saelemaekers\Alexis-Saelemaekers,FW,Milan,it Serie A,21,22.4,25.0,0.10,-0.04
Modibo Sagnan\Modibo-Sagnan,DFMF,Real Sociedad,es La Liga,21,6.9,20.0,0.12,-0.09
Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,eng Premier League,23,17.3,40.0,0.09,0.02
Borja Sainz\Borja-Sainz,MFFW,Alavés,es La Liga,19,5.0,50.0,0.14,-0.02
Romain Saïss\Romain-Saiss,DF,Wolves,eng Premier League,30,26.7,40.0,0.12,-0.02
Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,eng Premier League,18,28.4,34.4,0.11,-0.07
Hiroki Sakai\Hiroki-Sakai,DF,Marseille,fr Ligue 1,30,26.5,33.3,0.10,-0.01
Moïse Sakava\Moise-Sakava,MF,Reims,fr Ligue 1,19,0.1,0.0,0.03,0.00
Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,eng Premier League,30,3.1,0.0,0.02,0.00
Jacopo Sala\Jacopo-Sala,DF,Spezia,it Serie A,28,4.2,,,0.00
Mohamed Salah\Mohamed-Salah,FW,Liverpool,eng Premier League,28,34.2,38.3,0.14,0.03
Eddy Salcedo\Eddy-Salcedo,FWMF,Hellas Verona,it Serie A,18,8.4,47.6,0.13,-0.10
William Saliba\William-Saliba,DF,Nice,fr Ligue 1,19,20.0,16.7,0.10,0.02
Romain Salin\Romain-Salin,GK,Rennes,fr Ligue 1,36,15.0,,,0.00
Mohammed Salisu\Mohammed-Salisu,DF,Southampton,eng Premier League,21,9.4,25.0,0.10,-0.04
Roland Sallai\Roland-Sallai,MFFW,Freiburg,de Bundesliga,23,18.5,43.5,0.13,0.06
Salvi\Salvi,MFFW,Cádiz,es La Liga,29,21.5,31.3,0.12,0.00
Lazar Samardzic\Lazar-Samardzic,MFFW,RB Leipzig,de Bundesliga,18,2.2,0.0,0.03,0.00
Diadie Samassékou\Diadie-Samassekou,MF,Hoffenheim,de Bundesliga,24,28.5,6.7,0.04,-0.02
Mama Samba Baldé\Mama-Samba-Balde,FW,Dijon,fr Ligue 1,24,24.0,32.2,0.13,-0.02
Junior Sambia\Junior-Sambia,DFMF,Montpellier,fr Ligue 1,23,27.2,42.1,0.06,-0.00
Frédéric Sammaritano\Frederic-Sammaritano,FWMF,Dijon,fr Ligue 1,34,12.6,20.0,0.12,-0.10
Fede San Emeterio\Fede-San-Emeterio,MF,Valladolid,es La Liga,23,16.2,0.0,0.03,-0.01
Antonio Sanabria\Antonio-Sanabria,FW,Torino,it Serie A,24,10.9,57.9,0.16,0.18
Antonio Sanabria\Antonio-Sanabria,FW,Betis,es La Liga,24,10.4,50.0,0.18,-0.13
Oihan Sancet\Oihan-Sancet,FWMF,Athletic Club,es La Liga,20,11.5,33.3,0.16,-0.08
Renato Sanches\Renato-Sanches,MF,Lille,fr Ligue 1,22,14.1,14.3,0.11,-0.09
Juan Sánchez Miño\Juan-Sanchez-Mino,DFMF,Elche,es La Liga,30,5.5,,,0.00
Alexis Sánchez\Alexis-Sanchez,FW,Inter,it Serie A,31,12.7,53.6,0.17,0.11
Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,eng Premier League,24,16.5,0.0,0.18,-0.07
Germán Sánchez\German-Sanchez,DF,Granada,es La Liga,33,29.3,35.7,0.14,0.04
Javi Sánchez\Javi-Sanchez,DF,Valladolid,es La Liga,23,10.2,0.0,0.05,-0.02
Manuel Sánchez\Manuel-Sanchez,DF,Atlético Madrid,es La Liga,19,0.5,,,0.00
Manuel Sánchez\Manuel-Sanchez,DF,Osasuna,es La Liga,19,10.8,33.3,0.04,-0.01
Robert Sánchez\Robert-Sanchez,GK,Brighton,eng Premier League,22,27.0,,,0.00
Jadon Sancho\Jadon-Sancho,FWMF,Dortmund,de Bundesliga,20,22.9,29.4,0.13,0.03
Alex Sandro\Alex-Sandro,DF,Juventus,it Serie A,29,20.6,21.4,0.08,0.04
Leroy Sané\Leroy-Sane,FWMF,Bayern Munich,de Bundesliga,24,20.1,36.2,0.10,0.02
Salif Sané\Salif-Sane,DF,Schalke 04,de Bundesliga,29,11.9,14.3,0.05,-0.03
Oier Sanjurjo\Oier-Sanjurjo,MF,Osasuna,es La Liga,34,23.2,26.7,0.06,-0.04
Mohamed Sankoh\Mohamed-Sankoh,FW,Stuttgart,de Bundesliga,16,0.2,0.0,0.04,0.00
Siriki Sanogo\Siriki-Sanogo,MF,Benevento,it Serie A,18,0.1,,,0.00
Morgan Sanson\Morgan-Sanson,MF,Aston Villa,eng Premier League,25,3.3,0.0,0.01,0.00
Morgan Sanson\Morgan-Sanson,MF,Marseille,fr Ligue 1,25,9.2,27.3,0.11,0.09
Nicola Sansone\Nicola-Sansone,FWMF,Bologna,it Serie A,28,13.0,41.9,0.12,-0.14
Baptiste Santamaria\Baptiste-Santamaria,MF,Angers,fr Ligue 1,25,3.0,50.0,0.06,-0.10
Baptiste Santamaria\Baptiste-Santamaria,MF,Freiburg,de Bundesliga,25,24.5,27.6,0.06,-0.04
Federico Santander\Federico-Santander,FW,Bologna,it Serie A,29,0.4,0.0,0.05,-0.50
Davide Santon\Davide-Santon,DF,Roma,it Serie A,29,6.5,0.0,0.05,-0.03
Samir Santos\Samir-Santos,DF,Udinese,it Serie A,25,24.6,27.3,0.11,-0.01
Riccardo Saponara\Riccardo-Saponara,FWMF,Fiorentina,it Serie A,28,0.6,,,0.00
Riccardo Saponara\Riccardo-Saponara,FWMF,Spezia,it Serie A,28,4.3,40.0,0.10,0.23
Ivan Šaponjić\Ivan-Saponjic,FW,Cádiz,es La Liga,22,4.3,50.0,0.09,-0.16
Pablo Sarabia\Pablo-Sarabia,FWMF,Paris S-G,fr Ligue 1,28,14.7,50.0,0.13,0.08
Josh Sargent\Josh-Sargent,FWMF,Werder Bremen,de Bundesliga,20,27.8,41.3,0.11,-0.01
Bouna Sarr\Bouna-Sarr,DF,Marseille,fr Ligue 1,28,0.8,0.0,0.02,0.00
Bouna Sarr\Bouna-Sarr,DF,Bayern Munich,de Bundesliga,28,5.0,0.0,0.03,-0.02
Sidy Sarr\Sidy-Sarr,MF,Nîmes,fr Ligue 1,24,5.1,11.1,0.04,-0.08
Marco Sau\Marco-Sau,MFFW,Benevento,it Serie A,32,8.7,50.0,0.16,0.18
Téji Savanier\Teji-Savanier,MF,Montpellier,fr Ligue 1,28,24.1,29.6,0.05,-0.03
Stefan Savić\Stefan-Savic,DF,Atlético Madrid,es La Liga,29,32.8,28.6,0.13,0.00
Romaine Sawyers\Romaine-Sawyers,MF,West Brom,eng Premier League,28,16.5,0.0,0.04,-0.01
Gianluca Scamacca\Gianluca-Scamacca,FW,Genoa,it Serie A,21,15.0,34.8,0.12,0.05
Dane Scarlett\Dane-Scarlett,FW,Tottenham,eng Premier League,16,0.0,,,0.0
Fabian Schär\Fabian-Schar,DF,Newcastle Utd,eng Premier League,28,13.8,40.0,0.04,-0.01
Aurélien Scheidler\Aurelien-Scheidler,FW,Dijon,fr Ligue 1,22,3.8,28.6,0.08,0.13
Nicolás Schiappacasse\Nicolas-Schiappacasse,MF,Sassuolo,it Serie A,21,0.2,,,0.00
Pasquale Schiattarella\Pasquale-Schiattarella,MF,Benevento,it Serie A,33,25.0,66.7,0.12,-0.00
Patrik Schick\Patrik-Schick,FW,Leverkusen,de Bundesliga,24,20.7,40.4,0.17,-0.03
Sven Schipplock\Sven-Schipplock,FWMF,Arminia,de Bundesliga,31,8.3,35.7,0.08,-0.01
Xaver Schlager\Xaver-Schlager,MF,Wolfsburg,de Bundesliga,22,29.2,8.3,0.06,-0.03
Keven Schlotterbeck\Keven-Schlotterbeck,DF,Freiburg,de Bundesliga,23,18.4,11.1,0.07,-0.03
Nico Schlotterbeck\Nico-Schlotterbeck,DF,Union Berlin,de Bundesliga,20,14.3,34.8,0.06,-0.02
