,,,,,,Stan,Expe,Expe
Player,Pos,Squad,Comp,Age,90s,SoT%,npxG/Sh,G-xG
,,,,,,,,
Jonathan Bamba\Jonathan-Bamba,MF,Lille,fr Ligue 1,24,33.2,33.3,0.07,0.05
Robson Bambu\Robson-Bambu,DF,Nice,fr Ligue 1,22,11.6,50.0,0.03,-0.01
Patrick Bamford\Patrick-Bamford,FW,Leeds United,eng Premier League,26,33.9,42.9,0.15,-0.01
Mattia Bani\Mattia-Bani,DF,Parma,it Serie A,26,12.7,25.0,0.06,-0.04
Mattia Bani\Mattia-Bani,DF,Genoa,it Serie A,26,10.2,20.0,0.13,-0.06
Simon Banza\Simon-Banza,FW,Lens,fr Ligue 1,23,15.2,33.3,0.14,-0.06
Antonín Barák\Antonin-Barak,MFFW,Hellas Verona,it Serie A,25,30.7,34.9,0.13,0.04
Federico Barba\Federico-Barba,DF,Benevento,it Serie A,26,29.5,23.1,0.08,-0.03
Danilo Barbosa\Danilo-Barbosa,DF,Nice,fr Ligue 1,24,2.8,0.0,0.12,-0.07
Barcia\Barcia,DF,Granada,es La Liga,19,1.0,,,0.00
Melvin Bard\Melvin-Bard,DF,Lyon,fr Ligue 1,19,4.8,50.0,0.03,-0.02
Enis Bardhi\Enis-Bardhi,MFFW,Levante,es La Liga,25,18.7,36.1,0.08,-0.10
Phil Bardsley\Phil-Bardsley,DF,Burnley,eng Premier League,35,3.0,0.0,0.03,-0.03
Nicolò Barella\Nicolo-Barella,MF,Inter,it Serie A,23,32.2,25.0,0.07,0.01
Philipp Bargfrede\Philipp-Bargfrede,MF,Werder Bremen,de Bundesliga,31,0.3,,,0.00
Kike Barja\Kike-Barja,MFFW,Osasuna,es La Liga,23,15.9,54.5,0.08,0.01
Ross Barkley\Ross-Barkley,MF,Aston Villa,eng Premier League,26,17.0,28.9,0.08,-0.01
Ross Barkley\Ross-Barkley,MF,Chelsea,eng Premier League,26,0.5,100.0,0.03,0.00
Aymen Barkok\Aymen-Barkok,MFFW,Eint Frankfurt,de Bundesliga,22,10.9,31.6,0.08,0.04
Ashley Barnes\Ashley-Barnes,FW,Burnley,eng Premier League,30,14.8,30.8,0.11,-0.14
Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,eng Premier League,22,21.6,45.5,0.11,0.13
Marc Baró\Marc-Baro,DF,Cádiz,es La Liga,20,1.0,100.0,0.02,0.00
Antonio Barragán\Antonio-Barragan,DF,Elche,es La Liga,33,24.8,0.0,0.12,-0.02
Antonio Barreca\Antonio-Barreca,DF,Fiorentina,it Serie A,25,0.9,50.0,0.12,-0.22
Leandro Barreiro Martins\Leandro-Barreiro-Martins,MF,Mainz 05,de Bundesliga,20,25.6,31.3,0.10,-0.05
Ander Barrenetxea\Ander-Barrenetxea,MFFW,Real Sociedad,es La Liga,18,14.5,30.4,0.08,0.08
Jacob Barrett Laursen\Jacob-Barrett-Laursen,DF,Arminia,de Bundesliga,25,12.3,0.0,0.02,0.00
Musa Barrow\Musa-Barrow,FWMF,Bologna,it Serie A,21,32.5,42.2,0.09,-0.03
Kyle Bartley\Kyle-Bartley,DF,West Brom,eng Premier League,29,28.7,35.7,0.15,0.03
Paolo Bartolomei\Paolo-Bartolomei,MF,Spezia,it Serie A,30,3.6,0.0,0.04,-0.06
Marc Bartra\Marc-Bartra,DF,Betis,es La Liga,29,18.8,36.4,0.04,-0.02
Daniele Baselli\Daniele-Baselli,MF,Torino,it Serie A,28,4.4,50.0,0.07,-0.07
Chris Basham\Chris-Basham,DFMF,Sheffield Utd,eng Premier League,32,28.6,10.0,0.08,-0.03
Toma Bašić\Toma-Basic,MF,Bordeaux,fr Ligue 1,23,28.9,37.8,0.07,0.02
Álvaro Bastida\Alvaro-Bastida,MF,Cádiz,es La Liga,16,0.4,,,0.00
Alessandro Bastoni\Alessandro-Bastoni,DF,Inter,it Serie A,21,32.5,18.2,0.11,-0.04
Simone Bastoni\Simone-Bastoni,DF,Spezia,it Serie A,23,16.9,19.0,0.06,-0.02
Bastos\Bastos,DF,Lazio,it Serie A,29,0.7,,,0.00
Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,eng Premier League,26,8.1,50.0,0.11,0.07
Rodrigo Battaglia\Rodrigo-Battaglia,MF,Alavés,es La Liga,29,27.7,29.4,0.07,-0.01
Cristian Battocchio\Cristian-Battocchio,MFFW,Brest,fr Ligue 1,28,3.9,20.0,0.11,-0.13
Oliver Baumann\Oliver-Baumann,GK,Hoffenheim,de Bundesliga,30,31.0,,,0.00
Julian Baumgartlinger\Julian-Baumgartlinger,MF,Leverkusen,de Bundesliga,32,11.9,57.1,0.19,0.05
Christoph Baumgartner\Christoph-Baumgartner,MFFW,Hoffenheim,de Bundesliga,20,26.3,33.9,0.09,0.02
Jon Bautista\Jon-Bautista,FWMF,Real Sociedad,es La Liga,25,4.1,25.0,0.08,-0.24
Paul Baysse\Paul-Baysse,DF,Bordeaux,fr Ligue 1,32,29.0,18.2,0.11,0.03
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,FWMF,Augsburg,de Bundesliga,23,0.4,,,0.00
Ihlas Bebou\Ihlas-Bebou,FW,Hoffenheim,de Bundesliga,26,24.4,41.3,0.20,-0.00
Rodrigo Becão\Rodrigo-Becao,DF,Udinese,it Serie A,24,30.9,18.2,0.09,0.00
Sheraldo Becker\Sheraldo-Becker,FWMF,Union Berlin,de Bundesliga,25,12.3,32.3,0.07,0.08
Timo Becker\Timo-Becker,DF,Schalke 04,de Bundesliga,23,18.2,20.0,0.03,-0.01
Jan Bednarek\Jan-Bednarek,DF,Southampton,eng Premier League,24,34.4,50.0,0.10,0.00
Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,eng Premier League,23,5.8,50.0,0.14,0.12
Valon Behrami\Valon-Behrami,MF,Genoa,it Serie A,35,9.9,25.0,0.10,-0.04
Brian Behrendt\Brian-Behrendt,DF,Arminia,de Bundesliga,28,0.9,0.0,0.02,0.00
Maximilian Beier\Maximilian-Beier,FWDF,Hoffenheim,de Bundesliga,17,0.1,,,0.00
Ishak Belfodil\Ishak-Belfodil,FW,Hoffenheim,de Bundesliga,28,6.6,33.3,0.13,-0.24
Erwan Belhadji\Erwan-Belhadji,MF,Dijon,fr Ligue 1,19,0.3,0.0,0.03,0.00
Haris Belkebla\Haris-Belkebla,MF,Brest,fr Ligue 1,26,30.3,0.0,0.08,-0.02
Stefan Bell\Stefan-Bell,DF,Mainz 05,de Bundesliga,28,14.1,28.6,0.06,0.04
Karim Bellarabi\Karim-Bellarabi,FWMF,Leverkusen,de Bundesliga,30,8.9,31.0,0.08,-0.25
Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,MFFW,Strasbourg,fr Ligue 1,22,23.2,19.2,0.11,-0.08
Héctor Bellerín\Hector-Bellerin,DF,Arsenal,eng Premier League,25,23.2,33.3,0.05,0.01
Jude Bellingham\Jude-Bellingham,MF,Dortmund,de Bundesliga,17,18.9,26.5,0.09,-0.11
Andrea Belotti\Andrea-Belotti,FW,Torino,it Serie A,26,32.1,33.3,0.10,-0.02
Fran Beltrán\Fran-Beltran,MF,Celta Vigo,es La Liga,21,15.5,36.8,0.07,0.10
Sami Ben Amar\Sami-Ben-Amar,MF,Nîmes,fr Ligue 1,22,0.1,,,0.00
