,Player,Position,Team,Comp,Age,MP,Min,Goals,Ast,G+A,xG,xA,SoT%,npxG/Sh,G-xG,Pass Cmp%,Prog Passes,Through Balls,Passes Under Pressure,Switch Passes,Crosses,Shot Creating Actions,Dribbles to Shot,Def Action to Shot,Tackles,Press,Shots Blocked,Interceptions,Clearances,Errors,Dribbles Successful,Dribble Distance,Mistakes,Ball Recoveries,Air Duels Won%,Values
963,Fran Beltran,MF,celta vigo,es La Liga,21,32,1399,0.19,0.0,0.19,0.09,0.02,36.8,0.07,0.1,90.8,2.19,0.0,7.29,1.16,0.26,1.48,0.13,0.0,2.26,22.1,0.13,1.1,1.48,0.06,0.65,84.3,0.9,9.74,25.0,13200000.0
964,Jota,MF,alaves,es La Liga,29,23,1398,0.0,0.13,0.13,0.06,0.12,12.5,0.06,-0.06,73.9,3.16,0.19,6.97,1.55,1.42,1.74,0.13,0.06,1.48,19.7,0.0,1.03,0.71,0.0,1.42,94.3,1.48,6.9,33.3,1980000.0
965,David Luiz,DF,arsenal,eng Premier League,33,20,1396,0.06,0.0,0.06,0.06,0.03,13.3,0.06,0.01,83.6,3.94,0.13,5.87,1.74,0.45,0.65,0.06,0.06,0.97,6.13,0.71,0.77,4.32,0.0,0.13,218.1,0.13,7.42,71.4,4400000.0
966,David Timor,MFDF,getafe,es La Liga,30,30,1395,0.0,0.0,0.0,0.03,0.06,27.8,0.03,-0.03,64.8,3.74,0.0,4.84,4.06,0.65,1.23,0.0,0.06,0.97,7.61,0.19,0.84,5.87,0.0,0.13,51.4,0.26,11.9,53.8,1650000.0
967,Amin Younes,MFFW,eint frankfurt,de Bundesliga,26,26,1391,0.19,0.19,0.39,0.22,0.11,39.4,0.1,-0.03,74.5,6.39,0.13,7.1,1.61,1.87,3.48,0.52,0.0,1.74,21.8,0.13,1.1,0.19,0.0,4.0,138.4,2.19,6.06,4.5,11000000.0
968,Giorgio Chiellini,DF,juventus,it Serie A,35,17,1386,0.0,0.06,0.06,0.04,0.0,0.0,0.1,-0.04,91.9,3.38,0.0,4.42,1.88,0.06,0.71,0.0,0.0,1.1,7.4,1.04,1.36,4.22,0.06,0.19,145.2,0.0,7.66,69.2,1650000.0
969,Matteo Lovato,DF,hellas verona,it Serie A,20,24,1386,0.0,0.0,0.0,0.01,0.01,0.0,0.05,-0.01,81.2,1.82,0.0,5.78,0.52,0.19,0.58,0.0,0.0,1.75,12.9,0.65,1.23,5.58,0.13,0.19,87.5,0.39,12.1,62.9,7700000.0
970,Christian Eriksen,MF,inter,it Serie A,28,26,1385,0.19,0.0,0.19,0.11,0.17,36.7,0.06,0.08,82.1,4.61,0.0,9.87,2.79,1.69,3.31,0.0,0.0,0.78,11.5,0.13,0.65,0.91,0.06,0.65,120.4,1.43,8.31,70.6,44000000.0
971,Issa Diop,DF,west ham,eng Premier League,23,18,1381,0.13,0.0,0.13,0.02,0.0,66.7,0.11,0.11,84.4,1.44,0.07,3.73,0.2,0.07,0.26,0.0,0.0,1.7,7.39,1.57,0.92,5.36,0.13,0.33,65.8,0.2,7.25,60.0,19800000.0
972,Jawad El Yamiq,DF,valladolid,es La Liga,28,19,1379,0.0,0.07,0.07,0.03,0.0,25.0,0.05,-0.03,79.7,1.83,0.07,5.36,1.7,0.13,0.65,0.13,0.07,1.76,8.43,0.98,2.48,9.8,0.0,0.26,68.1,0.39,9.93,71.8,1320000.0
973,Hannes Wolf,MFFW,m'gladbach,de Bundesliga,21,32,1378,0.2,0.13,0.33,0.13,0.18,43.8,0.12,0.07,76.3,3.01,0.2,10.9,0.33,0.33,2.16,0.07,0.07,1.76,25.0,0.13,0.78,0.26,0.0,1.24,92.5,2.03,9.15,38.9,8800000.0
974,Christophe Herelle,DF,brest,fr Ligue 1,27,16,1377,0.0,0.0,0.0,0.04,0.0,0.0,0.09,-0.04,89.7,3.2,0.0,5.29,1.63,0.13,0.65,0.0,0.07,1.31,6.86,0.59,1.05,5.42,0.0,0.2,119.9,0.13,9.02,68.3,3850000.0
