,Player,Position,Team,Comp,Age,MP,Min,Goals,Ast,G+A,xG,xA,SoT%,npxG/Sh,G-xG,Pass Cmp%,Prog Passes,Through Balls,Passes Under Pressure,Switch Passes,Crosses,Shot Creating Actions,Dribbles to Shot,Def Action to Shot,Tackles,Press,Shots Blocked,Interceptions,Clearances,Errors,Dribbles Successful,Dribble Distance,Mistakes,Ball Recoveries,Air Duels Won%,Values
1588,Ibai Gomez,MF,athletic club,es La Liga,30,13,424,0.0,0.21,0.21,0.04,0.15,0.0,0.04,-0.04,67.7,4.04,0.0,6.81,1.7,3.19,1.91,0.0,0.0,0.85,15.7,0.0,0.43,0.64,0.0,0.85,40.2,1.06,4.68,50.0,1320000.0
1589,Eddie Nketiah,FW,arsenal,eng Premier League,21,17,423,0.43,0.21,0.64,0.51,0.17,41.7,0.2,-0.09,82.0,0.64,0.43,4.68,0.21,0.85,1.7,0.0,0.21,0.85,23.2,0.43,0.21,0.85,0.0,2.13,43.2,1.91,2.55,14.3,17600000.0
1590,M'Baye Niang,FW,rennes,fr Ligue 1,25,9,422,0.21,0.0,0.21,0.19,0.0,20.0,0.09,0.02,67.9,0.21,0.0,5.11,0.0,0.21,0.64,0.0,0.0,0.43,13.2,0.21,0.0,0.85,0.0,0.21,14.0,2.77,3.4,40.6,4950000.0
1591,Youssoufa Moukoko,FWMF,dortmund,de Bundesliga,15,14,422,0.64,0.0,0.64,0.6,0.15,40.0,0.14,0.04,76.9,0.64,0.0,3.19,0.0,0.64,3.62,0.43,0.43,0.64,15.3,0.0,0.0,0.21,0.0,2.34,49.8,3.4,4.89,28.6,19800000.0
1592,Philipp Klement,MFFW,stuttgart,de Bundesliga,27,18,421,0.21,0.43,0.64,0.06,0.36,42.9,0.04,0.15,82.4,4.47,0.0,10.4,2.77,1.49,5.74,0.0,0.0,1.91,22.6,0.43,1.06,2.34,0.0,1.06,161.9,1.91,10.2,36.4,1320000.0
1593,Steven Skrzybski,FWDF,schalke 04,de Bundesliga,27,13,419,0.0,0.0,0.0,0.28,0.02,14.3,0.08,-0.28,59.8,1.91,0.0,4.04,0.64,1.7,1.7,0.0,0.0,1.49,24.0,0.21,1.06,0.21,0.0,1.06,57.0,2.77,7.66,30.0,1650000.0
1594,Yildirim Mert Cetin,DF,hellas verona,it Serie A,23,6,418,0.0,0.0,0.0,0.02,0.0,0.0,0.05,-0.02,79.7,3.7,0.0,6.96,0.43,0.22,0.22,0.22,0.0,1.52,10.9,1.74,2.83,2.83,0.43,0.65,53.5,0.22,13.3,69.0,3080000.0
1595,Francisco Portillo,MFFW,getafe,es La Liga,30,16,418,0.0,0.22,0.22,0.0,0.11,30.4,0.0,0.0,74.5,6.09,0.0,9.57,0.22,2.61,2.39,0.0,0.0,1.09,12.6,0.0,1.09,0.43,0.0,1.74,111.1,1.3,9.13,6.3,1320000.0
1596,Benno Schmitz,DF,koln,de Bundesliga,25,12,416,0.0,0.22,0.22,0.07,0.09,25.0,0.07,-0.07,72.4,6.09,0.0,5.65,1.09,1.09,2.61,0.0,0.0,2.83,18.7,0.87,1.74,3.7,0.0,0.0,90.2,0.87,7.83,42.9,880000.0
1597,Farid El Melali,FWMF,angers,fr Ligue 1,23,17,414,0.0,0.0,0.0,0.3,0.02,38.5,0.11,-0.3,75.5,2.17,0.22,6.96,0.43,1.52,2.61,0.43,0.22,1.96,18.9,0.0,1.52,0.43,0.22,4.78,155.9,2.83,7.17,10.0,1760000.0
1598,Morgan Gibbs-White,MFFW,wolves,eng Premier League,20,11,414,0.22,0.0,0.22,0.22,0.13,33.3,0.11,0.0,80.9,4.78,0.22,11.1,1.09,1.74,3.7,0.0,0.0,1.52,23.7,0.0,0.87,0.22,0.0,1.52,128.0,3.26,8.26,22.2,7700000.0
1599,Thomas Ouwejan,DF,udinese,it Serie A,23,15,413,0.0,0.43,0.44,0.04,0.2,33.3,0.04,-0.04,62.9,3.26,0.0,6.52,1.52,6.96,3.48,0.0,0.22,1.09,12.6,0.0,0.43,1.52,0.0,0.65,110.0,1.3,7.61,18.2,2200000.0
1600,Wylan Cyprien,MF,parma,it Serie A,25,13,410,0.0,0.0,0.0,0.04,0.04,16.7,0.03,-0.04,84.1,3.7,0.0,8.7,2.83,0.65,2.83,0.0,0.0,2.17,15.0,1.3,0.65,2.39,0.43,0.22,98.0,0.65,7.83,66.7,6600000.0
1601,Yassine Benzia,MFFW,dijon,fr Ligue 1,25,7,407,0.44,0.22,0.66,0.4,0.07,0.0,0.08,0.04,76.6,3.56,0.0,10.9,2.22,1.56,3.11,0.22,0.0,2.44,26.4,0.0,1.78,0.44,0.0,2.44,82.7,1.56,7.11,30.0,1760000.0
1602,Federico Fazio,DF,roma,it Serie A,33,6,406,0.22,0.0,0.22,0.04,0.0,66.7,0.05,0.18,87.6,4.22,0.22,7.11,2.0,0.44,0.67,0.0,0.0,1.11,8.67,0.89,1.11,7.11,0.0,0.67,183.6,0.67,9.78,71.4,880000.0
1603,Axel Tuanzebe,DF,manchester utd,eng Premier League,22,9,404,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,89.7,2.22,0.0,5.11,1.56,0.0,0.0,0.0,0.0,2.22,12.9,1.56,0.89,4.22,0.22,0.0,104.9,0.67,10.0,46.2,8800000.0
1604,Daniele Baselli,MF,torino,it Serie A,28,15,396,0.0,0.0,0.0,0.07,0.14,50.0,0.07,-0.07,75.2,5.68,0.0,7.05,3.64,0.45,2.95,0.0,0.23,2.5,23.4,0.0,1.36,1.36,0.0,1.14,100.7,0.91,11.4,55.0,5500000.0
1605,Sami Khedira,MF,hertha bsc,de Bundesliga,33,9,395,0.0,0.23,0.23,0.0,0.11,0.0,0.03,0.0,82.9,3.41,0.0,6.14,1.14,0.45,1.14,0.0,0.23,2.27,15.0,0.23,2.27,2.05,0.23,0.45,55.5,0.91,9.32,63.6,2200000.0
1606,Alberto Soro,FWMF,granada,es La Liga,21,15,393,0.23,0.45,0.69,0.18,0.09,50.0,0.39,0.05,72.9,2.73,0.0,6.14,0.91,1.14,2.05,0.23,0.0,1.14,21.4,0.0,0.91,0.23,0.0,0.45,86.4,1.14,8.18,31.3,3300000.0
1607,Andy Carroll,FW,newcastle utd,eng Premier League,31,18,392,0.23,0.0,0.23,0.27,0.02,14.3,0.08,-0.05,63.1,2.73,0.0,11.1,0.91,0.68,2.05,0.23,0.23,0.45,13.6,0.0,0.23,2.5,0.0,0.45,29.5,2.95,8.41,57.3,1650000.0
1608,Carlos Fernandez,FWMF,real sociedad,es La Liga,24,11,390,0.23,0.47,0.69,0.26,0.14,57.1,0.16,-0.02,65.5,2.79,0.0,9.53,0.0,0.47,2.56,0.0,0.0,0.47,25.8,0.47,0.7,1.4,0.0,0.7,47.2,3.02,5.58,42.4,9900000.0
1609,Aleksandar Kolarov,DF,inter,it Serie A,34,7,390,0.0,0.23,0.23,0.02,0.21,33.3,0.02,-0.02,85.7,8.37,0.0,7.91,4.19,1.86,3.49,0.0,0.23,1.63,8.6,0.0,0.47,2.09,0.0,0.0,387.4,0.7,14.7,72.2,1650000.0
1610,Filippo Melegoni,MFDF,genoa,it Serie A,21,14,389,0.0,0.0,0.0,0.09,0.09,25.0,0.1,-0.09,83.5,3.49,0.0,9.77,1.63,1.4,2.09,0.23,0.23,1.63,23.7,0.0,2.09,1.4,0.0,2.09,147.9,2.56,6.74,75.0,990000.0
1611,Krepin Diatta,MFDF,monaco,fr Ligue 1,21,12,389,0.23,0.0,0.23,0.12,0.02,33.3,0.18,0.12,73.3,2.09,0.0,7.67,0.7,1.86,1.4,0.0,0.0,1.16,16.5,0.23,0.23,0.7,0.0,2.09,107.4,2.09,7.67,46.7,19800000.0
1612,Ivan Saponjic,FW,cadiz,es La Liga,22,9,388,0.23,0.0,0.23,0.4,0.0,50.0,0.09,-0.16,78.8,1.4,0.0,7.67,0.0,0.0,1.4,0.0,0.0,0.0,18.6,0.0,0.7,0.7,0.0,0.47,19.8,1.86,4.42,40.0,1320000.0
1613,Christian Oliva,MF,cagliari,it Serie A,24,10,388,0.0,0.23,0.23,0.0,0.02,30.4,0.0,0.0,84.5,5.81,0.0,3.95,0.7,0.47,1.16,0.0,0.0,1.63,17.9,0.23,1.16,2.09,0.23,0.7,104.7,0.0,9.77,55.6,4400000.0
1614,Mehdi Leris,DFMF,sampdoria,it Serie A,22,20,386,0.0,0.0,0.0,0.02,0.07,50.0,0.04,-0.02,78.0,3.26,0.0,10.0,2.09,2.56,3.02,0.0,0.23,3.26,30.2,0.93,2.79,2.33,0.0,1.16,188.4,2.79,10.9,50.0,1650000.0
1615,Tahith Chong,FWMF,werder bremen,de Bundesliga,20,13,386,0.0,0.23,0.23,0.07,0.12,11.1,0.03,-0.07,63.2,1.63,0.0,6.51,0.47,1.63,3.02,0.23,0.23,2.79,22.3,0.0,0.7,0.47,0.0,2.56,107.9,2.79,11.4,10.0,4400000.0
1616,Eric Garcia,DF,manchester city,eng Premier League,19,6,383,0.0,0.0,0.0,0.02,0.02,0.0,0.06,-0.02,93.6,3.72,0.0,3.72,0.7,0.0,0.93,0.0,0.0,2.33,11.4,0.23,1.16,2.79,0.0,0.0,245.6,0.23,8.84,33.3,22000000.0
1617,Andrea Poli,MF,bologna,it Serie A,30,18,383,0.23,0.0,0.23,0.21,0.09,66.7,0.3,0.02,88.6,3.72,0.0,5.35,0.23,0.47,3.26,0.0,0.47,1.63,16.7,0.23,1.63,1.4,0.0,1.16,78.1,1.16,10.5,25.0,1100000.0
1618,Timothee Pembele,DF,paris s-g,fr Ligue 1,17,6,383,0.23,0.0,0.23,0.23,0.05,50.0,0.26,0.0,90.3,2.09,0.0,3.72,0.0,0.47,1.4,0.23,0.23,2.09,14.2,0.0,0.93,2.33,0.0,1.63,137.4,1.16,6.74,53.8,4400000.0
1619,Luca Kilian,DF,mainz 05,de Bundesliga,20,6,381,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,86.9,2.38,0.0,4.76,1.43,0.0,0.24,0.0,0.0,3.33,9.05,0.48,0.24,3.57,0.24,0.0,93.8,0.24,11.2,72.2,1430000.0
1620,Dimitris Limnios,MFFW,koln,de Bundesliga,22,12,378,0.0,0.0,0.0,0.14,0.12,50.0,0.1,-0.14,63.4,1.9,0.0,6.67,0.95,2.14,1.19,0.0,0.0,1.9,17.4,0.0,0.24,0.24,0.0,1.43,125.0,2.14,6.67,33.3,2200000.0
1621,Paul Akouokou,MF,betis,es La Liga,22,10,378,0.0,0.0,0.0,0.0,0.1,30.4,0.0,0.0,91.8,1.43,0.0,4.76,0.71,0.48,1.19,0.0,0.24,2.86,17.9,0.24,1.43,1.9,0.0,0.71,83.6,0.24,8.81,50.0,1650000.0
1622,Matthew Longstaff,MF,newcastle utd,eng Premier League,20,5,377,0.0,0.0,0.0,0.0,0.02,30.4,0.0,0.0,79.1,0.71,0.0,6.9,0.48,0.71,0.48,0.0,0.0,0.95,23.3,0.0,1.43,0.71,0.0,0.24,23.3,0.24,10.5,54.5,5500000.0
1623,Fredrik Jensen,FWMF,augsburg,de Bundesliga,22,13,377,0.0,0.24,0.24,0.07,0.24,0.0,0.05,-0.07,68.0,0.95,0.24,8.1,0.95,0.95,2.14,0.24,0.0,0.95,16.4,0.24,1.19,1.67,0.0,1.67,42.4,3.1,8.1,18.2,2200000.0
1624,Jacopo Sala,DF,spezia,it Serie A,28,6,375,0.0,0.0,0.0,0.0,0.12,30.4,0.0,0.0,85.5,5.24,0.0,3.81,0.95,2.14,1.43,0.0,0.0,3.81,14.5,0.48,0.71,1.67,0.0,0.71,138.8,0.24,7.38,37.5,550000.0
1625,Andriy Yarmolenko,FWMF,west ham,eng Premier League,30,15,375,0.0,0.24,0.24,0.1,0.24,28.6,0.06,-0.1,79.0,2.62,0.48,7.62,1.67,2.62,3.1,0.0,0.0,1.43,13.3,0.0,0.71,0.24,0.0,1.67,139.0,2.14,6.9,50.0,4400000.0
1626,Waldo Rubio,FWMF,valladolid,es La Liga,24,10,375,0.24,0.0,0.24,0.24,0.02,12.5,0.03,0.0,67.8,2.38,0.24,6.43,1.9,0.71,1.43,0.0,0.24,1.67,25.0,0.0,0.24,0.95,0.0,1.19,91.7,0.95,7.62,0.0,1320000.0
1627,Josh Onomah,MF,fulham,eng Premier League,23,11,374,0.0,0.0,0.0,0.14,0.02,16.7,0.11,-0.14,89.8,3.81,0.0,10.7,0.0,0.24,1.43,0.0,0.24,2.38,21.7,0.48,0.71,0.95,0.0,0.24,115.5,1.67,8.1,36.4,6600000.0
1628,Jon Bautista,FWMF,real sociedad,es La Liga,25,21,370,0.0,0.24,0.24,0.24,0.05,25.0,0.08,-0.24,61.8,0.98,0.0,7.56,0.49,0.73,2.2,0.0,0.0,1.46,20.2,0.49,0.49,0.98,0.0,0.49,43.2,2.93,4.39,45.8,1320000.0
1629,Virgil van Dijk,DF,liverpool,eng Premier League,29,5,370,0.24,0.0,0.24,0.07,0.0,50.0,0.08,0.17,90.0,4.88,0.0,7.8,4.15,0.0,0.24,0.0,0.0,0.73,3.41,0.49,0.0,2.93,0.24,0.0,100.7,0.24,11.7,69.6,60500000.0
1630,Alberto Cerri,FWMF,cagliari,it Serie A,24,23,369,0.24,0.0,0.24,0.61,0.2,37.5,0.16,-0.37,66.9,3.17,0.24,12.9,0.98,0.49,5.37,0.73,0.0,1.71,12.7,0.98,0.73,1.46,0.0,1.95,47.3,4.88,6.34,57.6,1650000.0
1631,Augusto Fernandez,MF,cadiz,es La Liga,34,12,369,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,80.7,1.95,0.0,4.39,1.95,0.0,0.24,0.0,0.0,2.68,29.3,0.24,2.68,1.95,0.0,0.0,45.6,0.49,10.2,28.6,330000.0
1632,Felix Passlack,DF,dortmund,de Bundesliga,22,7,362,0.25,0.0,0.25,0.23,0.05,20.0,0.18,0.03,84.5,3.5,0.0,11.8,1.0,1.75,1.5,0.0,0.0,3.25,17.8,0.25,1.0,0.25,0.0,0.75,181.3,1.5,10.3,0.0,2750000.0
1633,Carlos Dominguez,DF,celta vigo,es La Liga,19,4,360,0.0,0.0,0.0,0.03,0.03,100.0,0.11,-0.03,83.1,1.25,0.0,5.75,0.5,0.0,0.25,0.0,0.0,1.5,10.8,1.0,1.75,7.25,0.0,0.0,79.8,0.25,4.25,43.5,1650000.0
1634,Florian Flick,MF,schalke 04,de Bundesliga,20,4,360,0.25,0.0,0.25,0.13,0.0,100.0,0.48,0.13,82.7,2.5,0.0,8.0,0.5,0.0,0.75,0.0,0.0,2.25,27.8,0.5,1.5,2.75,0.0,0.0,39.0,0.25,9.5,38.5,770000.0
1635,Robert Glatzel,FW,mainz 05,de Bundesliga,26,13,359,0.5,0.25,0.75,0.72,0.15,53.8,0.23,-0.23,69.9,1.75,0.0,14.0,0.25,0.75,2.75,0.25,0.25,0.75,23.5,0.0,0.5,0.75,0.0,1.75,70.5,3.5,9.0,35.9,2750000.0
1636,Iago Falque,MFFW,benevento,it Serie A,30,11,358,0.25,0.25,0.5,0.07,0.33,9.1,0.03,0.17,75.0,5.75,0.25,9.5,2.25,3.5,7.25,1.0,0.25,1.0,9.75,0.25,0.75,0.5,0.0,1.5,173.5,2.25,9.0,11.1,1650000.0
1637,Gabriele Moncini,FW,benevento,it Serie A,24,10,357,0.0,0.0,0.0,0.25,0.03,12.5,0.12,-0.25,61.2,1.25,0.0,8.25,0.25,0.0,1.5,0.25,0.0,0.5,9.75,0.0,0.5,1.0,0.0,0.75,27.8,4.75,3.0,48.4,1100000.0
1638,Ian Carlo Poveda,MFDF,leeds united,eng Premier League,20,14,355,0.0,0.0,0.0,0.1,0.21,60.0,0.07,-0.1,73.5,4.62,0.26,6.15,0.77,2.31,2.31,0.77,0.0,2.31,20.0,0.26,0.51,0.0,0.0,3.33,175.1,3.08,6.67,0.0,1650000.0
1639,Gabriel Silva,DF,saint-etienne,fr Ligue 1,29,4,355,0.0,0.0,0.0,0.0,0.05,30.4,0.0,0.0,83.5,3.59,0.0,4.62,1.28,1.79,1.79,0.0,0.0,1.79,12.1,0.26,1.54,2.31,0.0,1.03,76.7,1.03,7.18,54.5,1650000.0
1640,Sanjin Prcic,MF,strasbourg,fr Ligue 1,26,14,353,0.0,0.26,0.25,0.08,0.1,14.3,0.04,-0.08,82.9,5.38,0.0,6.41,4.1,1.28,1.79,0.0,0.0,1.54,13.3,0.77,1.28,0.77,0.26,0.26,131.0,0.51,13.1,80.0,2200000.0
1641,Hidde ter Avest,DF,udinese,it Serie A,23,6,351,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,73.8,3.59,0.26,3.59,0.51,3.33,0.51,0.0,0.0,1.03,11.3,0.26,0.0,1.28,0.0,0.77,73.8,1.03,8.46,20.0,2200000.0
1642,Jaume Costa,DFMF,villarreal,es La Liga,32,14,351,0.0,0.26,0.26,0.03,0.08,0.0,0.03,-0.03,84.4,2.31,0.51,6.67,0.77,1.79,1.79,0.0,0.0,2.82,10.8,0.26,2.05,3.08,0.0,1.03,138.2,0.77,7.69,54.5,2200000.0
1643,Max Meyer,MF,koln,de Bundesliga,24,10,351,0.0,0.0,0.0,0.26,0.03,50.0,0.1,-0.26,83.1,4.36,0.0,8.97,1.79,1.28,1.54,0.0,0.0,1.54,14.9,0.0,0.77,0.77,0.0,0.77,104.4,2.05,12.1,30.0,1650000.0
1644,Mohamed Ali Cho,FWMF,angers,fr Ligue 1,16,21,348,0.0,0.0,0.0,0.36,0.03,0.0,0.14,-0.36,63.8,1.28,0.0,6.41,0.26,2.31,1.28,0.0,0.0,2.56,26.7,0.26,0.77,0.0,0.0,1.28,119.0,4.87,5.9,35.3,4400000.0
1645,Nils Seufert,MFFW,arminia,de Bundesliga,23,13,343,0.0,0.26,0.26,0.0,0.08,0.0,0.04,0.0,81.2,2.63,0.0,8.16,0.26,0.53,1.58,0.0,0.0,2.89,22.9,0.26,0.53,1.58,0.0,1.05,62.1,0.79,8.42,57.1,880000.0
1646,Aurelien Scheidler,FW,dijon,fr Ligue 1,22,10,342,0.26,0.0,0.26,0.13,0.08,28.6,0.08,0.13,75.0,0.53,0.0,4.21,0.26,0.0,1.58,0.0,0.26,1.05,11.1,0.0,0.0,1.32,0.0,0.26,26.8,1.58,2.89,30.3,1100000.0
1647,Antonino La Gumina,FW,sampdoria,it Serie A,24,9,341,0.0,0.0,0.0,0.13,0.0,9.1,0.04,-0.13,68.1,0.79,0.0,7.89,0.26,1.05,1.05,0.0,0.26,0.79,19.7,0.26,1.05,1.58,0.0,1.05,49.7,4.47,3.42,26.8,2200000.0
1648,Domingos Quina,MF,granada,es La Liga,20,8,341,0.53,0.0,0.53,0.08,0.03,37.5,0.04,0.45,76.0,1.84,0.0,4.21,0.53,0.53,2.89,0.26,0.26,1.58,23.9,0.0,1.05,0.0,0.0,1.84,47.6,2.37,7.37,45.5,3300000.0
1649,Andrea Favilli,FW,hellas verona,it Serie A,23,11,339,0.53,0.0,0.53,0.47,0.03,33.3,0.15,0.05,73.2,0.79,0.0,7.89,0.53,0.0,2.63,0.26,0.26,0.79,10.5,0.26,0.0,0.79,0.0,0.79,37.6,4.74,3.42,27.5,3850000.0
1650,Lukas Haraslin,FWMF,sassuolo,it Serie A,24,14,333,0.0,0.0,0.0,0.24,0.24,41.7,0.08,-0.24,70.4,3.24,0.0,4.32,1.89,2.43,4.59,0.27,0.0,2.7,15.7,0.0,0.54,1.08,0.0,1.89,132.4,1.35,5.14,66.7,1430000.0
1651,Fode Doucoure,DF,reims,fr Ligue 1,19,7,333,0.0,0.0,0.0,0.05,0.14,66.7,0.06,-0.05,77.2,3.78,0.0,3.51,0.81,1.08,1.89,0.0,0.0,2.7,17.3,0.0,1.08,4.32,0.0,0.81,178.6,0.81,8.65,33.3,550000.0
1652,Ebrima Darboe,MF,roma,it Serie A,19,5,323,0.0,0.0,0.0,0.03,0.0,0.0,0.03,-0.03,95.4,6.94,0.0,11.9,1.11,0.0,2.78,0.0,0.0,1.67,18.6,0.0,3.61,0.0,0.28,0.83,148.3,0.56,11.7,33.3,2200000.0
1653,Eliaquim Mangala,DF,valencia,es La Liga,29,7,321,0.0,0.0,0.0,0.14,0.0,0.0,0.26,-0.14,69.5,0.56,0.0,5.0,0.28,0.0,0.0,0.0,0.0,0.28,10.3,1.67,1.11,7.22,0.0,0.28,45.8,0.28,11.9,66.7,2750000.0
1654,Thomas Fontaine,DF,lorient,fr Ligue 1,29,4,320,0.0,0.0,0.0,0.03,0.0,50.0,0.07,-0.03,89.0,1.11,0.0,1.94,1.39,0.0,0.0,0.0,0.0,1.39,9.72,0.56,0.28,5.28,0.0,0.0,42.2,0.0,4.72,25.0,1100000.0
1655,Paolo Bartolomei,MF,spezia,it Serie A,30,6,320,0.0,0.28,0.28,0.06,0.08,0.0,0.04,-0.06,72.4,2.78,0.0,3.89,2.22,2.5,1.94,0.0,0.0,1.94,20.3,0.0,0.0,0.28,0.0,1.11,76.9,1.11,5.0,33.3,605000.0
1656,Douglas Costa,FWMF,bayern munich,de Bundesliga,29,11,320,0.28,0.28,0.56,0.03,0.19,50.0,0.04,0.25,69.0,5.56,0.28,6.94,2.78,3.33,4.72,0.56,0.0,0.56,18.6,0.28,0.83,0.0,0.0,3.33,170.0,1.94,6.94,28.6,6600000.0
1657,Jeremy Pied,DF,lille,fr Ligue 1,31,6,318,0.0,0.0,0.0,0.0,0.11,100.0,0.03,0.0,79.4,10.3,0.0,4.86,1.14,2.57,1.43,0.0,0.0,0.86,11.4,0.29,1.71,1.43,0.0,0.57,185.7,0.0,13.4,45.5,1320000.0
1658,Hamza Choudhury,MF,leicester city,eng Premier League,22,10,316,0.0,0.0,0.0,0.11,0.0,25.0,0.09,-0.11,80.9,2.29,0.0,3.43,1.71,0.0,0.86,0.0,0.0,3.14,15.1,0.57,1.43,1.71,0.29,0.0,88.3,0.86,15.4,40.0,7700000.0
1659,Miguel Gutierrez,DF,real madrid,es La Liga,19,6,316,0.0,0.29,0.28,0.0,0.06,30.4,0.0,0.0,88.9,3.14,0.0,8.0,0.86,4.29,2.0,0.0,0.0,1.14,18.3,0.29,1.71,2.57,0.0,1.43,195.4,0.86,8.0,50.0,5500000.0
1660,Eliot Matazo,MF,monaco,fr Ligue 1,18,10,314,0.29,0.29,0.57,0.37,0.14,66.7,0.43,-0.09,78.3,2.0,0.0,4.29,0.29,0.0,1.71,0.29,0.0,3.14,23.7,0.0,0.57,0.29,0.0,0.86,38.9,0.86,6.86,37.5,6600000.0
1661,Erik Thommy,DFFW,stuttgart,de Bundesliga,25,8,313,0.0,0.57,0.58,0.14,0.26,10.0,0.05,-0.14,72.0,2.29,0.29,6.86,0.86,2.29,3.14,0.0,0.0,1.14,16.3,0.0,2.0,1.43,0.0,0.86,152.3,2.86,4.57,57.1,2750000.0
1662,Yun Il-lok,MFFW,montpellier,fr Ligue 1,28,12,312,0.0,0.0,0.0,0.14,0.11,0.0,0.09,-0.14,73.4,2.0,0.0,8.0,1.43,0.57,2.0,0.0,0.0,0.0,13.1,0.0,1.71,0.29,0.0,0.29,60.9,0.86,8.29,50.0,1100000.0
1663,Luca Netz,DFMF,hertha bsc,de Bundesliga,17,11,309,0.29,0.0,0.29,0.24,0.03,33.3,0.32,0.06,77.5,3.53,0.0,5.59,0.88,2.94,1.76,0.0,0.29,3.53,18.2,0.0,0.59,2.65,0.0,1.47,106.8,1.18,8.82,55.6,5500000.0
1664,Carlos Vinicius,FW,tottenham,eng Premier League,25,9,308,0.29,0.0,0.29,0.41,0.03,57.1,0.2,-0.12,56.8,0.88,0.0,4.71,0.0,0.59,1.18,0.0,0.0,0.29,15.0,0.0,0.29,1.47,0.0,1.47,22.9,3.53,2.94,35.5,19800000.0
1665,Lucas Perrin,DFFW,marseille,fr Ligue 1,21,7,308,0.29,0.0,0.29,0.09,0.0,33.3,0.11,0.21,92.8,3.82,0.0,3.82,2.35,0.59,1.18,0.29,0.0,2.06,12.1,1.18,2.06,5.0,0.0,0.29,108.2,0.29,7.35,76.9,1980000.0
1666,Kevin N'Doram,MF,metz,fr Ligue 1,24,6,307,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,86.8,2.94,0.0,5.0,2.06,0.0,0.88,0.0,0.0,1.18,16.5,0.0,0.88,2.35,0.0,0.59,99.4,0.29,3.24,60.0,2750000.0
1667,Marek Suchy,DF,augsburg,de Bundesliga,32,5,305,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,87.0,2.35,0.0,7.65,0.88,0.29,0.0,0.0,0.0,1.47,7.65,1.18,0.29,3.53,0.0,0.0,61.8,0.0,5.29,70.0,550000.0
1668,Amadou Traore,MFFW,bordeaux,fr Ligue 1,18,19,304,0.0,0.29,0.3,0.09,0.24,33.3,0.09,-0.09,71.8,1.18,0.0,8.82,0.29,4.12,3.82,0.88,0.0,2.06,21.8,0.0,0.29,0.59,0.0,2.35,164.7,3.82,4.71,33.3,880000.0
1669,Jonas Ramalho,DF,osasuna,es La Liga,27,5,304,0.0,0.0,0.0,0.03,0.0,50.0,0.07,-0.03,76.5,2.35,0.0,6.47,1.18,0.59,0.29,0.0,0.0,1.47,10.3,0.29,0.88,1.76,0.0,0.88,66.8,0.59,7.65,85.7,1100000.0
1670,Yann Gboho,MFFW,rennes,fr Ligue 1,19,10,303,0.0,0.0,0.0,0.26,0.06,33.3,0.1,-0.26,75.8,3.82,0.0,8.24,0.29,1.47,4.41,0.88,0.0,1.76,20.3,0.0,0.29,0.59,0.29,3.24,172.9,0.59,7.65,28.6,4950000.0
1671,Facundo Ferreyra,FW,celta vigo,es La Liga,29,13,300,0.3,0.0,0.3,0.42,0.0,28.6,0.21,-0.12,65.5,0.61,0.0,6.67,0.0,0.3,0.61,0.0,0.0,0.61,20.3,0.0,0.0,0.61,0.0,0.3,13.0,1.82,3.64,46.2,2200000.0
1672,Vitolo,MFFW,atletico madrid,es La Liga,30,10,298,0.0,0.0,0.0,0.15,0.06,0.0,0.24,-0.15,82.5,3.64,0.0,7.27,0.91,0.3,2.12,0.0,0.0,0.91,13.9,0.0,0.3,0.3,0.0,0.3,141.8,3.03,6.06,53.8,4400000.0
1673,Christian Maggio,DF,benevento,it Serie A,38,8,297,0.0,0.0,0.0,0.03,0.0,0.0,0.05,-0.03,76.4,2.42,0.0,4.55,0.0,0.91,0.3,0.0,0.0,2.73,15.2,0.61,0.61,0.61,0.0,0.3,85.2,0.61,7.88,41.7,330000.0
1674,Jessic Ngankam,FW,hertha bsc,de Bundesliga,20,15,296,0.61,0.0,0.61,0.15,0.0,66.7,0.08,0.45,75.5,0.61,0.0,5.15,0.0,0.3,0.91,0.3,0.0,1.82,27.3,0.3,0.3,0.0,0.0,1.82,27.0,4.24,4.55,12.5,1320000.0
1675,Lys Mousset,FWMF,sheffield utd,eng Premier League,24,11,296,0.0,0.0,0.0,0.21,0.09,50.0,0.18,-0.21,80.0,0.91,0.0,1.52,0.61,0.0,1.21,0.3,0.0,0.0,18.2,0.3,0.0,0.3,0.0,1.21,22.1,3.33,3.64,4.8,9900000.0
1676,Ludovic Baal,DFMF,brest,fr Ligue 1,34,7,296,0.0,0.0,0.0,0.0,0.18,30.4,0.0,0.0,84.6,6.67,0.0,9.39,1.52,0.61,2.12,0.0,0.3,2.12,17.9,0.3,0.61,2.42,0.0,1.82,172.7,0.91,12.1,53.3,358000.0
1677,Willem Geubbels,FWMF,monaco,fr Ligue 1,18,14,294,0.3,0.0,0.31,0.3,0.03,33.3,0.17,0.0,69.4,0.91,0.0,5.15,0.61,1.21,1.82,0.0,0.0,3.94,27.3,0.0,1.21,1.52,0.0,0.0,52.1,3.33,7.27,50.0,6600000.0
