Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Unai Simón\Unai-Simon,GK,Athletic Club,es La Liga,23,37,37,3330,37.0,40,1.08,104,70,66.3,11,13,13,9,24.3,6,5,1,0,16.7
Tobias Sippel\Tobias-Sippel,GK,M'Gladbach,de Bundesliga,32,4,3,344,3.8,6,1.57,19,12,68.4,1,1,1,1,33.3,0,0,0,0,
Salvatore Sirigu\Salvatore-Sirigu,GK,Torino,it Serie A,33,32,32,2880,32.0,62,1.94,129,75,58.1,5,13,14,7,21.9,9,8,0,1,0.0
Antonio Sivera\Antonio-Sivera,GK,Alavés,es La Liga,23,1,1,71,0.8,0,0.00,1,1,100.0,0,0,1,0,0.0,0,0,0,0,
Łukasz Skorupski\Lukasz-Skorupski,GK,Bologna,it Serie A,29,28,28,2520,28.0,46,1.64,143,102,71.3,10,5,13,4,14.3,7,5,2,0,28.6
Yann Sommer\Yann-Sommer,GK,M'Gladbach,de Bundesliga,31,31,31,2712,30.1,50,1.66,124,79,64.5,12,9,10,6,19.4,6,6,0,0,0.0
David Soria\David-Soria,GK,Getafe,es La Liga,27,28,28,2520,28.0,31,1.11,75,52,66.7,6,8,14,10,35.7,7,6,1,0,14.3
Marco Sportiello\Marco-Sportiello,GK,Atalanta,it Serie A,28,15,13,1261,14.0,21,1.50,48,28,58.3,9,1,3,2,15.4,2,1,1,0,50.0
Zack Steffen\Zack-Steffen,GK,Manchester City,eng Premier League,25,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
Thomas Strakosha\Thomas-Strakosha,GK,Lazio,it Serie A,25,9,9,810,9.0,14,1.56,37,24,67.6,3,2,4,3,33.3,2,2,0,0,0.0
Wojciech Szczęsny\Wojciech-Szczesny,GK,Juventus,it Serie A,30,30,30,2677,29.7,32,1.08,95,67,70.5,16,8,6,5,16.7,6,4,2,0,33.3
Ciprian Tătărușanu\Ciprian-Tatarusanu,GK,Milan,it Serie A,34,1,1,90,1.0,3,3.00,6,4,66.7,0,1,0,0,0.0,1,1,0,0,0.0
Marc-André ter Stegen\Marc-Andre-ter-Stegen,GK,Barcelona,es La Liga,28,31,31,2790,31.0,32,1.03,102,75,71.6,21,5,5,11,35.5,3,3,0,0,0.0
Pietro Terracciano\Pietro-Terracciano,GK,Fiorentina,it Serie A,30,4,2,272,3.0,4,1.32,10,7,60.0,0,1,1,2,100.0,1,0,1,0,100.0
Kevin Trapp\Kevin-Trapp,GK,Eint Frankfurt,de Bundesliga,30,33,33,2970,33.0,52,1.58,143,97,66.4,15,12,6,4,12.1,6,4,1,1,20.0
