,,,,,Play,Play,Perf,Perf,Per,Expe,Expe
Player,Pos,Squad,Comp,Age,MP,Min,Gls,Ast,G+A,xG,xA
,,,,,,,,,,,
Jacob Ramsey\Jacob-Ramsey,MFFW,Aston Villa,eng Premier League,19,22,626,0.00,0.00,0.00,0.07,0.04
Kayne Ramsey\Kayne-Ramsey,DF,Southampton,eng Premier League,19,1,90,0.00,0.00,0.00,0.00,0.00
Darren Randolph\Darren-Randolph,GK,West Ham,eng Premier League,33,3,270,0.00,0.00,0.00,0.00,0.00
Andrea Ranocchia\Andrea-Ranocchia,DF,Inter,it Serie A,32,8,703,0.00,0.13,0.13,0.14,0.01
Marcus Rashford\Marcus-Rashford,FW,Manchester Utd,eng Premier League,22,37,2920,0.34,0.28,0.62,0.29,0.11
Milot Rashica\Milot-Rashica,FWMF,Werder Bremen,de Bundesliga,24,24,1462,0.19,0.12,0.31,0.27,0.10
Giacomo Raspadori\Giacomo-Raspadori,FWMF,Sassuolo,it Serie A,20,27,1232,0.44,0.00,0.44,0.31,0.19
Federico Ravaglia\Federico-Ravaglia,GK,Bologna,it Serie A,20,4,360,0.00,0.00,0.00,0.00,0.00
Tim Ream\Tim-Ream,DF,Fulham,eng Premier League,32,7,630,0.00,0.00,0.00,0.00,0.00
Ante Rebić\Ante-Rebic,FW,Milan,it Serie A,26,27,1776,0.56,0.20,0.76,0.39,0.27
Arkadiusz Reca\Arkadiusz-Reca,DF,Crotone,it Serie A,25,30,2313,0.08,0.12,0.19,0.06,0.12
Recio\Recio,MF,Eibar,es La Liga,29,17,734,0.12,0.00,0.12,0.15,0.09
Daishawn Redan\Daishawn-Redan,FWMF,Hertha BSC,de Bundesliga,19,7,102,0.00,0.00,0.00,0.55,0.00
Nathan Redmond\Nathan-Redmond,MFFW,Southampton,eng Premier League,26,29,1738,0.10,0.16,0.26,0.17,0.17
Harrison Reed\Harrison-Reed,MF,Fulham,eng Premier League,25,31,2247,0.00,0.08,0.08,0.01,0.06
Vasco Regini\Vasco-Regini,DF,Sampdoria,it Serie A,29,3,88,0.00,0.00,0.00,0.00,0.00
Sergio Reguilón\Sergio-Reguilon,DF,Tottenham,eng Premier League,23,27,2244,0.00,0.12,0.12,0.06,0.07
Bobby Reid\Bobby-Reid,MFDF,Fulham,eng Premier League,27,33,2372,0.19,0.08,0.27,0.18,0.05
Pepe Reina\Pepe-Reina,GK,Lazio,it Serie A,37,29,2610,0.00,0.00,0.00,0.00,0.00
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,MFFW,Nice,fr Ligue 1,22,14,1058,0.08,0.17,0.26,0.10,0.20
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,FW,Lyon,fr Ligue 1,22,1,24,0.00,0.00,0.00,0.33,0.00
Reinier\Reinier,MFFW,Dortmund,de Bundesliga,18,14,257,0.34,0.34,0.70,0.31,0.14
Francisco Reis Ferreira\Francisco-Reis-Ferreira,DF,Valencia,es La Liga,23,3,181,0.00,0.00,0.00,0.00,0.00
Rocco Reitz\Rocco-Reitz,MF,M'Gladbach,de Bundesliga,18,2,60,0.00,0.00,0.00,0.00,0.14
Karim Rekik\Karim-Rekik,DF,Sevilla,es La Liga,25,11,653,0.00,0.00,0.00,0.03,0.01
Álex Remiro\Alex-Remiro,GK,Real Sociedad,es La Liga,25,38,3420,0.00,0.00,0.00,0.00,0.00
Panagiotis Retsos\Panagiotis-Retsos,DF,Saint-Étienne,fr Ligue 1,21,4,272,0.00,0.00,0.00,0.00,0.03
Marco Reus\Marco-Reus,MFFW,Dortmund,de Bundesliga,31,32,2279,0.32,0.24,0.55,0.40,0.32
Elvis Rexhbeçaj\Elvis-Rexhbecaj,MFFW,Köln,de Bundesliga,22,30,1833,0.25,0.10,0.34,0.10,0.11
Oriol Rey\Oriol-Rey,MF,Valladolid,es La Liga,22,1,15,0.00,0.00,0.00,0.00,0.00
Gio Reyna\Gio-Reyna,FWMF,Dortmund,de Bundesliga,17,32,1976,0.18,0.23,0.41,0.20,0.20
Baptiste Reynet\Baptiste-Reynet,GK,Nîmes,fr Ligue 1,29,38,3420,0.00,0.00,0.00,0.00,0.02
Bryan Reynolds\Bryan-Reynolds,DF,Roma,it Serie A,19,5,283,0.00,0.00,0.00,0.00,0.00
Franck Ribéry\Franck-Ribery,FW,Fiorentina,it Serie A,37,29,2149,0.08,0.25,0.34,0.13,0.19
Ricard\Ricard,DF,Atlético Madrid,es La Liga,20,1,30,0.00,0.00,0.00,0.00,0.00
Federico Ricci\Federico-Ricci,FW,Sassuolo,it Serie A,26,1,4,0,0,0.00,0.0,0.0
Giacomo Ricci\Giacomo-Ricci,DF,Parma,it Serie A,23,3,67,0.00,0.00,0.00,0.00,0.00
Matteo Ricci\Matteo-Ricci,MF,Spezia,it Serie A,26,29,2229,0.00,0.08,0.08,0.04,0.06
Declan Rice\Declan-Rice,MF,West Ham,eng Premier League,21,32,2879,0.06,0.03,0.09,0.09,0.07
Chris Richards\Chris-Richards,DF,Hoffenheim,de Bundesliga,20,11,944,0.00,0.10,0.10,0.02,0.03
Chris Richards\Chris-Richards,DF,Bayern Munich,de Bundesliga,20,3,89,0.00,1.00,1.01,0.00,0.30
Lewis Richardson\Lewis-Richardson,FWMF,Burnley,eng Premier League,17,2,4,0,0,0.00,0.0,0.0
Richarlison\Richarlison,FW,Everton,eng Premier League,23,34,2861,0.22,0.09,0.31,0.36,0.10
Marco Richter\Marco-Richter,FWMF,Augsburg,de Bundesliga,22,29,1416,0.19,0.06,0.25,0.31,0.10
Mikel Rico\Mikel-Rico,MF,Huesca,es La Liga,35,32,2183,0.04,0.16,0.21,0.09,0.06
Sergio Rico\Sergio-Rico,GK,Paris S-G,fr Ligue 1,26,10,810,0.00,0.00,0.00,0.00,0.00
Jaïro Riedewald\Jairo-Riedewald,MF,Crystal Palace,eng Premier League,23,33,1820,0.10,0.00,0.10,0.03,0.05
Emiliano Rigoni\Emiliano-Rigoni,MFFW,Elche,es La Liga,27,23,1139,0.08,0.08,0.16,0.20,0.15
Tomás Rincón\Tomas-Rincon,MF,Torino,it Serie A,32,36,2846,0.03,0.03,0.06,0.05,0.06
Luis Rioja\Luis-Rioja,MFDF,Alavés,es La Liga,26,35,2090,0.17,0.09,0.26,0.15,0.14
Renaud Ripart\Renaud-Ripart,MFFW,Nîmes,fr Ligue 1,27,38,3054,0.32,0.00,0.32,0.27,0.04
Andrea Rispoli\Andrea-Rispoli,DF,Crotone,it Serie A,31,19,652,0.00,0.00,0.00,0.06,0.08
Mihailo Ristić\Mihailo-Ristic,DF,Montpellier,fr Ligue 1,24,34,2236,0.00,0.08,0.08,0.03,0.06
Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,eng Premier League,30,18,1350,0.00,0.13,0.13,0.03,0.10
Maxence Rivera\Maxence-Rivera,MFFW,Saint-Étienne,fr Ligue 1,18,17,239,0.00,0.00,0.00,0.04,0.04
Emmanuel Rivière\Emmanuel-Riviere,FWMF,Crotone,it Serie A,30,21,640,0.14,0.14,0.28,0.15,0.08
Rober\Rober,DFMF,Levante,es La Liga,25,19,1425,0.00,0.06,0.06,0.01,0.04
Roberto\Roberto,GK,Valladolid,es La Liga,34,13,1170,0.00,0.00,0.00,0.00,0.00
Sergi Roberto\Sergi-Roberto,DFMF,Barcelona,es La Liga,28,15,946,0.10,0.19,0.29,0.05,0.19
Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,eng Premier League,21,27,1340,0.07,0.13,0.20,0.14,0.12
Andrew Robertson\Andrew-Robertson,DF,Liverpool,eng Premier League,26,38,3383,0.03,0.19,0.21,0.04,0.18
Antonee Robinson\Antonee-Robinson,DF,Fulham,eng Premier League,22,28,2162,0.00,0.00,0.00,0.02,0.07
Callum Robinson\Callum-Robinson,FWMF,West Brom,eng Premier League,25,28,1560,0.29,0.00,0.29,0.18,0.05
Jack Robinson\Jack-Robinson,DF,Sheffield Utd,eng Premier League,26,11,877,0.00,0.10,0.10,0.04,0.09
Joel Robles\Joel-Robles,GK,Betis,es La Liga,30,18,1620,0.00,0.00,0.00,0.00,0.00
Hal Robson-Kanu\Hal-Robson-Kanu,FWMF,West Brom,eng Premier League,31,19,561,0.32,0.00,0.32,0.24,0.06
Marc Roca\Marc-Roca,MF,Bayern Munich,de Bundesliga,23,6,177,0.00,0.00,0.00,0.15,0.00
Christopher Rocchia\Christopher-Rocchia,DF,Marseille,fr Ligue 1,22,2,22,0.00,0.00,0.00,0.00,0.00
Rubén Rochina\Ruben-Rochina,MF,Levante,es La Liga,29,25,1404,0.00,0.06,0.06,0.11,0.13
Marek Rodák\Marek-Rodak,GK,Fulham,eng Premier League,23,2,180,0.00,0.00,0.00,0.00,0.00
Sebastian Rode\Sebastian-Rode,MF,Eint Frankfurt,de Bundesliga,29,27,1625,0.06,0.00,0.06,0.01,0.07
Joe Rodon\Joe-Rodon,DF,Tottenham,eng Premier League,22,12,733,0.00,0.00,0.00,0.00,0.00
Rodri\Rodri,MF,Manchester City,eng Premier League,24,34,2748,0.07,0.07,0.13,0.08,0.06
Rodrigo\Rodrigo,MFFW,Leeds United,eng Premier League,29,26,1288,0.49,0.14,0.63,0.44,0.17
Rodrigo\Rodrigo,FWMF,Betis,es La Liga,20,15,537,0.00,0.00,0.00,0.03,0.08
Kévin Rodrigues\Kevin-Rodrigues,MFDF,Eibar,es La Liga,26,22,1095,0.08,0.08,0.16,0.05,0.06
Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,MFFW,Sevilla,es La Liga,22,20,511,0.00,0.00,0.00,0.09,0.16
Ángel Rodríguez\Angel-Rodriguez,FWMF,Getafe,es La Liga,33,33,1374,0.33,0.00,0.33,0.36,0.03
Guido Rodríguez\Guido-Rodriguez,MF,Betis,es La Liga,26,35,2864,0.03,0.00,0.03,0.05,0.02
James Rodríguez\James-Rodriguez,FWMF,Everton,eng Premier League,29,23,1764,0.31,0.20,0.51,0.17,0.28
Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,eng Premier League,31,31,1265,0.07,0.14,0.21,0.18,0.12
Miguel Rodríguez\Miguel-Rodriguez,FWMF,Celta Vigo,es La Liga,17,4,30,0.00,0.00,0.00,0.00,0.00
Ricardo Rodríguez\Ricardo-Rodriguez,DF,Torino,it Serie A,27,16,1238,0.00,0.00,0.00,0.04,0.02
Víctor Rodríguez\Victor-Rodriguez,MF,Elche,es La Liga,31,16,426,0.00,0.00,0.00,0.00,0.13
Rodrygo\Rodrygo,FW,Real Madrid,es La Liga,19,22,983,0.09,0.55,0.64,0.23,0.28
Marko Rog\Marko-Rog,MF,Cagliari,it Serie A,25,14,1165,0.00,0.00,0.00,0.02,0.05
Rogério\Rogerio,DF,Sassuolo,it Serie A,22,28,1877,0.00,0.05,0.05,0.03,0.07
Luis Rojas\Luis-Rojas,MFFW,Crotone,it Serie A,18,7,104,0.00,0.00,0.00,0.00,0.00
Alessio Romagnoli\Alessio-Romagnoli,DF,Milan,it Serie A,25,22,1907,0.05,0.05,0.09,0.11,0.02
Cristian Romero\Cristian-Romero,DF,Atalanta,it Serie A,22,31,2545,0.07,0.07,0.14,0.06,0.04
Oriol Romeu\Oriol-Romeu,MF,Southampton,eng Premier League,28,21,1763,0.05,0.05,0.10,0.02,0.06
Cristiano Ronaldo\Cristiano-Ronaldo,FW,Juventus,it Serie A,35,33,2802,0.93,0.06,1.00,0.85,0.09
Facundo Roncaglia\Facundo-Roncaglia,DF,Osasuna,es La Liga,33,17,1232,0.07,0.07,0.15,0.04,0.01
Valentin Rongier\Valentin-Rongier,MF,Marseille,fr Ligue 1,25,26,1887,0.05,0.10,0.14,0.05,0.05
Marten de Roon\Marten-de-Roon,MF,Atalanta,it Serie A,29,35,3021,0.03,0.03,0.06,0.02,0.06
Jérôme Roussillon\Jerome-Roussillon,DF,Wolfsburg,de Bundesliga,27,20,1229,0.00,0.15,0.15,0.04,0.11
Nolan Roux\Nolan-Roux,FW,Nîmes,fr Ligue 1,32,19,651,0.00,0.00,0.00,0.07,0.04
Nicolò Rovella\Nicolo-Rovella,MF,Genoa,it Serie A,18,20,1187,0.00,0.15,0.15,0.05,0.11
Amir Rrahmani\Amir-Rrahmani,DF,Napoli,it Serie A,26,16,1094,0.08,0.00,0.08,0.05,0.00
Rubén\Ruben,GKMF,Osasuna,es La Liga,36,3,187,0.00,0.00,0.00,0.00,0.00
Waldo Rubio\Waldo-Rubio,FWMF,Valladolid,es La Liga,24,10,375,0.24,0.00,0.24,0.24,0.02
John Ruddy\John-Ruddy,GK,Wolves,eng Premier League,33,2,91,0.00,0.00,0.00,0.00,0.00
Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,eng Premier League,27,19,1710,0.05,0.00,0.05,0.06,0.02
Sebastian Rudy\Sebastian-Rudy,MFDF,Hoffenheim,de Bundesliga,30,25,1678,0.05,0.16,0.21,0.03,0.12
Sebastian Rudy\Sebastian-Rudy,DF,Schalke 04,de Bundesliga,30,2,180,0.00,0.00,0.00,0.00,0.05
Kevin Rüegg\Kevin-Ruegg,DFMF,Hellas Verona,it Serie A,21,7,205,0.00,0.00,0.00,0.00,0.00
Daniele Rugani\Daniele-Rugani,DF,Rennes,fr Ligue 1,26,1,90,0.00,0.00,0.00,0.00,0.00
Daniele Rugani\Daniele-Rugani,DF,Cagliari,it Serie A,26,16,1001,0.09,0.09,0.18,0.04,0.04
Matteo Ruggeri\Matteo-Ruggeri,DF,Atalanta,it Serie A,18,6,208,0.00,0.00,0.00,0.00,0.00
Mário Rui\Mario-Rui,DF,Napoli,it Serie A,29,27,1669,0.00,0.11,0.11,0.04,0.11
Aitor Ruibal\Aitor-Ruibal,FWMF,Betis,es La Liga,24,28,1593,0.11,0.11,0.23,0.15,0.14
Fabián Ruiz Peña\Fabian-Ruiz-Pena,MF,Napoli,it Serie A,24,33,2569,0.11,0.04,0.14,0.09,0.10
Isma Ruiz\Isma-Ruiz,MF,Granada,es La Liga,19,1,67,0.00,0.00,0.00,0.00,0.00
Kays Ruiz\Kays-Ruiz,FWMF,Paris S-G,fr Ligue 1,17,7,186,0.00,0.00,0.00,0.05,0.00
Víctor Ruiz\Victor-Ruiz,DF,Betis,es La Liga,31,27,2157,0.08,0.00,0.08,0.05,0.00
Gerónimo Rulli\Geronimo-Rulli,GK,Villarreal,es La Liga,28,2,180,0.00,0.00,0.00,0.00,0.00
Georginio Rutter\Georginio-Rutter,FW,Hoffenheim,de Bundesliga,18,9,241,0.37,0.00,0.37,0.15,0.07
Georginio Rutter\Georginio-Rutter,FWMF,Rennes,fr Ligue 1,18,4,44,0.00,0.00,0.00,0.00,0.20
Mathew Ryan\Mathew-Ryan,GK,Arsenal,eng Premier League,28,3,270,0.00,0.00,0.00,0.00,0.00
Mathew Ryan\Mathew-Ryan,GK,Brighton,eng Premier League,28,11,990,0.00,0.00,0.00,0.00,0.00
Julian Ryerson\Julian-Ryerson,DFMF,Union Berlin,de Bundesliga,22,24,1069,0.00,0.17,0.17,0.02,0.11
Frederik Rønnow\Frederik-Ronnow,GK,Schalke 04,de Bundesliga,27,11,945,0.00,0.00,0.00,0.00,0.00
João Victor Santos Sá\Joao-Victor-Santos-Sa,FW,Wolfsburg,de Bundesliga,26,21,469,0.19,0.19,0.38,0.10,0.19
Roli Pereira de Sa\Roli-Pereira-de-Sa,MFFW,Nantes,fr Ligue 1,23,6,56,0.00,0.00,0.00,0.33,0.00
Idriss Saadi\Idriss-Saadi,FWMF,Strasbourg,fr Ligue 1,28,7,125,0.00,0.00,0.00,0.93,0.14
Youssouf Sabaly\Youssouf-Sabaly,DF,Bordeaux,fr Ligue 1,27,33,2909,0.03,0.06,0.09,0.02,0.05
Mathys Saban\Mathys-Saban,FW,Saint-Étienne,fr Ligue 1,18,1,13,0.00,0.00,0.00,0.00,0.00
Marcel Sabitzer\Marcel-Sabitzer,MF,RB Leipzig,de Bundesliga,26,27,2026,0.36,0.13,0.49,0.32,0.10
Alexis Saelemaekers\Alexis-Saelemaekers,FW,Milan,it Serie A,21,32,2016,0.09,0.18,0.27,0.13,0.13
Modibo Sagnan\Modibo-Sagnan,DFMF,Real Sociedad,es La Liga,21,16,622,0.00,0.00,0.00,0.09,0.03
Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,eng Premier League,23,25,1560,0.17,0.23,0.40,0.15,0.19
Borja Sainz\Borja-Sainz,MFFW,Alavés,es La Liga,19,21,453,0.20,0.00,0.20,0.22,0.08
Romain Saïss\Romain-Saiss,DF,Wolves,eng Premier League,30,27,2407,0.11,0.00,0.11,0.13,0.01
Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,eng Premier League,18,32,2553,0.18,0.11,0.28,0.24,0.17
Hiroki Sakai\Hiroki-Sakai,DF,Marseille,fr Ligue 1,30,29,2385,0.00,0.04,0.04,0.01,0.05
Moïse Sakava\Moise-Sakava,MF,Reims,fr Ligue 1,19,1,8,0.00,0.00,0.00,0.00,0.00
Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,eng Premier League,30,4,276,0.00,0.00,0.00,0.00,0.00
Jacopo Sala\Jacopo-Sala,DF,Spezia,it Serie A,28,6,375,0.00,0.00,0.00,0.00,0.12
Mohamed Salah\Mohamed-Salah,FW,Liverpool,eng Premier League,28,37,3078,0.64,0.15,0.79,0.61,0.18
Eddy Salcedo\Eddy-Salcedo,FWMF,Hellas Verona,it Serie A,18,21,755,0.24,0.00,0.24,0.33,0.06
William Saliba\William-Saliba,DF,Nice,fr Ligue 1,19,20,1800,0.05,0.00,0.05,0.03,0.00
Romain Salin\Romain-Salin,GK,Rennes,fr Ligue 1,36,15,1350,0.00,0.00,0.00,0.00,0.00
Mohammed Salisu\Mohammed-Salisu,DF,Southampton,eng Premier League,21,12,844,0.00,0.00,0.00,0.04,0.00
Roland Sallai\Roland-Sallai,MFFW,Freiburg,de Bundesliga,23,28,1661,0.43,0.16,0.60,0.37,0.07
Salvi\Salvi,MFFW,Cádiz,es La Liga,29,28,1933,0.09,0.00,0.09,0.09,0.06
Lazar Samardzic\Lazar-Samardzic,MFFW,RB Leipzig,de Bundesliga,18,7,200,0.00,0.45,0.45,0.00,0.23
Diadie Samassékou\Diadie-Samassekou,MF,Hoffenheim,de Bundesliga,24,31,2563,0.00,0.07,0.07,0.02,0.04
Mama Samba Baldé\Mama-Samba-Balde,FW,Dijon,fr Ligue 1,24,29,2161,0.29,0.00,0.29,0.31,0.03
Junior Sambia\Junior-Sambia,DFMF,Montpellier,fr Ligue 1,23,36,2448,0.04,0.22,0.26,0.04,0.09
Frédéric Sammaritano\Frederic-Sammaritano,FWMF,Dijon,fr Ligue 1,34,30,1130,0.00,0.16,0.16,0.10,0.17
Fede San Emeterio\Fede-San-Emeterio,MF,Valladolid,es La Liga,23,24,1460,0.00,0.00,0.00,0.01,0.01
Antonio Sanabria\Antonio-Sanabria,FW,Torino,it Serie A,24,14,978,0.46,0.09,0.55,0.28,0.08
Antonio Sanabria\Antonio-Sanabria,FW,Betis,es La Liga,24,16,932,0.29,0.00,0.29,0.41,0.03
Oihan Sancet\Oihan-Sancet,FWMF,Athletic Club,es La Liga,20,24,1035,0.17,0.17,0.35,0.25,0.10
Renato Sanches\Renato-Sanches,MF,Lille,fr Ligue 1,22,23,1270,0.07,0.21,0.28,0.16,0.11
Juan Sánchez Miño\Juan-Sanchez-Mino,DFMF,Elche,es La Liga,30,9,495,0.00,0.00,0.00,0.00,0.00
Alexis Sánchez\Alexis-Sanchez,FW,Inter,it Serie A,31,30,1146,0.55,0.39,0.94,0.44,0.46
Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,eng Premier League,24,18,1486,0.00,0.00,0.00,0.07,0.00
Germán Sánchez\German-Sanchez,DF,Granada,es La Liga,33,34,2638,0.10,0.03,0.14,0.06,0.00
Javi Sánchez\Javi-Sanchez,DF,Valladolid,es La Liga,23,16,921,0.00,0.00,0.00,0.02,0.01
Manuel Sánchez\Manuel-Sanchez,DF,Osasuna,es La Liga,19,16,976,0.00,0.37,0.37,0.01,0.08
Manuel Sánchez\Manuel-Sanchez,DF,Atlético Madrid,es La Liga,19,1,49,0.00,2.00,1.84,0.00,0.60
Robert Sánchez\Robert-Sanchez,GK,Brighton,eng Premier League,22,27,2430,0.00,0.00,0.00,0.00,0.00
Jadon Sancho\Jadon-Sancho,FWMF,Dortmund,de Bundesliga,20,26,2062,0.35,0.48,0.83,0.32,0.30
Alex Sandro\Alex-Sandro,DF,Juventus,it Serie A,29,26,1858,0.10,0.05,0.15,0.06,0.08
Leroy Sané\Leroy-Sane,FWMF,Bayern Munich,de Bundesliga,24,32,1805,0.30,0.45,0.75,0.28,0.32
Salif Sané\Salif-Sane,DF,Schalke 04,de Bundesliga,29,14,1071,0.00,0.00,0.00,0.03,0.03
Oier Sanjurjo\Oier-Sanjurjo,MF,Osasuna,es La Liga,34,32,2084,0.00,0.09,0.09,0.04,0.08
Mohamed Sankoh\Mohamed-Sankoh,FW,Stuttgart,de Bundesliga,16,1,17,0.00,0.00,0.00,0.00,0.00
Siriki Sanogo\Siriki-Sanogo,MF,Benevento,it Serie A,18,1,10,0.00,0.00,0.00,0.00,0.00
Morgan Sanson\Morgan-Sanson,MF,Marseille,fr Ligue 1,25,12,826,0.22,0.33,0.54,0.13,0.23
Morgan Sanson\Morgan-Sanson,MF,Aston Villa,eng Premier League,25,9,294,0.00,0.00,0.00,0.00,0.03
Nicola Sansone\Nicola-Sansone,FWMF,Bologna,it Serie A,28,26,1169,0.15,0.15,0.31,0.29,0.18
Baptiste Santamaria\Baptiste-Santamaria,MF,Angers,fr Ligue 1,25,3,270,0.00,0.00,0.00,0.10,0.03
Baptiste Santamaria\Baptiste-Santamaria,MF,Freiburg,de Bundesliga,25,30,2209,0.04,0.08,0.12,0.08,0.06
Federico Santander\Federico-Santander,FW,Bologna,it Serie A,29,4,37,0.00,2.50,2.43,0.50,0.75
Davide Santon\Davide-Santon,DF,Roma,it Serie A,29,10,586,0.00,0.15,0.15,0.03,0.12
Samir Santos\Samir-Santos,DF,Udinese,it Serie A,25,30,2216,0.04,0.00,0.04,0.05,0.02
Riccardo Saponara\Riccardo-Saponara,FWMF,Fiorentina,it Serie A,28,2,52,0.00,0.00,0.00,0.00,0.17
Riccardo Saponara\Riccardo-Saponara,FWMF,Spezia,it Serie A,28,9,389,0.47,0.00,0.46,0.23,0.14
Ivan Šaponjić\Ivan-Saponjic,FW,Cádiz,es La Liga,22,9,388,0.23,0.00,0.23,0.40,0.00
Pablo Sarabia\Pablo-Sarabia,FWMF,Paris S-G,fr Ligue 1,28,27,1320,0.41,0.27,0.68,0.33,0.37
Josh Sargent\Josh-Sargent,FWMF,Werder Bremen,de Bundesliga,20,32,2506,0.18,0.07,0.25,0.19,0.14
Bouna Sarr\Bouna-Sarr,DF,Bayern Munich,de Bundesliga,28,8,452,0.00,0.20,0.20,0.02,0.02
Bouna Sarr\Bouna-Sarr,DF,Marseille,fr Ligue 1,28,2,76,0.00,0.00,0.00,0.00,0.00
Sidy Sarr\Sidy-Sarr,MF,Nîmes,fr Ligue 1,24,9,463,0.00,0.00,0.00,0.08,0.10
Marco Sau\Marco-Sau,MFFW,Benevento,it Serie A,32,24,785,0.46,0.23,0.69,0.28,0.15
Téji Savanier\Teji-Savanier,MF,Montpellier,fr Ligue 1,28,27,2165,0.21,0.21,0.42,0.24,0.24
Stefan Savić\Stefan-Savic,DF,Atlético Madrid,es La Liga,29,33,2953,0.03,0.00,0.03,0.03,0.01
Romaine Sawyers\Romaine-Sawyers,MF,West Brom,eng Premier League,28,19,1487,0.00,0.00,0.00,0.01,0.02
Gianluca Scamacca\Gianluca-Scamacca,FW,Genoa,it Serie A,21,26,1352,0.53,0.13,0.67,0.49,0.11
Dane Scarlett\Dane-Scarlett,FW,Tottenham,eng Premier League,16,1,1,0,0,0.00,0.0,0.0
Fabian Schär\Fabian-Schar,DF,Newcastle Utd,eng Premier League,28,18,1246,0.07,0.00,0.07,0.09,0.00
Aurélien Scheidler\Aurelien-Scheidler,FW,Dijon,fr Ligue 1,22,10,342,0.26,0.00,0.26,0.13,0.08
Nicolás Schiappacasse\Nicolas-Schiappacasse,MF,Sassuolo,it Serie A,21,1,15,0.00,0.00,0.00,0.00,0.00
Pasquale Schiattarella\Pasquale-Schiattarella,MF,Benevento,it Serie A,33,29,2247,0.04,0.04,0.08,0.04,0.11
Patrik Schick\Patrik-Schick,FW,Leverkusen,de Bundesliga,24,29,1866,0.43,0.05,0.48,0.47,0.11
Sven Schipplock\Sven-Schipplock,FWMF,Arminia,de Bundesliga,31,32,744,0.12,0.00,0.12,0.13,0.11
Xaver Schlager\Xaver-Schlager,MF,Wolfsburg,de Bundesliga,22,32,2626,0.07,0.14,0.21,0.10,0.11
Keven Schlotterbeck\Keven-Schlotterbeck,DF,Freiburg,de Bundesliga,23,24,1654,0.00,0.00,0.00,0.03,0.01
Nico Schlotterbeck\Nico-Schlotterbeck,DF,Union Berlin,de Bundesliga,20,16,1285,0.07,0.00,0.07,0.09,0.01
Jeffrey Schlupp\Jeffrey-Schlupp,MF,Crystal Palace,eng Premier League,27,27,1428,0.13,0.19,0.32,0.10,0.11
Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,eng Premier League,33,38,3420,0.00,0.00,0.00,0.00,0.00
Jonathan Schmid\Jonathan-Schmid,DFMF,Freiburg,de Bundesliga,30,31,2393,0.08,0.08,0.15,0.05,0.08
Romano Schmid\Romano-Schmid,FWMF,Werder Bremen,de Bundesliga,20,22,1177,0.00,0.23,0.23,0.05,0.08
Benno Schmitz\Benno-Schmitz,DF,Köln,de Bundesliga,25,12,416,0.00,0.22,0.22,0.07,0.09
Morgan Schneiderlin\Morgan-Schneiderlin,MF,Nice,fr Ligue 1,30,28,2197,0.00,0.04,0.04,0.03,0.05
Alessandro Schöpf\Alessandro-Schopf,FWMF,Schalke 04,de Bundesliga,26,19,942,0.00,0.00,0.00,0.04,0.04
Jerdy Schouten\Jerdy-Schouten,MF,Bologna,it Serie A,23,34,2512,0.04,0.04,0.07,0.01,0.10
Nico Schulz\Nico-Schulz,DF,Dortmund,de Bundesliga,27,13,610,0.00,0.00,0.00,0.01,0.04
Alexander Schwolow\Alexander-Schwolow,GK,Hertha BSC,de Bundesliga,28,26,2340,0.00,0.00,0.00,0.00,0.00
Christopher Scott\Christopher-Scott,FW,Bayern Munich,de Bundesliga,18,2,34,0.00,0.00,0.00,0.00,0.00
Matteo Scozzarella\Matteo-Scozzarella,MF,Parma,it Serie A,32,3,153,0.00,0.00,0.00,0.00,0.18
Simone Scuffet\Simone-Scuffet,GK,Udinese,it Serie A,24,1,90,0.00,0.00,0.00,0.00,0.00
Jacopo Segre\Jacopo-Segre,MF,Torino,it Serie A,23,9,191,0.00,0.00,0.00,0.19,0.00
Davie Selke\Davie-Selke,FW,Werder Bremen,de Bundesliga,25,23,813,0.33,0.11,0.44,0.40,0.08
Malik Sellouki\Malik-Sellouki,FWMF,Nice,fr Ligue 1,20,4,66,1.43,0.00,1.36,0.43,0.00
Matz Sels\Matz-Sels,GK,Strasbourg,fr Ligue 1,28,6,540,0.00,0.00,0.00,0.00,0.00
Nélson Semedo\Nelson-Semedo,DF,Wolves,eng Premier League,26,34,2983,0.03,0.03,0.06,0.06,0.03
Léo Sena\Leo-Sena,MF,Spezia,it Serie A,24,16,885,0.00,0.00,0.00,0.01,0.01
Stefano Sensi\Stefano-Sensi,MF,Inter,it Serie A,24,18,603,0.00,0.00,0.00,0.16,0.15
Jaime Seoane\Jaime-Seoane,MF,Huesca,es La Liga,23,29,2064,0.04,0.04,0.09,0.06,0.05
