,,,,,,Tack,Pres,Bloc,,,
Player,Pos,Squad,Comp,Age,90s,Tkl,Press,Sh,Int,Clr,Err
,,,,,,,,,,,
Gio Reyna\Gio-Reyna,FWMF,Dortmund,de Bundesliga,17,22.0,1.36,16.4,0.05,0.68,0.50,0.00
Baptiste Reynet\Baptiste-Reynet,GK,Nîmes,fr Ligue 1,29,38.0,0.00,0.21,0.00,0.00,0.08,0.00
Bryan Reynolds\Bryan-Reynolds,DF,Roma,it Serie A,19,3.1,1.29,24.5,0.00,1.61,0.97,0.00
Franck Ribéry\Franck-Ribery,FW,Fiorentina,it Serie A,37,23.9,1.05,19.9,0.08,0.33,0.00,0.00
Ricard\Ricard,DF,Atlético Madrid,es La Liga,20,0.3,3.33,23.3,0.00,0.00,3.33,0.00
Federico Ricci\Federico-Ricci,FW,Sassuolo,it Serie A,26,0.0,0,2,0,0,0,0
Giacomo Ricci\Giacomo-Ricci,DF,Parma,it Serie A,23,0.7,2.86,8.57,2.86,1.43,4.29,0.00
Matteo Ricci\Matteo-Ricci,MF,Spezia,it Serie A,26,24.8,1.77,13.1,0.16,1.21,0.77,0.00
Declan Rice\Declan-Rice,MF,West Ham,eng Premier League,21,32.0,2.41,15.5,0.41,2.13,1.44,0.03
Chris Richards\Chris-Richards,DF,Hoffenheim,de Bundesliga,20,10.5,2.29,12.8,0.48,1.24,6.86,0.10
Chris Richards\Chris-Richards,DF,Bayern Munich,de Bundesliga,20,1.0,1.00,10.0,0.00,0.00,3.00,0.00
Lewis Richardson\Lewis-Richardson,FWMF,Burnley,eng Premier League,17,0.0,0,3,0,0,0,0
Richarlison\Richarlison,FW,Everton,eng Premier League,23,31.8,1.54,18.1,0.09,0.63,1.19,0.00
Marco Richter\Marco-Richter,FWMF,Augsburg,de Bundesliga,22,15.7,1.21,16.2,0.00,0.57,0.64,0.00
Mikel Rico\Mikel-Rico,MF,Huesca,es La Liga,35,24.3,1.03,15.5,0.12,0.82,0.86,0.00
Sergio Rico\Sergio-Rico,GK,Paris S-G,fr Ligue 1,26,9.0,0.00,0.00,0.00,0.00,0.00,0.00
Jaïro Riedewald\Jairo-Riedewald,MF,Crystal Palace,eng Premier League,23,20.2,1.63,14.7,0.35,1.19,1.44,0.00
Emiliano Rigoni\Emiliano-Rigoni,MFFW,Elche,es La Liga,27,12.7,1.10,11.8,0.08,0.39,0.79,0.00
Tomás Rincón\Tomas-Rincon,MF,Torino,it Serie A,32,31.6,2.47,16.1,0.22,0.95,1.71,0.00
Luis Rioja\Luis-Rioja,MFDF,Alavés,es La Liga,26,23.2,1.08,13.8,0.04,1.34,1.68,0.00
Renaud Ripart\Renaud-Ripart,MFFW,Nîmes,fr Ligue 1,27,33.9,1.45,21.6,0.35,1.12,1.65,0.00
Andrea Rispoli\Andrea-Rispoli,DF,Crotone,it Serie A,31,7.2,0.83,9.86,0.56,0.56,2.22,0.28
Mihailo Ristić\Mihailo-Ristic,DF,Montpellier,fr Ligue 1,24,24.8,2.42,11.7,0.36,1.17,2.58,0.00
Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,eng Premier League,30,15.0,1.13,10.1,0.13,1.53,2.87,0.00
Maxence Rivera\Maxence-Rivera,MFFW,Saint-Étienne,fr Ligue 1,18,2.7,4.81,34.8,0.00,1.48,0.00,0.00
Emmanuel Rivière\Emmanuel-Riviere,FWMF,Crotone,it Serie A,30,7.1,0.56,14.1,0.28,0.56,0.00,0.00
Rober\Rober,DFMF,Levante,es La Liga,25,15.8,1.46,11.9,1.01,2.47,5.44,0.13
Roberto\Roberto,GK,Valladolid,es La Liga,34,13.0,0.00,0.00,0.00,0.00,0.00,0.00
Sergi Roberto\Sergi-Roberto,DFMF,Barcelona,es La Liga,28,10.5,1.14,8.29,0.67,0.76,1.24,0.00
Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,eng Premier League,21,14.9,1.21,17.5,0.20,0.60,0.94,0.07
Andrew Robertson\Andrew-Robertson,DF,Liverpool,eng Premier League,26,37.6,1.41,9.39,0.27,0.90,2.42,0.03
Antonee Robinson\Antonee-Robinson,DF,Fulham,eng Premier League,22,24.0,2.00,10.4,0.21,1.83,3.46,0.00
Callum Robinson\Callum-Robinson,FWMF,West Brom,eng Premier League,25,17.3,0.81,15.0,0.00,0.81,0.52,0.00
Jack Robinson\Jack-Robinson,DF,Sheffield Utd,eng Premier League,26,9.7,1.65,8.14,0.52,1.75,6.19,0.00
Joel Robles\Joel-Robles,GK,Betis,es La Liga,30,18.0,0.00,0.22,0.00,0.00,0.06,0.00
Hal Robson-Kanu\Hal-Robson-Kanu,FWMF,West Brom,eng Premier League,31,6.2,0.48,14.0,0.00,0.65,0.65,0.00
Marc Roca\Marc-Roca,MF,Bayern Munich,de Bundesliga,23,2.0,2.50,17.5,0.50,0.50,1.50,0.00
Christopher Rocchia\Christopher-Rocchia,DF,Marseille,fr Ligue 1,22,0.2,5.00,30.0,0.00,0.00,5.00,0.00
Rubén Rochina\Ruben-Rochina,MF,Levante,es La Liga,29,15.6,2.69,21.6,0.13,1.41,0.90,0.00
Marek Rodák\Marek-Rodak,GK,Fulham,eng Premier League,23,2.0,0.00,1.00,0.00,0.00,0.00,0.00
Sebastian Rode\Sebastian-Rode,MF,Eint Frankfurt,de Bundesliga,29,18.1,2.87,24.0,0.17,2.38,1.16,0.00
Joe Rodon\Joe-Rodon,DF,Tottenham,eng Premier League,22,8.1,1.85,9.63,1.11,1.60,6.30,0.12
Rodri\Rodri,MF,Manchester City,eng Premier League,24,30.5,2.72,16.9,0.43,1.31,2.39,0.07
Rodrigo\Rodrigo,MFFW,Leeds United,eng Premier League,29,14.3,1.40,18.1,0.00,0.63,1.12,0.00
Rodrigo\Rodrigo,FWMF,Betis,es La Liga,20,6.0,0.67,11.5,0.17,0.33,0.33,0.00
Kévin Rodrigues\Kevin-Rodrigues,MFDF,Eibar,es La Liga,26,12.2,1.48,15.8,0.08,1.15,1.56,0.00
Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,MFFW,Sevilla,es La Liga,22,5.7,2.98,15.6,0.00,1.40,0.70,0.00
Ángel Rodríguez\Angel-Rodriguez,FWMF,Getafe,es La Liga,33,15.3,0.33,16.2,0.13,0.13,0.46,0.00
Guido Rodríguez\Guido-Rodriguez,MF,Betis,es La Liga,26,31.8,3.30,22.2,0.44,1.82,2.14,0.06
James Rodríguez\James-Rodriguez,FWMF,Everton,eng Premier League,29,19.6,1.02,12.8,0.00,0.82,0.05,0.00
Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,eng Premier League,31,14.1,1.99,21.8,0.35,0.28,0.43,0.00
Miguel Rodríguez\Miguel-Rodriguez,FWMF,Celta Vigo,es La Liga,17,0.3,10.0,26.7,0.00,0.00,0.00,0.00
Ricardo Rodríguez\Ricardo-Rodriguez,DF,Torino,it Serie A,27,13.8,2.10,10.1,0.36,1.74,2.61,0.07
Víctor Rodríguez\Victor-Rodriguez,MF,Elche,es La Liga,31,4.7,0.85,19.8,0.21,1.91,1.49,0.00
Rodrygo\Rodrygo,FW,Real Madrid,es La Liga,19,10.9,1.38,20.2,0.00,0.64,0.46,0.00
Marko Rog\Marko-Rog,MF,Cagliari,it Serie A,25,12.9,3.02,24.7,0.54,0.93,0.85,0.00
Rogério\Rogerio,DF,Sassuolo,it Serie A,22,20.9,1.34,10.5,0.24,1.20,2.39,0.00
Luis Rojas\Luis-Rojas,MFFW,Crotone,it Serie A,18,1.2,0.00,21.7,0.00,3.33,0.83,0.00
Alessio Romagnoli\Alessio-Romagnoli,DF,Milan,it Serie A,25,21.2,0.85,8.02,1.27,0.66,4.81,0.05
Cristian Romero\Cristian-Romero,DF,Atalanta,it Serie A,22,28.3,2.65,17.2,0.49,2.86,5.23,0.07
Oriol Romeu\Oriol-Romeu,MF,Southampton,eng Premier League,28,19.6,3.47,17.6,0.31,1.38,0.97,0.00
Cristiano Ronaldo\Cristiano-Ronaldo,FW,Juventus,it Serie A,35,31.1,0.29,7.23,0.16,0.26,0.51,0.00
Facundo Roncaglia\Facundo-Roncaglia,DF,Osasuna,es La Liga,33,13.7,1.61,11.2,0.36,0.88,2.99,0.00
Valentin Rongier\Valentin-Rongier,MF,Marseille,fr Ligue 1,25,21.0,4.86,25.2,0.10,1.62,1.10,0.00
Marten de Roon\Marten-de-Roon,MF,Atalanta,it Serie A,29,33.6,2.83,20.0,0.21,2.05,2.32,0.00
Jérôme Roussillon\Jerome-Roussillon,DF,Wolfsburg,de Bundesliga,27,13.7,1.75,13.9,0.07,0.95,2.63,0.00
Nolan Roux\Nolan-Roux,FW,Nîmes,fr Ligue 1,32,7.2,0.97,16.8,0.00,0.28,0.28,0.00
Nicolò Rovella\Nicolo-Rovella,MF,Genoa,it Serie A,18,13.2,2.12,23.2,0.08,1.36,1.97,0.00
Amir Rrahmani\Amir-Rrahmani,DF,Napoli,it Serie A,26,12.2,1.31,11.6,1.07,0.66,4.43,0.08
Rubén\Ruben,GKMF,Osasuna,es La Liga,36,2.1,0.00,1.43,0.00,0.00,0.00,0.00
Waldo Rubio\Waldo-Rubio,FWMF,Valladolid,es La Liga,24,4.2,1.67,25.0,0.00,0.24,0.95,0.00
John Ruddy\John-Ruddy,GK,Wolves,eng Premier League,33,1.0,0.00,0.00,0.00,0.00,0.00,0.00
Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,eng Premier League,27,19.0,1.58,8.74,0.58,0.79,4.68,0.00
Sebastian Rudy\Sebastian-Rudy,MFDF,Hoffenheim,de Bundesliga,30,18.6,2.80,19.6,0.22,0.43,0.86,0.05
Sebastian Rudy\Sebastian-Rudy,DF,Schalke 04,de Bundesliga,30,2.0,2.00,15.5,2.00,0.00,3.00,0.00
Kevin Rüegg\Kevin-Ruegg,DFMF,Hellas Verona,it Serie A,21,2.3,1.74,13.0,0.43,0.43,1.74,0.00
Daniele Rugani\Daniele-Rugani,DF,Rennes,fr Ligue 1,26,1.0,2.00,6.00,1.00,0.00,1.00,0.00
Daniele Rugani\Daniele-Rugani,DF,Cagliari,it Serie A,26,11.1,2.43,15.4,0.99,1.35,5.05,0.00
Matteo Ruggeri\Matteo-Ruggeri,DF,Atalanta,it Serie A,18,2.3,1.74,7.83,0.00,1.74,1.74,0.00
Mário Rui\Mario-Rui,DF,Napoli,it Serie A,29,18.5,1.57,9.19,0.27,1.57,1.73,0.00
Aitor Ruibal\Aitor-Ruibal,FWMF,Betis,es La Liga,24,17.7,2.15,17.5,0.00,1.19,0.85,0.00
Fabián Ruiz Peña\Fabian-Ruiz-Pena,MF,Napoli,it Serie A,24,28.5,1.72,16.4,0.11,1.40,1.44,0.00
Isma Ruiz\Isma-Ruiz,MF,Granada,es La Liga,19,0.7,2.86,17.1,0.00,0.00,2.86,0.00
Kays Ruiz\Kays-Ruiz,FWMF,Paris S-G,fr Ligue 1,17,2.1,0.48,21.4,0.00,0.48,0.95,0.00
Víctor Ruiz\Victor-Ruiz,DF,Betis,es La Liga,31,24.0,0.71,5.88,0.50,1.92,5.75,0.00
Gerónimo Rulli\Geronimo-Rulli,GK,Villarreal,es La Liga,28,2.0,0.00,0.00,0.00,0.00,0.00,0.00
Georginio Rutter\Georginio-Rutter,FW,Hoffenheim,de Bundesliga,18,2.7,1.85,21.9,0.00,0.37,1.11,0.00
Georginio Rutter\Georginio-Rutter,FWMF,Rennes,fr Ligue 1,18,0.5,4.00,36.0,0.00,2.00,0.00,0.00
Mathew Ryan\Mathew-Ryan,GK,Arsenal,eng Premier League,28,3.0,0.00,0.00,0.00,0.00,0.00,0.00
Mathew Ryan\Mathew-Ryan,GK,Brighton,eng Premier League,28,11.0,0.00,0.18,0.00,0.00,0.09,0.00
Julian Ryerson\Julian-Ryerson,DFMF,Union Berlin,de Bundesliga,22,11.9,1.85,15.5,0.17,1.09,1.85,0.08
Frederik Rønnow\Frederik-Ronnow,GK,Schalke 04,de Bundesliga,27,10.5,0.00,0.00,0.00,0.00,0.00,0.00
João Victor Santos Sá\Joao-Victor-Santos-Sa,FW,Wolfsburg,de Bundesliga,26,5.2,3.27,25.0,0.00,1.35,0.38,0.00
Roli Pereira de Sa\Roli-Pereira-de-Sa,MFFW,Nantes,fr Ligue 1,23,0.6,5.00,30.0,0.00,1.67,0.00,0.00
Idriss Saadi\Idriss-Saadi,FWMF,Strasbourg,fr Ligue 1,28,1.4,0.71,16.4,0.00,0.00,0.00,0.00
Youssouf Sabaly\Youssouf-Sabaly,DF,Bordeaux,fr Ligue 1,27,32.3,1.80,10.0,0.25,1.55,1.39,0.03
Mathys Saban\Mathys-Saban,FW,Saint-Étienne,fr Ligue 1,18,0.1,0.00,20.0,0.00,0.00,0.00,0.00
Marcel Sabitzer\Marcel-Sabitzer,MF,RB Leipzig,de Bundesliga,26,22.5,1.69,13.5,0.13,1.60,1.24,0.00
Alexis Saelemaekers\Alexis-Saelemaekers,FW,Milan,it Serie A,21,22.4,2.10,23.3,0.04,1.25,0.27,0.00
Modibo Sagnan\Modibo-Sagnan,DFMF,Real Sociedad,es La Liga,21,6.9,1.74,10.3,0.29,1.01,4.64,0.00
Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,eng Premier League,23,17.3,0.87,12.2,0.06,0.52,0.00,0.00
Borja Sainz\Borja-Sainz,MFFW,Alavés,es La Liga,19,5.0,1.80,26.6,0.20,1.00,0.00,0.00
Romain Saïss\Romain-Saiss,DF,Wolves,eng Premier League,30,26.7,1.39,9.70,0.60,1.46,6.18,0.07
Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,eng Premier League,18,28.4,1.20,13.9,0.07,0.95,1.13,0.00
Hiroki Sakai\Hiroki-Sakai,DF,Marseille,fr Ligue 1,30,26.5,3.74,12.3,0.26,1.43,3.02,0.00
Moïse Sakava\Moise-Sakava,MF,Reims,fr Ligue 1,19,0.1,0.00,0.00,0.00,0.00,0.00,0.00
Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,eng Premier League,30,3.1,1.29,4.52,0.65,0.00,4.52,0.32
Jacopo Sala\Jacopo-Sala,DF,Spezia,it Serie A,28,4.2,3.81,14.5,0.48,0.71,1.67,0.00
Mohamed Salah\Mohamed-Salah,FW,Liverpool,eng Premier League,28,34.2,0.76,16.2,0.03,0.26,0.32,0.03
Eddy Salcedo\Eddy-Salcedo,FWMF,Hellas Verona,it Serie A,18,8.4,0.48,11.8,0.12,0.36,1.07,0.00
William Saliba\William-Saliba,DF,Nice,fr Ligue 1,19,20.0,0.60,5.25,0.95,1.70,4.95,0.10
Romain Salin\Romain-Salin,GK,Rennes,fr Ligue 1,36,15.0,0.00,0.33,0.00,0.00,0.07,0.07
Mohammed Salisu\Mohammed-Salisu,DF,Southampton,eng Premier League,21,9.4,3.40,15.9,0.53,2.77,4.04,0.00
Roland Sallai\Roland-Sallai,MFFW,Freiburg,de Bundesliga,23,18.5,1.14,16.6,0.11,0.54,0.59,0.00
Salvi\Salvi,MFFW,Cádiz,es La Liga,29,21.5,0.98,14.7,0.09,0.84,1.44,0.00
Lazar Samardzic\Lazar-Samardzic,MFFW,RB Leipzig,de Bundesliga,18,2.2,3.64,40.0,0.00,2.27,0.45,0.00
Diadie Samassékou\Diadie-Samassekou,MF,Hoffenheim,de Bundesliga,24,28.5,2.63,16.3,0.42,2.39,2.67,0.00
Mama Samba Baldé\Mama-Samba-Balde,FW,Dijon,fr Ligue 1,24,24.0,1.17,15.2,0.08,0.54,0.79,0.00
Junior Sambia\Junior-Sambia,DFMF,Montpellier,fr Ligue 1,23,27.2,1.95,10.6,0.51,1.25,2.24,0.00
Frédéric Sammaritano\Frederic-Sammaritano,FWMF,Dijon,fr Ligue 1,34,12.6,1.11,15.6,0.08,0.63,0.16,0.00
Fede San Emeterio\Fede-San-Emeterio,MF,Valladolid,es La Liga,23,16.2,1.91,19.8,0.56,0.93,2.35,0.00
Antonio Sanabria\Antonio-Sanabria,FW,Torino,it Serie A,24,10.9,0.64,19.6,0.09,0.92,0.64,0.00
Antonio Sanabria\Antonio-Sanabria,FW,Betis,es La Liga,24,10.4,0.67,13.2,0.00,0.19,0.77,0.10
Oihan Sancet\Oihan-Sancet,FWMF,Athletic Club,es La Liga,20,11.5,0.87,20.3,0.00,0.26,0.43,0.00
Renato Sanches\Renato-Sanches,MF,Lille,fr Ligue 1,22,14.1,1.35,16.6,0.14,1.21,0.64,0.00
Juan Sánchez Miño\Juan-Sanchez-Mino,DFMF,Elche,es La Liga,30,5.5,2.00,11.5,0.18,0.73,1.82,0.00
Alexis Sánchez\Alexis-Sanchez,FW,Inter,it Serie A,31,12.7,1.26,20.6,0.08,0.87,0.16,0.00
Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,eng Premier League,24,16.5,2.42,9.39,0.73,0.85,7.45,0.00
Germán Sánchez\German-Sanchez,DF,Granada,es La Liga,33,29.3,0.89,5.70,1.02,0.89,7.47,0.10
Javi Sánchez\Javi-Sanchez,DF,Valladolid,es La Liga,23,10.2,1.86,7.25,0.78,1.27,5.39,0.00
Manuel Sánchez\Manuel-Sanchez,DF,Osasuna,es La Liga,19,10.8,2.50,19.0,0.00,1.02,2.04,0.00
Manuel Sánchez\Manuel-Sanchez,DF,Atlético Madrid,es La Liga,19,0.5,0.00,10.0,4.00,0.00,0.00,0.00
Robert Sánchez\Robert-Sanchez,GK,Brighton,eng Premier League,22,27.0,0.00,0.11,0.00,0.00,0.00,0.00
Jadon Sancho\Jadon-Sancho,FWMF,Dortmund,de Bundesliga,20,22.9,0.70,11.1,0.04,0.61,0.35,0.00
Alex Sandro\Alex-Sandro,DF,Juventus,it Serie A,29,20.6,1.94,9.13,0.24,1.12,2.48,0.00
Leroy Sané\Leroy-Sane,FWMF,Bayern Munich,de Bundesliga,24,20.1,1.54,19.5,0.00,0.60,0.25,0.00
Salif Sané\Salif-Sane,DF,Schalke 04,de Bundesliga,29,11.9,1.34,8.49,1.34,1.51,7.06,0.00
Oier Sanjurjo\Oier-Sanjurjo,MF,Osasuna,es La Liga,34,23.2,2.03,19.1,0.34,1.12,2.46,0.04
Mohamed Sankoh\Mohamed-Sankoh,FW,Stuttgart,de Bundesliga,16,0.2,0.00,45.0,0.00,5.00,0.00,0.00
Siriki Sanogo\Siriki-Sanogo,MF,Benevento,it Serie A,18,0.1,0.00,10.0,0.00,0.00,0.00,0.00
Morgan Sanson\Morgan-Sanson,MF,Marseille,fr Ligue 1,25,9.2,2.93,27.5,0.00,1.30,0.54,0.00
Morgan Sanson\Morgan-Sanson,MF,Aston Villa,eng Premier League,25,3.3,1.82,31.2,0.00,2.12,1.21,0.00
Nicola Sansone\Nicola-Sansone,FWMF,Bologna,it Serie A,28,13.0,1.92,19.5,0.15,0.69,0.85,0.08
Baptiste Santamaria\Baptiste-Santamaria,MF,Angers,fr Ligue 1,25,3.0,3.33,17.3,0.00,0.67,3.00,0.00
Baptiste Santamaria\Baptiste-Santamaria,MF,Freiburg,de Bundesliga,25,24.5,2.61,20.9,0.33,2.00,1.51,0.00
Federico Santander\Federico-Santander,FW,Bologna,it Serie A,29,0.4,0.00,20.0,0.00,0.00,0.00,0.00
Davide Santon\Davide-Santon,DF,Roma,it Serie A,29,6.5,1.23,12.5,0.15,0.92,1.69,0.00
Samir Santos\Samir-Santos,DF,Udinese,it Serie A,25,24.6,2.15,9.55,0.89,1.63,3.25,0.04
Riccardo Saponara\Riccardo-Saponara,FWMF,Fiorentina,it Serie A,28,0.6,1.67,16.7,0.00,0.00,0.00,0.00
Riccardo Saponara\Riccardo-Saponara,FWMF,Spezia,it Serie A,28,4.3,0.93,6.51,0.00,0.70,0.47,0.00
Ivan Šaponjić\Ivan-Saponjic,FW,Cádiz,es La Liga,22,4.3,0.00,18.6,0.00,0.70,0.70,0.00
Pablo Sarabia\Pablo-Sarabia,FWMF,Paris S-G,fr Ligue 1,28,14.7,1.36,15.2,0.07,0.27,0.54,0.00
Josh Sargent\Josh-Sargent,FWMF,Werder Bremen,de Bundesliga,20,27.8,1.29,19.7,0.22,0.72,1.26,0.00
Bouna Sarr\Bouna-Sarr,DF,Bayern Munich,de Bundesliga,28,5.0,2.80,14.0,0.00,0.80,2.80,0.20
Bouna Sarr\Bouna-Sarr,DF,Marseille,fr Ligue 1,28,0.8,2.50,16.3,1.25,1.25,2.50,0.00
Sidy Sarr\Sidy-Sarr,MF,Nîmes,fr Ligue 1,24,5.1,1.96,13.9,0.20,0.78,2.35,0.00
Marco Sau\Marco-Sau,MFFW,Benevento,it Serie A,32,8.7,0.69,14.5,0.00,0.92,0.34,0.00
Téji Savanier\Teji-Savanier,MF,Montpellier,fr Ligue 1,28,24.1,2.53,19.1,0.37,1.66,1.00,0.00
Stefan Savić\Stefan-Savic,DF,Atlético Madrid,es La Liga,29,32.8,1.46,6.86,0.55,1.07,4.54,0.00
Romaine Sawyers\Romaine-Sawyers,MF,West Brom,eng Premier League,28,16.5,1.88,20.1,0.12,1.33,0.91,0.06
Gianluca Scamacca\Gianluca-Scamacca,FW,Genoa,it Serie A,21,15.0,1.33,15.3,0.27,0.53,1.00,0.00
Dane Scarlett\Dane-Scarlett,FW,Tottenham,eng Premier League,16,0.0,0,1,0,0,0,0
Fabian Schär\Fabian-Schar,DF,Newcastle Utd,eng Premier League,28,13.8,1.38,7.97,0.94,1.59,4.57,0.07
Aurélien Scheidler\Aurelien-Scheidler,FW,Dijon,fr Ligue 1,22,3.8,1.05,11.1,0.00,0.00,1.32,0.00
Nicolás Schiappacasse\Nicolas-Schiappacasse,MF,Sassuolo,it Serie A,21,0.2,0.00,20.0,0.00,0.00,0.00,0.00
Pasquale Schiattarella\Pasquale-Schiattarella,MF,Benevento,it Serie A,33,25.0,1.84,11.2,0.24,0.92,1.56,0.04
Patrik Schick\Patrik-Schick,FW,Leverkusen,de Bundesliga,24,20.7,0.68,11.1,0.29,0.10,0.82,0.00
Sven Schipplock\Sven-Schipplock,FWMF,Arminia,de Bundesliga,31,8.3,1.45,40.1,0.36,0.36,1.57,0.00
Xaver Schlager\Xaver-Schlager,MF,Wolfsburg,de Bundesliga,22,29.2,3.08,20.7,0.27,1.61,1.82,0.00
Keven Schlotterbeck\Keven-Schlotterbeck,DF,Freiburg,de Bundesliga,23,18.4,1.36,9.67,1.09,1.58,6.03,0.05
Nico Schlotterbeck\Nico-Schlotterbeck,DF,Union Berlin,de Bundesliga,20,14.3,2.38,12.6,0.35,2.52,4.48,0.07
Jeffrey Schlupp\Jeffrey-Schlupp,MF,Crystal Palace,eng Premier League,27,15.9,2.33,15.5,0.50,1.32,0.94,0.06
Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,eng Premier League,33,38.0,0.00,0.13,0.00,0.00,0.00,0.00
Jonathan Schmid\Jonathan-Schmid,DFMF,Freiburg,de Bundesliga,30,26.6,1.39,11.6,0.49,0.83,1.88,0.00
Romano Schmid\Romano-Schmid,FWMF,Werder Bremen,de Bundesliga,20,13.1,2.06,26.3,0.08,1.22,0.31,0.00
Benno Schmitz\Benno-Schmitz,DF,Köln,de Bundesliga,25,4.6,2.83,18.7,0.87,1.74,3.70,0.00
Morgan Schneiderlin\Morgan-Schneiderlin,MF,Nice,fr Ligue 1,30,24.4,2.17,17.2,0.53,1.48,2.46,0.00
Alessandro Schöpf\Alessandro-Schopf,FWMF,Schalke 04,de Bundesliga,26,10.5,1.43,20.2,0.10,0.67,0.48,0.00
Jerdy Schouten\Jerdy-Schouten,MF,Bologna,it Serie A,23,27.9,1.79,15.6,0.50,2.83,1.61,0.07
Nico Schulz\Nico-Schulz,DF,Dortmund,de Bundesliga,27,6.8,1.47,13.2,0.59,2.06,2.94,0.00
Alexander Schwolow\Alexander-Schwolow,GK,Hertha BSC,de Bundesliga,28,26.0,0.00,0.12,0.00,0.00,0.12,0.04
Christopher Scott\Christopher-Scott,FW,Bayern Munich,de Bundesliga,18,0.4,5.00,10.0,0.00,0.00,0.00,0.00
Matteo Scozzarella\Matteo-Scozzarella,MF,Parma,it Serie A,32,1.7,1.76,10.6,0.59,3.53,0.59,0.00
Simone Scuffet\Simone-Scuffet,GK,Udinese,it Serie A,24,1.0,0.00,0.00,0.00,0.00,0.00,0.00
Jacopo Segre\Jacopo-Segre,MF,Torino,it Serie A,23,2.1,2.86,12.9,0.00,0.00,0.48,0.00
Davie Selke\Davie-Selke,FW,Werder Bremen,de Bundesliga,25,9.0,0.33,20.0,0.11,0.22,0.67,0.00
Malik Sellouki\Malik-Sellouki,FWMF,Nice,fr Ligue 1,20,0.7,0.00,27.1,0.00,2.86,0.00,0.00
Matz Sels\Matz-Sels,GK,Strasbourg,fr Ligue 1,28,6.0,0.00,0.17,0.00,0.00,0.17,0.00
Nélson Semedo\Nelson-Semedo,DF,Wolves,eng Premier League,26,33.1,2.57,16.7,0.36,1.36,2.69,0.00
Léo Sena\Leo-Sena,MF,Spezia,it Serie A,24,9.8,2.45,16.2,0.41,1.33,0.82,0.00
Stefano Sensi\Stefano-Sensi,MF,Inter,it Serie A,24,6.7,1.94,18.1,0.15,1.49,0.30,0.15
Jaime Seoane\Jaime-Seoane,MF,Huesca,es La Liga,23,22.9,2.45,23.4,0.35,0.83,1.05,0.00
Luigi Sepe\Luigi-Sepe,GK,Parma,it Serie A,29,36.0,0.00,0.08,0.00,0.00,0.00,0.00
Suat Serdar\Suat-Serdar,MF,Schalke 04,de Bundesliga,23,21.7,2.67,16.3,0.28,1.06,1.20,0.05
Jean Seri\Jean-Seri,MF,Bordeaux,fr Ligue 1,29,7.9,2.53,21.5,0.25,1.01,1.77,0.00
Femi Seriki\Femi-Seriki,DF,Sheffield Utd,eng Premier League,18,0.0,0,0,0,0,0,0
Ryan Sessegnon\Ryan-Sessegnon,DF,Hoffenheim,de Bundesliga,20,17.5,2.69,18.1,0.17,1.14,2.69,0.00
Nils Seufert\Nils-Seufert,MFFW,Arminia,de Bundesliga,23,3.8,2.89,22.9,0.26,0.53,1.58,0.00
Edgar Sevikyan\Edgar-Sevikyan,MF,Levante,es La Liga,18,0.1,0.00,10.0,0.00,0.00,0.00,0.00
Stephan El Shaarawy\Stephan-El-Shaarawy,FWMF,Roma,it Serie A,27,6.4,0.78,13.4,0.16,0.78,0.31,0.00
Jamie Shackleton\Jamie-Shackleton,MFDF,Leeds United,eng Premier League,20,5.1,1.57,14.5,0.20,1.18,0.98,0.00
Xherdan Shaqiri\Xherdan-Shaqiri,MFFW,Liverpool,eng Premier League,28,6.2,0.97,16.1,0.00,0.65,0.16,0.00
Billy Sharp\Billy-Sharp,FW,Sheffield Utd,eng Premier League,34,8.2,0.85,17.7,0.00,0.37,0.12,0.00
Luke Shaw\Luke-Shaw,DF,Manchester Utd,eng Premier League,25,29.5,2.07,12.3,0.34,0.98,1.83,0.07
Jonjo Shelvey\Jonjo-Shelvey,MF,Newcastle Utd,eng Premier League,28,29.1,1.65,13.3,0.41,1.48,2.30,0.00
Eldor Shomurodov\Eldor-Shomurodov,FW,Genoa,it Serie A,25,18.6,1.56,21.0,0.11,0.38,0.70,0.00
Shola Shoretire\Shola-Shoretire,FW,Manchester Utd,eng Premier League,16,0.1,0.00,110.0,0.00,0.00,0.00,0.00
Mahame Siby\Mahame-Siby,MFFW,Strasbourg,fr Ligue 1,24,0.2,0.00,0.00,0.00,0.00,0.00,0.00
Abdoulaye Sidibé\Abdoulaye-Sidibe,MF,Saint-Étienne,fr Ligue 1,18,0.1,10.0,80.0,0.00,0.00,0.00,0.00
Djibril Sidibé\Djibril-Sidibe,DF,Monaco,fr Ligue 1,28,22.0,2.86,10.8,0.23,2.09,2.86,0.09
Sidnei\Sidnei,DF,Betis,es La Liga,30,7.7,1.56,8.31,0.52,1.30,5.06,0.00
