,,,,,,Tack,Pres,Bloc,,,
Player,Pos,Squad,Comp,Age,90s,Tkl,Press,Sh,Int,Clr,Err
,,,,,,,,,,,
Jon Ander Garrido\Jon-Ander-Garrido,MF,Cádiz,es La Liga,30,8.9,2.25,19.2,0.34,1.01,1.91,0.00
Joachim Andersen\Joachim-Andersen,DF,Lyon,fr Ligue 1,24,2.1,0.48,11.0,0.00,0.00,3.33,0.00
Joachim Andersen\Joachim-Andersen,DF,Fulham,eng Premier League,24,30.3,1.35,6.47,0.53,1.68,7.69,0.03
Djavan Anderson\Djavan-Anderson,DF,Lazio,it Serie A,25,0.8,0.00,12.5,0.00,0.00,0.00,0.00
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,eng Premier League,17,0.0,0,3,0,0,0,0
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,eng Premier League,27,0.0,1,3,0,0,0,0
Sebastian Andersson\Sebastian-Andersson,FW,Köln,de Bundesliga,29,12.5,0.40,13.2,0.16,0.24,0.72,0.00
Nícolas Andrade\Nicolas-Andrade,GK,Udinese,it Serie A,32,2.0,0.00,0.00,0.00,0.00,0.00,0.00
Benjamin André\Benjamin-Andre,MF,Lille,fr Ligue 1,29,32.1,3.46,21.4,0.40,1.90,2.34,0.00
Robert Andrich\Robert-Andrich,MF,Union Berlin,de Bundesliga,25,28.1,2.17,18.8,0.28,2.03,1.10,0.04
Victorien Angban\Victorien-Angban,MF,Metz,fr Ligue 1,23,18.6,1.88,13.1,0.22,0.70,0.48,0.00
Ángel\Angel,GK,Granada,es La Liga,18,1.0,0.00,0.00,0.00,0.00,0.00,0.00
Miguel Ángel Rubio\Miguel-Angel-Rubio,DF,Valladolid,es La Liga,22,1.5,0.67,12.0,1.33,0.00,13.3,0.00
José Ángel\Jose-Angel,DF,Eibar,es La Liga,30,10.0,1.70,7.90,0.00,1.10,3.20,0.10
Angeliño\Angelino,DFFW,RB Leipzig,de Bundesliga,23,24.0,1.71,10.9,0.04,1.33,1.75,0.04
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,DF,Atalanta,it Serie A,19,0.1,0.00,0.00,0.00,0.00,10.0,0.00
