,,,,,,SCA,SCA,SCA
Player,Pos,Squad,Comp,Age,90s,SCA,Drib,Def
,,,,,,,,
Luke Ayling\Luke-Ayling,DF,Leeds United,eng Premier League,28,37.8,1.30,0.08,0.03
Ramon Azeez\Ramon-Azeez,MFDF,Granada,es La Liga,27,1.1,0.00,0.00,0.00
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,eng Premier League,30,24.3,1.73,0.00,0.04
Ludovic Baal\Ludovic-Baal,DFMF,Brest,fr Ligue 1,34,3.3,2.12,0.00,0.30
Carlos Bacca\Carlos-Bacca,FW,Villarreal,es La Liga,33,8.7,1.49,0.34,0.00
Loïc Bade\Loic-Bade,DF,Lens,fr Ligue 1,20,29.0,0.66,0.07,0.00
Milan Badelj\Milan-Badelj,MF,Genoa,it Serie A,31,26.8,1.98,0.00,0.11
Édgar Badía\Edgar-Badia,GK,Elche,es La Liga,28,30.0,0.07,0.00,0.00
Benoît Badiashile\Benoit-Badiashile,DF,Monaco,fr Ligue 1,19,31.9,0.78,0.00,0.03
Alex Baena\Alex-Baena,MF,Villarreal,es La Liga,19,1.5,2.00,0.00,0.00
Miguel Baeza\Miguel-Baeza,MFFW,Celta Vigo,es La Liga,20,6.0,2.33,0.00,0.17
Stéphane Bahoken\Stephane-Bahoken,FW,Angers,fr Ligue 1,28,18.0,1.44,0.22,0.11
Leon Bailey\Leon-Bailey,FWMF,Leverkusen,de Bundesliga,22,23.8,4.12,0.42,0.04
Eric Bailly\Eric-Bailly,DF,Manchester Utd,eng Premier League,26,10.2,0.29,0.00,0.00
Stefan Bajic\Stefan-Bajic,GK,Saint-Étienne,fr Ligue 1,18,1.0,0.00,0.00,0.00
Tiemoué Bakayoko\Tiemoue-Bakayoko,MF,Napoli,it Serie A,25,21.8,1.61,0.05,0.05
Mitchel Bakker\Mitchel-Bakker,DF,Paris S-G,fr Ligue 1,20,18.8,1.76,0.00,0.00
Ridle Baku\Ridle-Baku,FWDF,Wolfsburg,de Bundesliga,22,29.8,2.85,0.13,0.10
Ridle Baku\Ridle-Baku,DF,Mainz 05,de Bundesliga,22,2.0,0.50,0.00,0.00
Dilane Bakwa\Dilane-Bakwa,FWMF,Bordeaux,fr Ligue 1,17,0.6,8.33,0.00,0.00
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,eng Premier League,28,13.3,0.15,0.00,0.00
Keita Baldé\Keita-Balde,FW,Sampdoria,it Serie A,25,13.3,3.31,0.38,0.15
George Baldock\George-Baldock,DF,Sheffield Utd,eng Premier League,27,31.0,1.03,0.03,0.03
Gareth Bale\Gareth-Bale,FW,Tottenham,eng Premier League,31,10.2,4.41,0.78,0.10
Mikel Balenziaga\Mikel-Balenziaga,DF,Athletic Club,es La Liga,32,18.8,0.69,0.00,0.05
Leonardo Balerdi\Leonardo-Balerdi,DF,Marseille,fr Ligue 1,21,18.2,0.38,0.00,0.11
Fodé Ballo-Touré\Fode-Ballo-Toure,DF,Monaco,fr Ligue 1,23,7.4,1.76,0.00,0.00
Botond Balogh\Botond-Balogh,DF,Parma,it Serie A,18,1.8,0.00,0.00,0.00
Abdoulaye Bamba\Abdoulaye-Bamba,DF,Angers,fr Ligue 1,30,15.0,1.40,0.07,0.07
Jonathan Bamba\Jonathan-Bamba,MF,Lille,fr Ligue 1,24,33.2,3.61,0.21,0.06
Robson Bambu\Robson-Bambu,DF,Nice,fr Ligue 1,22,11.6,0.17,0.00,0.00
Patrick Bamford\Patrick-Bamford,FW,Leeds United,eng Premier League,26,33.9,1.77,0.15,0.06
Mattia Bani\Mattia-Bani,DF,Genoa,it Serie A,26,10.2,0.29,0.00,0.10
Mattia Bani\Mattia-Bani,DF,Parma,it Serie A,26,12.7,0.39,0.00,0.00
Simon Banza\Simon-Banza,FW,Lens,fr Ligue 1,23,15.2,1.91,0.07,0.07
Antonín Barák\Antonin-Barak,MFFW,Hellas Verona,it Serie A,25,30.7,1.79,0.13,0.03
Federico Barba\Federico-Barba,DF,Benevento,it Serie A,26,29.5,0.85,0.00,0.00
Danilo Barbosa\Danilo-Barbosa,DF,Nice,fr Ligue 1,24,2.8,0.71,0.00,0.00
Barcia\Barcia,DF,Granada,es La Liga,19,1.0,1.00,0.00,0.00
Melvin Bard\Melvin-Bard,DF,Lyon,fr Ligue 1,19,4.8,1.88,0.00,0.00
Enis Bardhi\Enis-Bardhi,MFFW,Levante,es La Liga,25,18.7,2.73,0.27,0.00
Phil Bardsley\Phil-Bardsley,DF,Burnley,eng Premier League,35,3.0,1.00,0.33,0.00
Nicolò Barella\Nicolo-Barella,MF,Inter,it Serie A,23,32.2,2.89,0.09,0.03
Philipp Bargfrede\Philipp-Bargfrede,MF,Werder Bremen,de Bundesliga,31,0.3,0.00,0.00,0.00
Kike Barja\Kike-Barja,MFFW,Osasuna,es La Liga,23,15.9,2.14,0.25,0.00
Ross Barkley\Ross-Barkley,MF,Aston Villa,eng Premier League,26,17.0,4.41,0.53,0.00
Ross Barkley\Ross-Barkley,MF,Chelsea,eng Premier League,26,0.5,6.00,2.00,0.00
Aymen Barkok\Aymen-Barkok,MFFW,Eint Frankfurt,de Bundesliga,22,10.9,3.58,0.18,0.09
Ashley Barnes\Ashley-Barnes,FW,Burnley,eng Premier League,30,14.8,2.43,0.00,0.14
Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,eng Premier League,22,21.6,3.15,0.37,0.05
Marc Baró\Marc-Baro,DF,Cádiz,es La Liga,20,1.0,3.00,1.00,0.00
Antonio Barragán\Antonio-Barragan,DF,Elche,es La Liga,33,24.8,0.85,0.04,0.00
Antonio Barreca\Antonio-Barreca,DF,Fiorentina,it Serie A,25,0.9,1.11,0.00,0.00
Leandro Barreiro Martins\Leandro-Barreiro-Martins,MF,Mainz 05,de Bundesliga,20,25.6,1.21,0.08,0.00
Ander Barrenetxea\Ander-Barrenetxea,MFFW,Real Sociedad,es La Liga,18,14.5,2.14,0.14,0.07
Jacob Barrett Laursen\Jacob-Barrett-Laursen,DF,Arminia,de Bundesliga,25,12.3,0.57,0.00,0.00
Musa Barrow\Musa-Barrow,FWMF,Bologna,it Serie A,21,32.5,3.26,0.25,0.00
Kyle Bartley\Kyle-Bartley,DF,West Brom,eng Premier League,29,28.7,0.31,0.00,0.00
Paolo Bartolomei\Paolo-Bartolomei,MF,Spezia,it Serie A,30,3.6,1.94,0.00,0.00
Marc Bartra\Marc-Bartra,DF,Betis,es La Liga,29,18.8,0.37,0.00,0.05
Daniele Baselli\Daniele-Baselli,MF,Torino,it Serie A,28,4.4,2.95,0.00,0.23
Chris Basham\Chris-Basham,DFMF,Sheffield Utd,eng Premier League,32,28.6,0.77,0.07,0.00
Toma Bašić\Toma-Basic,MF,Bordeaux,fr Ligue 1,23,28.9,1.76,0.14,0.17
Álvaro Bastida\Alvaro-Bastida,MF,Cádiz,es La Liga,16,0.4,0.00,0.00,0.00
Alessandro Bastoni\Alessandro-Bastoni,DF,Inter,it Serie A,21,32.5,0.95,0.00,0.03
Simone Bastoni\Simone-Bastoni,DF,Spezia,it Serie A,23,16.9,2.72,0.30,0.00
Bastos\Bastos,DF,Lazio,it Serie A,29,0.7,0.00,0.00,0.00
Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,eng Premier League,26,8.1,2.47,0.49,0.00
Rodrigo Battaglia\Rodrigo-Battaglia,MF,Alavés,es La Liga,29,27.7,0.65,0.00,0.07
Cristian Battocchio\Cristian-Battocchio,MFFW,Brest,fr Ligue 1,28,3.9,3.33,0.26,0.00
Oliver Baumann\Oliver-Baumann,GK,Hoffenheim,de Bundesliga,30,31.0,0.06,0.00,0.00
Julian Baumgartlinger\Julian-Baumgartlinger,MF,Leverkusen,de Bundesliga,32,11.9,1.93,0.00,0.00
Christoph Baumgartner\Christoph-Baumgartner,MFFW,Hoffenheim,de Bundesliga,20,26.3,3.00,0.11,0.15
Jon Bautista\Jon-Bautista,FWMF,Real Sociedad,es La Liga,25,4.1,2.20,0.00,0.00
Paul Baysse\Paul-Baysse,DF,Bordeaux,fr Ligue 1,32,29.0,0.52,0.00,0.03
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,FWMF,Augsburg,de Bundesliga,23,0.4,2.50,0.00,0.00
Ihlas Bebou\Ihlas-Bebou,FW,Hoffenheim,de Bundesliga,26,24.4,2.91,0.33,0.04
Rodrigo Becão\Rodrigo-Becao,DF,Udinese,it Serie A,24,30.9,0.61,0.00,0.06
Sheraldo Becker\Sheraldo-Becker,FWMF,Union Berlin,de Bundesliga,25,12.3,3.01,0.24,0.00
Timo Becker\Timo-Becker,DF,Schalke 04,de Bundesliga,23,18.2,0.49,0.00,0.00
Jan Bednarek\Jan-Bednarek,DF,Southampton,eng Premier League,24,34.4,0.41,0.00,0.00
Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,eng Premier League,23,5.8,2.07,0.17,0.00
Valon Behrami\Valon-Behrami,MF,Genoa,it Serie A,35,9.9,0.71,0.00,0.00
Brian Behrendt\Brian-Behrendt,DF,Arminia,de Bundesliga,28,0.9,2.22,1.11,0.00
Maximilian Beier\Maximilian-Beier,FWDF,Hoffenheim,de Bundesliga,17,0.1,0.00,0.00,0.00
Ishak Belfodil\Ishak-Belfodil,FW,Hoffenheim,de Bundesliga,28,6.6,2.88,0.00,0.00
Erwan Belhadji\Erwan-Belhadji,MF,Dijon,fr Ligue 1,19,0.3,3.33,0.00,0.00
Haris Belkebla\Haris-Belkebla,MF,Brest,fr Ligue 1,26,30.3,1.12,0.07,0.00
Stefan Bell\Stefan-Bell,DF,Mainz 05,de Bundesliga,28,14.1,0.43,0.00,0.07
Karim Bellarabi\Karim-Bellarabi,FWMF,Leverkusen,de Bundesliga,30,8.9,3.37,0.90,0.00
Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,MFFW,Strasbourg,fr Ligue 1,22,23.2,1.90,0.26,0.13
Héctor Bellerín\Hector-Bellerin,DF,Arsenal,eng Premier League,25,23.2,1.77,0.00,0.00
