,,,,,,SCA,SCA,SCA
Player,Pos,Squad,Comp,Age,90s,SCA,Drib,Def
,,,,,,,,
Nemanja Radoja\Nemanja-Radoja,MF,Levante,es La Liga,27,12.5,0.64,0.00,0.00
Nemanja Radonjić\Nemanja-Radonjic,FWDF,Hertha BSC,de Bundesliga,24,6.8,3.09,0.74,0.00
Nemanja Radonjić\Nemanja-Radonjic,FW,Marseille,fr Ligue 1,24,4.4,2.27,0.45,0.00
Aleksandar Radovanović\Aleksandar-Radovanovic,DF,Lens,fr Ligue 1,26,1.0,0.00,0.00,0.00
Ivan Radovanović\Ivan-Radovanovic,DFMF,Genoa,it Serie A,31,24.8,0.28,0.00,0.00
Ionuț Radu\Ionut-Radu,GK,Inter,it Serie A,23,1.5,0.00,0.00,0.00
Ștefan Radu\Stefan-Radu,DF,Lazio,it Serie A,33,27.3,1.39,0.04,0.00
Rafael\Rafael,GK,Spezia,it Serie A,38,2.3,0.43,0.00,0.00
Rafinha\Rafinha,MF,Paris S-G,fr Ligue 1,27,15.1,3.71,0.13,0.20
Antonio Raimondo\Antonio-Raimondo,FW,Bologna,it Serie A,16,0.0,0,0,0
Predrag Rajković\Predrag-Rajkovic,GK,Reims,fr Ligue 1,24,36.5,0.16,0.00,0.00
Ivan Rakitić\Ivan-Rakitic,MF,Sevilla,es La Liga,32,24.8,2.18,0.00,0.08
Jonás Ramalho\Jonas-Ramalho,DF,Osasuna,es La Liga,27,3.4,0.29,0.00,0.00
Benito Raman\Benito-Raman,FWMF,Schalke 04,de Bundesliga,25,13.8,2.10,0.14,0.00
Gastón Ramírez\Gaston-Ramirez,MFFW,Sampdoria,it Serie A,29,10.8,4.07,0.09,0.19
Sandro Ramírez\Sandro-Ramirez,FWMF,Huesca,es La Liga,25,14.3,1.96,0.14,0.07
Sergio Ramos\Sergio-Ramos,DF,Real Madrid,es La Liga,34,14.2,0.63,0.00,0.00
Aaron Ramsdale\Aaron-Ramsdale,GK,Sheffield Utd,eng Premier League,22,38.0,0.21,0.00,0.00
Aaron Ramsey\Aaron-Ramsey,MF,Juventus,it Serie A,29,12.1,4.79,0.17,0.08
Jacob Ramsey\Jacob-Ramsey,MFFW,Aston Villa,eng Premier League,19,7.0,2.00,0.00,0.00
Kayne Ramsey\Kayne-Ramsey,DF,Southampton,eng Premier League,19,1.0,0.00,0.00,0.00
Darren Randolph\Darren-Randolph,GK,West Ham,eng Premier League,33,3.0,0.00,0.00,0.00
Andrea Ranocchia\Andrea-Ranocchia,DF,Inter,it Serie A,32,7.8,0.64,0.00,0.13
Marcus Rashford\Marcus-Rashford,FW,Manchester Utd,eng Premier League,22,32.4,3.24,0.49,0.00
Milot Rashica\Milot-Rashica,FWMF,Werder Bremen,de Bundesliga,24,16.2,2.59,0.49,0.00
Giacomo Raspadori\Giacomo-Raspadori,FWMF,Sassuolo,it Serie A,20,13.7,4.38,0.22,0.15
Federico Ravaglia\Federico-Ravaglia,GK,Bologna,it Serie A,20,4.0,0.00,0.00,0.00
Tim Ream\Tim-Ream,DF,Fulham,eng Premier League,32,7.0,0.14,0.00,0.00
Ante Rebić\Ante-Rebic,FW,Milan,it Serie A,26,19.7,3.60,0.25,0.10
Arkadiusz Reca\Arkadiusz-Reca,DF,Crotone,it Serie A,25,25.7,1.91,0.23,0.08
Recio\Recio,MF,Eibar,es La Liga,29,8.2,3.41,0.00,0.12
Daishawn Redan\Daishawn-Redan,FWMF,Hertha BSC,de Bundesliga,19,1.1,2.73,0.91,0.00
Nathan Redmond\Nathan-Redmond,MFFW,Southampton,eng Premier League,26,19.3,3.01,0.52,0.10
Harrison Reed\Harrison-Reed,MF,Fulham,eng Premier League,25,25.0,1.60,0.00,0.00
Vasco Regini\Vasco-Regini,DF,Sampdoria,it Serie A,29,1.0,1.00,0.00,0.00
Sergio Reguilón\Sergio-Reguilon,DF,Tottenham,eng Premier League,23,24.9,1.65,0.08,0.00
Bobby Reid\Bobby-Reid,MFDF,Fulham,eng Premier League,27,26.4,1.25,0.08,0.08
Pepe Reina\Pepe-Reina,GK,Lazio,it Serie A,37,29.0,0.03,0.00,0.00
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,MFFW,Nice,fr Ligue 1,22,11.8,2.71,0.42,0.00
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,FW,Lyon,fr Ligue 1,22,0.3,3.33,0.00,0.00
Reinier\Reinier,MFFW,Dortmund,de Bundesliga,18,2.9,2.41,0.00,0.34
Francisco Reis Ferreira\Francisco-Reis-Ferreira,DF,Valencia,es La Liga,23,2.0,0.00,0.00,0.00
Rocco Reitz\Rocco-Reitz,MF,M'Gladbach,de Bundesliga,18,0.7,4.29,0.00,0.00
Karim Rekik\Karim-Rekik,DF,Sevilla,es La Liga,25,7.3,1.10,0.00,0.00
Álex Remiro\Alex-Remiro,GK,Real Sociedad,es La Liga,25,38.0,0.08,0.00,0.00
Panagiotis Retsos\Panagiotis-Retsos,DF,Saint-Étienne,fr Ligue 1,21,3.0,1.00,0.00,0.33
Marco Reus\Marco-Reus,MFFW,Dortmund,de Bundesliga,31,25.3,3.64,0.24,0.08
Elvis Rexhbeçaj\Elvis-Rexhbecaj,MFFW,Köln,de Bundesliga,22,20.4,2.11,0.05,0.05
Oriol Rey\Oriol-Rey,MF,Valladolid,es La Liga,22,0.2,0.00,0.00,0.00
Gio Reyna\Gio-Reyna,FWMF,Dortmund,de Bundesliga,17,22.0,3.14,0.32,0.00
Baptiste Reynet\Baptiste-Reynet,GK,Nîmes,fr Ligue 1,29,38.0,0.16,0.00,0.00
Bryan Reynolds\Bryan-Reynolds,DF,Roma,it Serie A,19,3.1,0.65,0.00,0.00
Franck Ribéry\Franck-Ribery,FW,Fiorentina,it Serie A,37,23.9,3.05,0.42,0.04
Ricard\Ricard,DF,Atlético Madrid,es La Liga,20,0.3,6.67,0.00,0.00
Federico Ricci\Federico-Ricci,FW,Sassuolo,it Serie A,26,0.0,0,0,0
Giacomo Ricci\Giacomo-Ricci,DF,Parma,it Serie A,23,0.7,2.86,0.00,0.00
Matteo Ricci\Matteo-Ricci,MF,Spezia,it Serie A,26,24.8,1.73,0.00,0.04
Declan Rice\Declan-Rice,MF,West Ham,eng Premier League,21,32.0,1.53,0.09,0.03
Chris Richards\Chris-Richards,DF,Hoffenheim,de Bundesliga,20,10.5,1.05,0.00,0.10
Chris Richards\Chris-Richards,DF,Bayern Munich,de Bundesliga,20,1.0,3.00,0.00,0.00
Lewis Richardson\Lewis-Richardson,FWMF,Burnley,eng Premier League,17,0.0,0,0,0
Richarlison\Richarlison,FW,Everton,eng Premier League,23,31.8,2.52,0.28,0.03
Marco Richter\Marco-Richter,FWMF,Augsburg,de Bundesliga,22,15.7,2.93,0.64,0.06
Mikel Rico\Mikel-Rico,MF,Huesca,es La Liga,35,24.3,1.89,0.04,0.04
Sergio Rico\Sergio-Rico,GK,Paris S-G,fr Ligue 1,26,9.0,0.00,0.00,0.00
Jaïro Riedewald\Jairo-Riedewald,MF,Crystal Palace,eng Premier League,23,20.2,0.94,0.00,0.00
Emiliano Rigoni\Emiliano-Rigoni,MFFW,Elche,es La Liga,27,12.7,1.42,0.00,0.08
Tomás Rincón\Tomas-Rincon,MF,Torino,it Serie A,32,31.6,1.27,0.03,0.13
Luis Rioja\Luis-Rioja,MFDF,Alavés,es La Liga,26,23.2,2.20,0.22,0.09
Renaud Ripart\Renaud-Ripart,MFFW,Nîmes,fr Ligue 1,27,33.9,1.42,0.24,0.03
Andrea Rispoli\Andrea-Rispoli,DF,Crotone,it Serie A,31,7.2,2.22,0.00,0.00
Mihailo Ristić\Mihailo-Ristic,DF,Montpellier,fr Ligue 1,24,24.8,1.77,0.08,0.04
Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,eng Premier League,30,15.0,2.67,0.00,0.13
Maxence Rivera\Maxence-Rivera,MFFW,Saint-Étienne,fr Ligue 1,18,2.7,1.85,0.00,0.00
Emmanuel Rivière\Emmanuel-Riviere,FWMF,Crotone,it Serie A,30,7.1,1.55,0.00,0.14
Rober\Rober,DFMF,Levante,es La Liga,25,15.8,0.44,0.00,0.00
Roberto\Roberto,GK,Valladolid,es La Liga,34,13.0,0.00,0.00,0.00
Sergi Roberto\Sergi-Roberto,DFMF,Barcelona,es La Liga,28,10.5,1.71,0.00,0.10
Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,eng Premier League,21,14.9,2.42,0.20,0.00
Andrew Robertson\Andrew-Robertson,DF,Liverpool,eng Premier League,26,37.6,2.82,0.11,0.05
Antonee Robinson\Antonee-Robinson,DF,Fulham,eng Premier League,22,24.0,2.21,0.04,0.04
Callum Robinson\Callum-Robinson,FWMF,West Brom,eng Premier League,25,17.3,2.31,0.40,0.00
Jack Robinson\Jack-Robinson,DF,Sheffield Utd,eng Premier League,26,9.7,0.62,0.10,0.00
Joel Robles\Joel-Robles,GK,Betis,es La Liga,30,18.0,0.11,0.00,0.00
Hal Robson-Kanu\Hal-Robson-Kanu,FWMF,West Brom,eng Premier League,31,6.2,1.94,0.16,0.16
Marc Roca\Marc-Roca,MF,Bayern Munich,de Bundesliga,23,2.0,1.00,0.50,0.00
Christopher Rocchia\Christopher-Rocchia,DF,Marseille,fr Ligue 1,22,0.2,0.00,0.00,0.00
Rubén Rochina\Ruben-Rochina,MF,Levante,es La Liga,29,15.6,2.95,0.13,0.26
Marek Rodák\Marek-Rodak,GK,Fulham,eng Premier League,23,2.0,0.00,0.00,0.00
Sebastian Rode\Sebastian-Rode,MF,Eint Frankfurt,de Bundesliga,29,18.1,2.38,0.06,0.00
Joe Rodon\Joe-Rodon,DF,Tottenham,eng Premier League,22,8.1,0.00,0.00,0.00
Rodri\Rodri,MF,Manchester City,eng Premier League,24,30.5,2.39,0.20,0.13
Rodrigo\Rodrigo,MFFW,Leeds United,eng Premier League,29,14.3,4.48,0.35,0.14
Rodrigo\Rodrigo,FWMF,Betis,es La Liga,20,6.0,2.33,0.00,0.00
Kévin Rodrigues\Kevin-Rodrigues,MFDF,Eibar,es La Liga,26,12.2,1.72,0.08,0.00
Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,MFFW,Sevilla,es La Liga,22,5.7,3.68,0.18,0.18
Ángel Rodríguez\Angel-Rodriguez,FWMF,Getafe,es La Liga,33,15.3,1.63,0.00,0.00
Guido Rodríguez\Guido-Rodriguez,MF,Betis,es La Liga,26,31.8,1.19,0.13,0.06
James Rodríguez\James-Rodriguez,FWMF,Everton,eng Premier League,29,19.6,3.67,0.20,0.10
Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,eng Premier League,31,14.1,1.63,0.28,0.00
Miguel Rodríguez\Miguel-Rodriguez,FWMF,Celta Vigo,es La Liga,17,0.3,10.0,0.00,3.33
Ricardo Rodríguez\Ricardo-Rodriguez,DF,Torino,it Serie A,27,13.8,1.16,0.00,0.00
Víctor Rodríguez\Victor-Rodriguez,MF,Elche,es La Liga,31,4.7,1.70,0.00,0.00
Rodrygo\Rodrygo,FW,Real Madrid,es La Liga,19,10.9,3.67,0.46,0.09
Marko Rog\Marko-Rog,MF,Cagliari,it Serie A,25,12.9,1.71,0.00,0.08
Rogério\Rogerio,DF,Sassuolo,it Serie A,22,20.9,1.29,0.05,0.00
Luis Rojas\Luis-Rojas,MFFW,Crotone,it Serie A,18,1.2,0.83,0.00,0.00
Alessio Romagnoli\Alessio-Romagnoli,DF,Milan,it Serie A,25,21.2,0.66,0.00,0.00
Cristian Romero\Cristian-Romero,DF,Atalanta,it Serie A,22,28.3,0.81,0.04,0.04
Oriol Romeu\Oriol-Romeu,MF,Southampton,eng Premier League,28,19.6,1.79,0.00,0.15
Cristiano Ronaldo\Cristiano-Ronaldo,FW,Juventus,it Serie A,35,31.1,3.67,0.58,0.13
Facundo Roncaglia\Facundo-Roncaglia,DF,Osasuna,es La Liga,33,13.7,1.02,0.07,0.00
Valentin Rongier\Valentin-Rongier,MF,Marseille,fr Ligue 1,25,21.0,1.71,0.05,0.10
Marten de Roon\Marten-de-Roon,MF,Atalanta,it Serie A,29,33.6,2.05,0.00,0.09
Jérôme Roussillon\Jerome-Roussillon,DF,Wolfsburg,de Bundesliga,27,13.7,1.39,0.07,0.00
Nolan Roux\Nolan-Roux,FW,Nîmes,fr Ligue 1,32,7.2,0.97,0.00,0.14
Nicolò Rovella\Nicolo-Rovella,MF,Genoa,it Serie A,18,13.2,2.27,0.08,0.00
Amir Rrahmani\Amir-Rrahmani,DF,Napoli,it Serie A,26,12.2,0.33,0.00,0.00
Rubén\Ruben,GKMF,Osasuna,es La Liga,36,2.1,0.00,0.00,0.00
Waldo Rubio\Waldo-Rubio,FWMF,Valladolid,es La Liga,24,4.2,1.43,0.00,0.24
John Ruddy\John-Ruddy,GK,Wolves,eng Premier League,33,1.0,0.00,0.00,0.00
Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,eng Premier League,27,19.0,0.74,0.00,0.00
Sebastian Rudy\Sebastian-Rudy,MFDF,Hoffenheim,de Bundesliga,30,18.6,2.96,0.05,0.00
Sebastian Rudy\Sebastian-Rudy,DF,Schalke 04,de Bundesliga,30,2.0,2.00,0.00,0.00
Kevin Rüegg\Kevin-Ruegg,DFMF,Hellas Verona,it Serie A,21,2.3,0.43,0.00,0.00
Daniele Rugani\Daniele-Rugani,DF,Rennes,fr Ligue 1,26,1.0,0.00,0.00,0.00
Daniele Rugani\Daniele-Rugani,DF,Cagliari,it Serie A,26,11.1,0.18,0.00,0.09
Matteo Ruggeri\Matteo-Ruggeri,DF,Atalanta,it Serie A,18,2.3,1.74,0.00,0.00
Mário Rui\Mario-Rui,DF,Napoli,it Serie A,29,18.5,2.81,0.05,0.00
Aitor Ruibal\Aitor-Ruibal,FWMF,Betis,es La Liga,24,17.7,3.05,0.51,0.11
Fabián Ruiz Peña\Fabian-Ruiz-Pena,MF,Napoli,it Serie A,24,28.5,3.68,0.11,0.21
Isma Ruiz\Isma-Ruiz,MF,Granada,es La Liga,19,0.7,0.00,0.00,0.00
Kays Ruiz\Kays-Ruiz,FWMF,Paris S-G,fr Ligue 1,17,2.1,2.38,0.00,0.00
Víctor Ruiz\Victor-Ruiz,DF,Betis,es La Liga,31,24.0,0.21,0.00,0.00
Gerónimo Rulli\Geronimo-Rulli,GK,Villarreal,es La Liga,28,2.0,0.00,0.00,0.00
Georginio Rutter\Georginio-Rutter,FW,Hoffenheim,de Bundesliga,18,2.7,2.59,0.00,0.00
Georginio Rutter\Georginio-Rutter,FWMF,Rennes,fr Ligue 1,18,0.5,2.00,0.00,0.00
Mathew Ryan\Mathew-Ryan,GK,Arsenal,eng Premier League,28,3.0,0.00,0.00,0.00
Mathew Ryan\Mathew-Ryan,GK,Brighton,eng Premier League,28,11.0,0.00,0.00,0.00
Julian Ryerson\Julian-Ryerson,DFMF,Union Berlin,de Bundesliga,22,11.9,1.51,0.08,0.00
Frederik Rønnow\Frederik-Ronnow,GK,Schalke 04,de Bundesliga,27,10.5,0.00,0.00,0.00
João Victor Santos Sá\Joao-Victor-Santos-Sa,FW,Wolfsburg,de Bundesliga,26,5.2,3.27,0.19,0.19
Roli Pereira de Sa\Roli-Pereira-de-Sa,MFFW,Nantes,fr Ligue 1,23,0.6,11.7,0.00,1.67
Idriss Saadi\Idriss-Saadi,FWMF,Strasbourg,fr Ligue 1,28,1.4,1.43,0.71,0.00
Youssouf Sabaly\Youssouf-Sabaly,DF,Bordeaux,fr Ligue 1,27,32.3,1.95,0.25,0.00
Mathys Saban\Mathys-Saban,FW,Saint-Étienne,fr Ligue 1,18,0.1,0.00,0.00,0.00
Marcel Sabitzer\Marcel-Sabitzer,MF,RB Leipzig,de Bundesliga,26,22.5,2.62,0.00,0.00
Alexis Saelemaekers\Alexis-Saelemaekers,FW,Milan,it Serie A,21,22.4,3.21,0.22,0.04
Modibo Sagnan\Modibo-Sagnan,DFMF,Real Sociedad,es La Liga,21,6.9,0.58,0.00,0.00
Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,eng Premier League,23,17.3,3.53,0.69,0.06
Borja Sainz\Borja-Sainz,MFFW,Alavés,es La Liga,19,5.0,1.00,0.20,0.00
Romain Saïss\Romain-Saiss,DF,Wolves,eng Premier League,30,26.7,0.60,0.04,0.00
Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,eng Premier League,18,28.4,3.45,0.28,0.00
Hiroki Sakai\Hiroki-Sakai,DF,Marseille,fr Ligue 1,30,26.5,1.17,0.04,0.00
Moïse Sakava\Moise-Sakava,MF,Reims,fr Ligue 1,19,0.1,10.0,0.00,0.00
Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,eng Premier League,30,3.1,0.00,0.00,0.00
Jacopo Sala\Jacopo-Sala,DF,Spezia,it Serie A,28,4.2,1.43,0.00,0.00
Mohamed Salah\Mohamed-Salah,FW,Liverpool,eng Premier League,28,34.2,3.42,0.18,0.12
Eddy Salcedo\Eddy-Salcedo,FWMF,Hellas Verona,it Serie A,18,8.4,1.55,0.12,0.00
William Saliba\William-Saliba,DF,Nice,fr Ligue 1,19,20.0,0.20,0.00,0.00
Romain Salin\Romain-Salin,GK,Rennes,fr Ligue 1,36,15.0,0.00,0.00,0.00
Mohammed Salisu\Mohammed-Salisu,DF,Southampton,eng Premier League,21,9.4,0.53,0.00,0.00
Roland Sallai\Roland-Sallai,MFFW,Freiburg,de Bundesliga,23,18.5,2.00,0.00,0.00
Salvi\Salvi,MFFW,Cádiz,es La Liga,29,21.5,1.35,0.05,0.00
Lazar Samardzic\Lazar-Samardzic,MFFW,RB Leipzig,de Bundesliga,18,2.2,1.82,0.45,0.00
Diadie Samassékou\Diadie-Samassekou,MF,Hoffenheim,de Bundesliga,24,28.5,1.30,0.07,0.07
Mama Samba Baldé\Mama-Samba-Balde,FW,Dijon,fr Ligue 1,24,24.0,1.88,0.29,0.13
Junior Sambia\Junior-Sambia,DFMF,Montpellier,fr Ligue 1,23,27.2,2.39,0.11,0.00
Frédéric Sammaritano\Frederic-Sammaritano,FWMF,Dijon,fr Ligue 1,34,12.6,2.46,0.00,0.00
Fede San Emeterio\Fede-San-Emeterio,MF,Valladolid,es La Liga,23,16.2,0.56,0.00,0.00
Antonio Sanabria\Antonio-Sanabria,FW,Torino,it Serie A,24,10.9,1.74,0.09,0.09
Antonio Sanabria\Antonio-Sanabria,FW,Betis,es La Liga,24,10.4,1.54,0.00,0.00
Oihan Sancet\Oihan-Sancet,FWMF,Athletic Club,es La Liga,20,11.5,2.17,0.09,0.17
Renato Sanches\Renato-Sanches,MF,Lille,fr Ligue 1,22,14.1,2.91,0.28,0.00
Juan Sánchez Miño\Juan-Sanchez-Mino,DFMF,Elche,es La Liga,30,5.5,0.36,0.00,0.00
Alexis Sánchez\Alexis-Sanchez,FW,Inter,it Serie A,31,12.7,5.59,0.24,0.00
Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,eng Premier League,24,16.5,0.30,0.00,0.00
Germán Sánchez\German-Sanchez,DF,Granada,es La Liga,33,29.3,0.17,0.00,0.00
Javi Sánchez\Javi-Sanchez,DF,Valladolid,es La Liga,23,10.2,0.49,0.00,0.10
Manuel Sánchez\Manuel-Sanchez,DF,Osasuna,es La Liga,19,10.8,2.31,0.19,0.09
Manuel Sánchez\Manuel-Sanchez,DF,Atlético Madrid,es La Liga,19,0.5,2.00,0.00,0.00
Robert Sánchez\Robert-Sanchez,GK,Brighton,eng Premier League,22,27.0,0.00,0.00,0.00
Jadon Sancho\Jadon-Sancho,FWMF,Dortmund,de Bundesliga,20,22.9,5.46,0.48,0.04
Alex Sandro\Alex-Sandro,DF,Juventus,it Serie A,29,20.6,1.84,0.10,0.00
Leroy Sané\Leroy-Sane,FWMF,Bayern Munich,de Bundesliga,24,20.1,4.28,0.70,0.00
Salif Sané\Salif-Sane,DF,Schalke 04,de Bundesliga,29,11.9,0.59,0.00,0.00
Oier Sanjurjo\Oier-Sanjurjo,MF,Osasuna,es La Liga,34,23.2,1.16,0.00,0.17
Mohamed Sankoh\Mohamed-Sankoh,FW,Stuttgart,de Bundesliga,16,0.2,5.00,0.00,0.00
Siriki Sanogo\Siriki-Sanogo,MF,Benevento,it Serie A,18,0.1,0.00,0.00,0.00
Morgan Sanson\Morgan-Sanson,MF,Marseille,fr Ligue 1,25,9.2,1.85,0.00,0.11
Morgan Sanson\Morgan-Sanson,MF,Aston Villa,eng Premier League,25,3.3,1.21,0.00,0.00
Nicola Sansone\Nicola-Sansone,FWMF,Bologna,it Serie A,28,13.0,4.15,0.08,0.08
Baptiste Santamaria\Baptiste-Santamaria,MF,Angers,fr Ligue 1,25,3.0,2.67,0.00,0.00
Baptiste Santamaria\Baptiste-Santamaria,MF,Freiburg,de Bundesliga,25,24.5,1.47,0.08,0.08
Federico Santander\Federico-Santander,FW,Bologna,it Serie A,29,0.4,10.0,0.00,0.00
Davide Santon\Davide-Santon,DF,Roma,it Serie A,29,6.5,1.23,0.00,0.00
Samir Santos\Samir-Santos,DF,Udinese,it Serie A,25,24.6,0.81,0.04,0.04
Riccardo Saponara\Riccardo-Saponara,FWMF,Fiorentina,it Serie A,28,0.6,1.67,0.00,0.00
Riccardo Saponara\Riccardo-Saponara,FWMF,Spezia,it Serie A,28,4.3,3.02,0.70,0.00
Ivan Šaponjić\Ivan-Saponjic,FW,Cádiz,es La Liga,22,4.3,1.40,0.00,0.00
Pablo Sarabia\Pablo-Sarabia,FWMF,Paris S-G,fr Ligue 1,28,14.7,3.33,0.14,0.00
Josh Sargent\Josh-Sargent,FWMF,Werder Bremen,de Bundesliga,20,27.8,2.30,0.29,0.04
Bouna Sarr\Bouna-Sarr,DF,Bayern Munich,de Bundesliga,28,5.0,1.80,0.20,0.00
Bouna Sarr\Bouna-Sarr,DF,Marseille,fr Ligue 1,28,0.8,0.00,0.00,0.00
Sidy Sarr\Sidy-Sarr,MF,Nîmes,fr Ligue 1,24,5.1,1.18,0.20,0.20
Marco Sau\Marco-Sau,MFFW,Benevento,it Serie A,32,8.7,3.56,0.00,0.00
Téji Savanier\Teji-Savanier,MF,Montpellier,fr Ligue 1,28,24.1,5.23,0.41,0.25
Stefan Savić\Stefan-Savic,DF,Atlético Madrid,es La Liga,29,32.8,0.40,0.00,0.00
Romaine Sawyers\Romaine-Sawyers,MF,West Brom,eng Premier League,28,16.5,0.79,0.00,0.00
Gianluca Scamacca\Gianluca-Scamacca,FW,Genoa,it Serie A,21,15.0,2.00,0.13,0.13
Dane Scarlett\Dane-Scarlett,FW,Tottenham,eng Premier League,16,0.0,0,0,0
Fabian Schär\Fabian-Schar,DF,Newcastle Utd,eng Premier League,28,13.8,0.65,0.00,0.07
Aurélien Scheidler\Aurelien-Scheidler,FW,Dijon,fr Ligue 1,22,3.8,1.58,0.00,0.26
Nicolás Schiappacasse\Nicolas-Schiappacasse,MF,Sassuolo,it Serie A,21,0.2,0.00,0.00,0.00
Pasquale Schiattarella\Pasquale-Schiattarella,MF,Benevento,it Serie A,33,25.0,2.04,0.04,0.04
Patrik Schick\Patrik-Schick,FW,Leverkusen,de Bundesliga,24,20.7,2.22,0.24,0.00
Sven Schipplock\Sven-Schipplock,FWMF,Arminia,de Bundesliga,31,8.3,1.93,0.12,0.12
Xaver Schlager\Xaver-Schlager,MF,Wolfsburg,de Bundesliga,22,29.2,1.75,0.03,0.10
Keven Schlotterbeck\Keven-Schlotterbeck,DF,Freiburg,de Bundesliga,23,18.4,0.33,0.00,0.00
Nico Schlotterbeck\Nico-Schlotterbeck,DF,Union Berlin,de Bundesliga,20,14.3,1.05,0.00,0.07
Jeffrey Schlupp\Jeffrey-Schlupp,MF,Crystal Palace,eng Premier League,27,15.9,2.14,0.13,0.00
Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,eng Premier League,33,38.0,0.03,0.00,0.00
Jonathan Schmid\Jonathan-Schmid,DFMF,Freiburg,de Bundesliga,30,26.6,2.22,0.11,0.04
Romano Schmid\Romano-Schmid,FWMF,Werder Bremen,de Bundesliga,20,13.1,2.37,0.08,0.00
Benno Schmitz\Benno-Schmitz,DF,Köln,de Bundesliga,25,4.6,2.61,0.00,0.00
Morgan Schneiderlin\Morgan-Schneiderlin,MF,Nice,fr Ligue 1,30,24.4,1.11,0.04,0.08
Alessandro Schöpf\Alessandro-Schopf,FWMF,Schalke 04,de Bundesliga,26,10.5,1.62,0.29,0.00
Jerdy Schouten\Jerdy-Schouten,MF,Bologna,it Serie A,23,27.9,1.65,0.07,0.04
Nico Schulz\Nico-Schulz,DF,Dortmund,de Bundesliga,27,6.8,1.76,0.00,0.15
Alexander Schwolow\Alexander-Schwolow,GK,Hertha BSC,de Bundesliga,28,26.0,0.08,0.00,0.00
Christopher Scott\Christopher-Scott,FW,Bayern Munich,de Bundesliga,18,0.4,0.00,0.00,0.00
Matteo Scozzarella\Matteo-Scozzarella,MF,Parma,it Serie A,32,1.7,4.12,0.00,0.00
Simone Scuffet\Simone-Scuffet,GK,Udinese,it Serie A,24,1.0,0.00,0.00,0.00
Jacopo Segre\Jacopo-Segre,MF,Torino,it Serie A,23,2.1,2.38,0.00,0.00
Davie Selke\Davie-Selke,FW,Werder Bremen,de Bundesliga,25,9.0,2.22,0.00,0.00
Malik Sellouki\Malik-Sellouki,FWMF,Nice,fr Ligue 1,20,0.7,0.00,0.00,0.00
Matz Sels\Matz-Sels,GK,Strasbourg,fr Ligue 1,28,6.0,0.00,0.00,0.00
Nélson Semedo\Nelson-Semedo,DF,Wolves,eng Premier League,26,33.1,1.75,0.06,0.06
Léo Sena\Leo-Sena,MF,Spezia,it Serie A,24,9.8,1.84,0.00,0.20
Stefano Sensi\Stefano-Sensi,MF,Inter,it Serie A,24,6.7,5.07,0.30,0.00
Jaime Seoane\Jaime-Seoane,MF,Huesca,es La Liga,23,22.9,1.27,0.04,0.04
Luigi Sepe\Luigi-Sepe,GK,Parma,it Serie A,29,36.0,0.00,0.00,0.00
Suat Serdar\Suat-Serdar,MF,Schalke 04,de Bundesliga,23,21.7,1.43,0.05,0.05
Jean Seri\Jean-Seri,MF,Bordeaux,fr Ligue 1,29,7.9,1.65,0.13,0.13
Femi Seriki\Femi-Seriki,DF,Sheffield Utd,eng Premier League,18,0.0,0,0,0
Ryan Sessegnon\Ryan-Sessegnon,DF,Hoffenheim,de Bundesliga,20,17.5,1.49,0.06,0.00
Nils Seufert\Nils-Seufert,MFFW,Arminia,de Bundesliga,23,3.8,1.58,0.00,0.00
Edgar Sevikyan\Edgar-Sevikyan,MF,Levante,es La Liga,18,0.1,0.00,0.00,0.00
Stephan El Shaarawy\Stephan-El-Shaarawy,FWMF,Roma,it Serie A,27,6.4,4.84,0.47,0.16
Jamie Shackleton\Jamie-Shackleton,MFDF,Leeds United,eng Premier League,20,5.1,1.18,0.00,0.00
Xherdan Shaqiri\Xherdan-Shaqiri,MFFW,Liverpool,eng Premier League,28,6.2,5.16,0.00,0.00
Billy Sharp\Billy-Sharp,FW,Sheffield Utd,eng Premier League,34,8.2,0.61,0.00,0.00
Luke Shaw\Luke-Shaw,DF,Manchester Utd,eng Premier League,25,29.5,3.76,0.03,0.00
Jonjo Shelvey\Jonjo-Shelvey,MF,Newcastle Utd,eng Premier League,28,29.1,2.27,0.00,0.03
Eldor Shomurodov\Eldor-Shomurodov,FW,Genoa,it Serie A,25,18.6,2.42,0.16,0.05
Shola Shoretire\Shola-Shoretire,FW,Manchester Utd,eng Premier League,16,0.1,10.0,0.00,0.00
Mahame Siby\Mahame-Siby,MFFW,Strasbourg,fr Ligue 1,24,0.2,0.00,0.00,0.00
Abdoulaye Sidibé\Abdoulaye-Sidibe,MF,Saint-Étienne,fr Ligue 1,18,0.1,0.00,0.00,0.00
