,,,,,,Tota,
Player,Pos,Squad,Comp,Age,90s,Cmp%,Prog
,,,,,,,
Marco Asensio\Marco-Asensio,FWMF,Real Madrid,es La Liga,24,20.8,80.2,3.61
Kristoffer Askildsen\Kristoffer-Askildsen,MF,Sampdoria,it Serie A,19,1.1,42.1,0.91
Iago Aspas\Iago-Aspas,FW,Celta Vigo,es La Liga,32,31.8,77.0,3.65
Roger Assalé\Roger-Assale,FWMF,Dijon,fr Ligue 1,26,9.2,68.9,1.52
Miguel Atienza\Miguel-Atienza,MF,Eibar,es La Liga,21,9.3,79.9,2.15
Youcef Attal\Youcef-Attal,DFMF,Nice,fr Ligue 1,24,10.6,80.3,3.87
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,eng Premier League,31,25.9,75.0,1.93
Emil Audero\Emil-Audero,GK,Sampdoria,it Serie A,23,37.0,69.6,0.00
Tommaso Augello\Tommaso-Augello,DF,Sampdoria,it Serie A,25,35.7,76.6,4.62
Jean-Kévin Augustin\Jean-Kevin-Augustin,FW,Nantes,fr Ligue 1,23,0.4,100.0,0.00
Ludwig Augustinsson\Ludwig-Augustinsson,DF,Werder Bremen,de Bundesliga,26,21.7,66.8,3.36
Serge Aurier\Serge-Aurier,DF,Tottenham,eng Premier League,27,17.8,80.6,3.43
Charlie Austin\Charlie-Austin,FW,West Brom,eng Premier League,31,1.5,73.5,2.67
Ezequiel Ávila\Ezequiel-Avila,MFFW,Osasuna,es La Liga,26,2.2,56.1,2.27
Taiwo Awoniyi\Taiwo-Awoniyi,FW,Union Berlin,de Bundesliga,22,15.1,69.1,0.73
Mehmet-Can Aydin\Mehmet-Can-Aydin,DF,Schalke 04,de Bundesliga,18,5.6,68.5,2.32
Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,eng Premier League,28,23.3,78.6,1.55
Kaan Ayhan\Kaan-Ayhan,DF,Sassuolo,it Serie A,25,8.8,91.8,3.75
Luke Ayling\Luke-Ayling,DF,Leeds United,eng Premier League,28,37.8,79.3,5.37
Ramon Azeez\Ramon-Azeez,MFDF,Granada,es La Liga,27,1.1,73.7,0.00
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,eng Premier League,30,24.3,87.5,4.77
Ludovic Baal\Ludovic-Baal,DFMF,Brest,fr Ligue 1,34,3.3,84.6,6.67
Carlos Bacca\Carlos-Bacca,FW,Villarreal,es La Liga,33,8.7,67.3,1.38
Loïc Bade\Loic-Bade,DF,Lens,fr Ligue 1,20,29.0,88.2,2.76
Milan Badelj\Milan-Badelj,MF,Genoa,it Serie A,31,26.8,81.4,5.56
Édgar Badía\Edgar-Badia,GK,Elche,es La Liga,28,30.0,75.6,0.03
Benoît Badiashile\Benoit-Badiashile,DF,Monaco,fr Ligue 1,19,31.9,88.5,5.02
Alex Baena\Alex-Baena,MF,Villarreal,es La Liga,19,1.5,76.4,2.00
Miguel Baeza\Miguel-Baeza,MFFW,Celta Vigo,es La Liga,20,6.0,81.6,2.17
Stéphane Bahoken\Stephane-Bahoken,FW,Angers,fr Ligue 1,28,18.0,71.3,0.94
Leon Bailey\Leon-Bailey,FWMF,Leverkusen,de Bundesliga,22,23.8,70.3,2.39
Eric Bailly\Eric-Bailly,DF,Manchester Utd,eng Premier League,26,10.2,90.3,2.84
Stefan Bajic\Stefan-Bajic,GK,Saint-Étienne,fr Ligue 1,18,1.0,61.1,0.00
Tiemoué Bakayoko\Tiemoue-Bakayoko,MF,Napoli,it Serie A,25,21.8,90.2,3.17
Mitchel Bakker\Mitchel-Bakker,DF,Paris S-G,fr Ligue 1,20,18.8,88.8,3.46
Ridle Baku\Ridle-Baku,FWDF,Wolfsburg,de Bundesliga,22,29.8,75.0,3.99
Ridle Baku\Ridle-Baku,DF,Mainz 05,de Bundesliga,22,2.0,70.5,6.50
Dilane Bakwa\Dilane-Bakwa,FWMF,Bordeaux,fr Ligue 1,17,0.6,90.0,3.33
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,eng Premier League,28,13.3,76.8,2.26
Keita Baldé\Keita-Balde,FW,Sampdoria,it Serie A,25,13.3,74.8,1.43
George Baldock\George-Baldock,DF,Sheffield Utd,eng Premier League,27,31.0,78.5,1.97
Gareth Bale\Gareth-Bale,FW,Tottenham,eng Premier League,31,10.2,69.6,3.14
